"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48113","0","10","70","0","2023","A","",85485,1837548,158654040119,19446281092,325129563,1660,86340,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-564,-0.7,32740,1.8,7932596236,5.3,-288738208,-1.5,-80818762,-19.9,54,3.4,2829,3.4
"48113","1","10","71","0","2023","A","",160,24858,2495384640,0,0,1931,100387,"",0.36,0.71,0.61,0.00,0.00,0.86,0.86,"",0,0.0,-145,-0.6,78009323,3.2,0,0.0,0,0.0,72,3.9,3704,3.8
"48113","1","101","72","0","2023","A","",1,8,829902,0,0,2037,105945,"",0.93,0.01,0.01,0.00,0.00,0.91,0.91,"",0,0.0,1,14.3,112039,15.6,0,0.0,0,0.0,88,4.5,4600,4.5
"48113","1","1013","73","0","2023","A","",1,8,829902,0,0,2037,105945,"",1.88,0.01,0.01,0.00,0.00,0.90,0.90,"",0,0.0,1,14.3,112039,15.6,0,0.0,0,0.0,88,4.5,4600,4.5
"48113","1","102","72","0","2023","A","",159,24850,2494554738,0,0,1930,100385,"",0.36,0.72,0.62,0.00,0.00,0.86,0.86,"",0,0.0,-146,-0.6,77897284,3.2,0,0.0,0,0.0,71,3.8,3703,3.8
"48113","1","1021","73","0","2023","A","",69,8221,604341883,0,0,1414,73510,"",0.31,1.02,0.89,0.00,0.00,0.87,0.87,"",0,0.0,-78,-0.9,-6781151,-1.1,0,0.0,0,0.0,-2,-0.1,-131,-0.2
"48113","1","1022","73","0","2023","A","",1,21,2032783,0,0,1825,94916,"",0.93,0.27,0.23,0.00,0.00,0.85,0.85,"",0,0.0,-3,-12.5,-193145,-8.7,0,0.0,0,0.0,66,3.8,3440,3.8
"48113","1","1023","73","0","2023","A","",3,482,87568801,0,0,3494,181709,"",0.51,3.17,3.40,0.00,0.00,1.08,1.07,"",0,0.0,-56,-10.4,3092933,3.7,0,0.0,0,0.0,472,15.6,24569,15.6
"48113","1","1024","73","0","2023","A","",3,130,17302675,0,0,2568,133525,"",0.29,0.15,0.17,0.00,0.00,1.09,1.09,"",0,0.0,5,4.0,1800566,11.6,0,0.0,0,0.0,180,7.5,9343,7.5
"48113","1","1025","73","0","2023","A","",1,5096,573018522,0,0,2162,112436,"",0.10,0.96,0.89,0.00,0.00,0.93,0.93,"",0,0.0,165,3.3,51622679,9.9,0,0.0,0,0.0,129,6.3,6701,6.3
