"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48113","0","10","70","0","2024","1","",84297,1804647,1808568,1806178,43717590057,13114415857,199024581,1862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1211,-1.4,-14343,-0.8,-13744,-0.8,-17657,-1.0,1025910746,2.4,-67574358,-0.5,-28196808,-12.4,59,3.3
"48113","1","10","71","0","2024","1","",162,24860,24887,24825,654997146,0,0,2027,"",0.38,0.71,0.71,0.71,0.60,0.00,0.00,0.85,"",4,2.5,33,0.1,37,0.1,114,0.5,57627576,9.6,0,0.0,0,0.0,174,9.4
"48113","1","101","72","0","2024","1","",1,8,8,8,198907,0,0,1913,"",0.92,0.01,0.01,0.01,0.01,0.00,0.00,0.79,"",0,0.0,1,14.3,1,14.3,0,0.0,32030,19.2,0,0.0,0,0.0,163,9.3
"48113","1","1013","73","0","2024","1","",1,8,8,8,198907,0,0,1913,"",1.80,0.01,0.01,0.01,0.01,0.00,0.00,0.77,"",0,0.0,1,14.3,1,14.3,0,0.0,32030,19.2,0,0.0,0,0.0,163,9.3
"48113","1","102","72","0","2024","1","",161,24852,24879,24817,654798239,0,0,2027,"",0.38,0.72,0.72,0.72,0.61,0.00,0.00,0.85,"",4,2.5,32,0.1,36,0.1,114,0.5,57595546,9.6,0,0.0,0,0.0,174,9.4
"48113","1","1021","73","0","2024","1","",72,8020,8064,8011,160002606,0,0,1532,"",0.34,1.01,1.01,1.01,0.86,0.00,0.00,0.85,"",4,5.9,-332,-4.0,-315,-3.8,-379,-4.5,-5170212,-3.1,0,0.0,0,0.0,15,1.0
"48113","1","1022","73","0","2024","1","",1,22,23,23,496739,0,0,1686,"",1.00,0.28,0.29,0.30,0.23,0.00,0.00,0.80,"",0,0.0,1,4.8,2,9.5,2,9.5,44924,9.9,0,0.0,0,0.0,31,1.9
"48113","1","1023","73","0","2024","1","",3,491,497,504,23940898,0,0,3703,"",0.52,3.24,3.30,3.36,3.45,0.00,0.00,1.05,"",0,0.0,11,2.3,20,4.2,21,4.3,1834605,8.3,0,0.0,0,0.0,160,4.5
"48113","1","1024","73","0","2024","1","",3,124,123,121,3785553,0,0,2374,"",0.28,0.15,0.14,0.14,0.15,0.00,0.00,1.00,"",0,0.0,0,0.0,-2,-1.6,-2,-1.6,28651,0.8,0,0.0,0,0.0,43,1.8
"48113","1","1025","73","0","2024","1","",1,5223,5250,5259,173147282,0,0,2540,"",0.10,0.96,0.97,0.97,0.93,0.00,0.00,0.96,"",0,0.0,231,4.6,221,4.4,212,4.2,47552738,37.9,0,0.0,0,0.0,616,32.0
"48113","1","1027","73","0","2024","1","",1,40,41,41,788681,0,0,1492,"",0.86,0.68,0.70,0.70,0.64,0.00,0.00,0.92,"",0,0.0,-3,-7.0,-1,-2.4,0,0.0,216523,37.8,0,0.0,0,0.0,444,42.4
"48113","1","1028","73","0","2024","1","",80,10932,10881,10858,292636480,0,0,2067,"",0.46,0.56,0.56,0.56,0.45,0.00,0.00,0.80,"",0,0.0,124,1.1,111,1.0,260,2.5,13088317,4.7,0,0.0,0,0.0,62,3.1
"48113","1","31-33","74","0","2024","1","",1,8,8,8,198907,0,0,1913,"",1.80,0.01,0.01,0.01,0.01,0.00,0.00,0.77,"",0,0.0,1,14.3,1,14.3,0,0.0,32030,19.2,0,0.0,0,0.0,163,9.3
