"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47037","0","10","70","0","2023","A","",33972,549305,43183763403,4349679340,40634141,1512,78615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2503,8.0,15786,3.0,2502140305,6.2,31319454,0.7,-1151875,-2.8,46,3.1,2363,3.1
"47037","1","10","71","0","2023","A","",93,8853,842595997,0,0,1830,95175,"",0.53,0.84,0.75,0.00,0.00,0.90,0.90,"",-2,-2.1,544,6.5,99064539,13.3,0,0.0,0,0.0,109,6.3,5686,6.4
"47037","1","102","72","0","2023","A","",93,8853,842595997,0,0,1830,95175,"",0.53,0.86,0.77,0.00,0.00,0.90,0.90,"",-2,-2.1,544,6.5,99064539,13.3,0,0.0,0,0.0,109,6.3,5686,6.4
"47037","1","1021","73","0","2023","A","",32,2343,185817326,0,0,1525,79307,"",0.37,0.97,1.00,0.00,0.00,1.03,1.03,"",0,0.0,93,4.1,7534358,4.2,0,0.0,0,0.0,1,0.1,58,0.1
"47037","1","1023","73","0","2023","A","",3,77,8915336,0,0,2239,116414,"",1.28,1.69,1.27,0.00,0.00,0.76,0.76,"",0,0.0,-1,-1.3,603057,7.3,0,0.0,0,0.0,183,8.9,9504,8.9
"47037","1","1024","73","0","2023","A","",3,415,39250145,0,0,1819,94598,"",0.72,1.64,1.39,0.00,0.00,0.85,0.85,"",0,0.0,16,4.0,5292726,15.6,0,0.0,0,0.0,181,11.1,9421,11.1
"47037","1","1025","73","0","2023","A","",3,2516,290844000,0,0,2223,115613,"",0.73,1.58,1.66,0.00,0.00,1.05,1.05,"",0,0.0,230,10.1,55596371,23.6,0,0.0,0,0.0,244,12.3,12683,12.3
"47037","1","1027","73","0","2023","A","",1,2,185444,0,0,1783,92722,"",2.12,0.11,0.15,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,48044,35.0,0,0.0,0,0.0,198,12.5,10282,12.5
"47037","1","1028","73","0","2023","A","",51,3501,317583746,0,0,1744,90712,"",0.71,0.60,0.46,0.00,0.00,0.77,0.77,"",-3,-5.6,206,6.3,29989983,10.4,0,0.0,0,0.0,66,3.9,3441,3.9
"47037","1","22","74","0","2023","A","",3,236,36216142,0,0,2948,153296,"",5.01,5.52,5.23,0.00,0.00,0.95,0.95,"",0,0.0,35,17.4,6739044,22.9,0,0.0,0,0.0,125,4.4,6522,4.4
"47037","1","221","75","0","2023","A","",3,236,36216142,0,0,2948,153296,"",5.01,5.52,5.23,0.00,0.00,0.95,0.95,"",0,0.0,35,17.4,6739044,22.9,0,0.0,0,0.0,125,4.4,6522,4.4
"47037","1","2211","76","0","2023","A","",3,236,36216142,0,0,2948,153296,"",5.14,5.89,5.47,0.00,0.00,0.93,0.93,"",0,0.0,35,17.4,6739044,22.9,0,0.0,0,0.0,125,4.4,6522,4.4
"47037","1","22111","77","0","2023","A","",2,225,34707737,0,0,2971,154485,"",7.20,7.36,6.78,0.00,0.00,0.92,0.92,"",0,0.0,30,15.4,6040054,21.1,0,0.0,0,0.0,137,4.8,7093,4.8
