"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51600","0","10","70","0","2023","A","",1837,23381,1670677793,201440116,1257102,1374,71456,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-60,-3.2,1631,7.5,200638709,13.6,14930057,8.0,-431667,-25.6,74,5.7,3868,5.7
"51600","1","10","71","0","2023","A","",20,665,82435159,0,0,2383,123916,"",2.11,1.49,1.91,0.00,0.00,1.28,1.28,"",8,66.7,263,65.4,40492449,96.5,0,0.0,0,0.0,378,18.9,19667,18.9
"51600","1","102","72","0","2023","A","",20,665,82435159,0,0,2383,123916,"",2.11,1.51,1.94,0.00,0.00,1.28,1.28,"",8,66.7,263,65.4,40492449,96.5,0,0.0,0,0.0,378,18.9,19667,18.9
"51600","1","1021","73","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.42,1.72,1.79,0.00,0.00,1.04,1.04,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
"51600","1","1023","73","0","2023","A","",0,2,349447,0,0,2880,149763,"",0.00,1.03,1.29,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51600","1","1028","73","0","2023","A","",18,487,69280053,0,0,2739,142405,"",4.63,1.97,2.60,0.00,0.00,1.33,1.33,"",8,80.0,265,119.4,39758725,134.7,0,0.0,0,0.0,185,7.2,9576,7.2
"51600","1","48-49","74","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.44,1.86,1.92,0.00,0.00,1.03,1.03,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
"51600","1","491","75","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.44,1.91,2.01,0.00,0.00,1.05,1.05,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
"51600","1","4911","76","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.44,1.91,2.01,0.00,0.00,1.05,1.05,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
"51600","1","49111","77","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.44,1.91,2.01,0.00,0.00,1.05,1.05,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
"51600","1","491110","78","0","2023","A","",2,176,12805659,0,0,1396,72588,"",0.44,1.91,2.01,0.00,0.00,1.05,1.05,"",0,0.0,-4,-2.2,384277,3.1,0,0.0,0,0.0,70,5.3,3612,5.2
