"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51059","0","10","70","0","2024","1","",39000,625938,627555,628438,19309304822,4041725381,18421048,2368,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4815,-11.0,5736,0.9,4386,0.7,5240,0.8,1661795946,9.4,41200546,1.0,-4567507,-19.9,186,8.5
"51059","1","10","71","0","2024","1","",158,28044,28190,28233,925275039,0,0,2528,"",0.80,2.30,2.31,2.31,1.92,0.00,0.00,0.83,"",5,3.3,686,2.5,152,0.5,166,0.6,68200295,8.0,0,0.0,0,0.0,158,6.7
"51059","1","102","72","0","2024","1","",158,28044,28190,28233,925275039,0,0,2528,"",0.80,2.34,2.35,2.35,1.95,0.00,0.00,0.83,"",5,3.3,686,2.5,152,0.5,166,0.6,68200295,8.0,0,0.0,0,0.0,158,6.7
"51059","1","1021","73","0","2024","1","",39,2769,2766,2824,51293776,0,0,1416,"",0.39,1.00,1.00,1.02,0.62,0.00,0.00,0.62,"",-1,-2.5,-24,-0.9,-20,-0.7,32,1.1,543134,1.1,0,0.0,0,0.0,17,1.2
"51059","1","1022","73","0","2024","1","",1,5,4,4,52995,0,0,941,"",2.15,0.18,0.15,0.15,0.06,0.00,0.00,0.35,"",0,0.0,1,25.0,-1,-20.0,1,33.3,-4307,-7.5,0,0.0,0,0.0,-161,-14.6
"51059","1","1024","73","0","2024","1","",5,84,84,84,2313190,0,0,2118,"",1.02,0.29,0.28,0.28,0.20,0.00,0.00,0.70,"",0,0.0,8,10.5,7,9.1,6,7.7,344044,17.5,0,0.0,0,0.0,151,7.7
"51059","1","1025","73","0","2024","1","",7,396,404,404,6656748,0,0,1276,"",1.49,0.21,0.21,0.21,0.08,0.00,0.00,0.38,"",0,0.0,-17,-4.1,-2,-0.5,6,1.5,82715,1.3,0,0.0,0,0.0,29,2.3
"51059","1","1026","73","0","2024","1","",12,486,459,470,10171423,0,0,1659,"",2.60,2.63,2.45,2.50,2.35,0.00,0.00,0.93,"",-1,-7.7,-42,-8.0,-67,-12.7,-10,-2.1,-1044040,-9.3,0,0.0,0,0.0,-28,-1.7
"51059","1","1028","73","0","2024","1","",94,24304,24473,24447,854786907,0,0,2694,"",1.17,3.60,3.61,3.61,2.96,0.00,0.00,0.82,"",7,8.0,760,3.2,235,1.0,131,0.5,68278749,8.7,0,0.0,0,0.0,177,7.0
"51059","1","44-45","74","0","2024","1","",5,612,615,680,3947814,0,0,478,"",2.20,3.77,3.79,4.21,1.58,0.00,0.00,0.40,"",0,0.0,-28,-4.4,-22,-3.5,47,7.4,25301,0.6,0,0.0,0,0.0,4,0.8
"51059","1","445","75","0","2024","1","",1,126,137,137,1751639,0,0,1011,"",1.54,3.05,3.32,3.33,2.00,0.00,0.00,0.62,"",0,0.0,-5,-3.8,4,3.0,6,4.6,73118,4.4,0,0.0,0,0.0,30,3.1
