"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51107","0","10","70","0","2023","A","",14742,189016,15212275379,1586010294,9230697,1548,80481,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-223,-1.5,8388,4.6,1019222043,7.2,27474279,1.8,-5918746,-39.1,37,2.4,1905,2.4
"51107","1","10","71","0","2023","A","",62,6663,848193561,0,0,2448,127305,"",0.81,1.84,2.15,0.00,0.00,1.17,1.17,"",13,26.5,570,9.4,135218594,19.0,0,0.0,0,0.0,198,8.8,10296,8.8
"51107","1","102","72","0","2023","A","",62,6663,848193561,0,0,2448,127305,"",0.82,1.88,2.19,0.00,0.00,1.17,1.17,"",13,26.5,570,9.4,135218594,19.0,0,0.0,0,0.0,198,8.8,10296,8.8
"51107","1","1021","73","0","2023","A","",20,1873,222089000,0,0,2280,118553,"",0.53,2.26,3.41,0.00,0.00,1.51,1.51,"",0,0.0,88,4.9,22005430,11.0,0,0.0,0,0.0,124,5.8,6440,5.7
"51107","1","1024","73","0","2023","A","",2,31,3824988,0,0,2386,124054,"",1.11,0.36,0.39,0.00,0.00,1.09,1.09,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","1026","73","0","2023","A","",1,24,2816667,0,0,2281,118597,"",0.56,0.41,0.72,0.00,0.00,1.77,1.77,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","1028","73","0","2023","A","",39,4735,619462906,0,0,2516,130833,"",1.25,2.36,2.56,0.00,0.00,1.08,1.08,"",12,44.4,458,10.7,110223694,21.6,0,0.0,0,0.0,226,9.9,11768,9.9
"51107","1","48-49","74","0","2023","A","",20,1873,222089000,0,0,2280,118553,"",0.54,2.45,3.67,0.00,0.00,1.49,1.49,"",0,0.0,88,4.9,22005430,11.0,0,0.0,0,0.0,124,5.8,6440,5.7
"51107","1","488","75","0","2023","A","",1,831,142425058,0,0,3295,171321,"",6.24,54.23,54.84,0.00,0.00,1.01,1.01,"",-1,-50.0,143,20.8,22034794,18.3,0,0.0,0,0.0,-69,-2.1,-3622,-2.1
"51107","1","4881","76","0","2023","A","",1,831,142425058,0,0,3295,171321,"",6.24,54.23,54.84,0.00,0.00,1.01,1.01,"",-1,-50.0,143,20.8,22034794,18.3,0,0.0,0,0.0,-69,-2.1,-3622,-2.1
"51107","1","48811","77","0","2023","A","",1,831,142425058,0,0,3295,171321,"",6.24,54.23,54.84,0.00,0.00,1.01,1.01,"",-1,-50.0,143,20.8,22034794,18.3,0,0.0,0,0.0,-69,-2.1,-3622,-2.1
"51107","1","488111","78","0","2023","A","",1,831,142425058,0,0,3295,171321,"",6.29,54.30,54.86,0.00,0.00,1.01,1.01,"",-1,-50.0,143,20.8,22034794,18.3,0,0.0,0,0.0,-69,-2.1,-3622,-2.1
"51107","1","491","75","0","2023","A","",19,1042,79663942,0,0,1470,76453,"",0.52,1.40,1.38,0.00,0.00,0.98,0.98,"",0,0.0,-55,-5.0,-29364,0.0,0,0.0,0,0.0,72,5.2,3773,5.2
"51107","1","4911","76","0","2023","A","",19,1042,79663942,0,0,1470,76453,"",0.52,1.40,1.38,0.00,0.00,0.98,0.98,"",0,0.0,-55,-5.0,-29364,0.0,0,0.0,0,0.0,72,5.2,3773,5.2
"51107","1","49111","77","0","2023","A","",19,1042,79663942,0,0,1470,76453,"",0.52,1.40,1.38,0.00,0.00,0.98,0.98,"",0,0.0,-55,-5.0,-29364,0.0,0,0.0,0,0.0,72,5.2,3773,5.2
"51107","1","491110","78","0","2023","A","",19,1042,79663942,0,0,1470,76453,"",0.52,1.40,1.38,0.00,0.00,0.98,0.98,"",0,0.0,-55,-5.0,-29364,0.0,0,0.0,0,0.0,72,5.2,3773,5.2
"51107","1","54","74","0","2023","A","",2,31,3824988,0,0,2386,124054,"",1.25,0.36,0.39,0.00,0.00,1.08,1.08,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","541","75","0","2023","A","",2,31,3824988,0,0,2386,124054,"",1.25,0.36,0.39,0.00,0.00,1.08,1.08,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","5419","76","0","2023","A","",2,31,3824988,0,0,2386,124054,"",11.75,5.74,5.66,0.00,0.00,0.99,0.99,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","54199","77","0","2023","A","",2,31,3824988,0,0,2386,124054,"",11.92,6.37,5.83,0.00,0.00,0.92,0.92,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","541990","78","0","2023","A","",2,31,3824988,0,0,2386,124054,"",11.92,6.37,5.83,0.00,0.00,0.92,0.92,"",0,0.0,-1,-3.1,172803,4.7,0,0.0,0,0.0,168,7.6,8722,7.6
"51107","1","71","74","0","2023","A","",1,24,2816667,0,0,2281,118597,"",0.77,0.49,0.80,0.00,0.00,1.64,1.64,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","712","75","0","2023","A","",1,24,2816667,0,0,2281,118597,"",1.65,0.84,1.06,0.00,0.00,1.27,1.27,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","7121","76","0","2023","A","",1,24,2816667,0,0,2281,118597,"",1.65,0.84,1.06,0.00,0.00,1.27,1.27,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","71219","77","0","2023","A","",1,24,2816667,0,0,2281,118597,"",1.93,1.17,1.59,0.00,0.00,1.38,1.38,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","712190","78","0","2023","A","",1,24,2816667,0,0,2281,118597,"",1.93,1.17,1.59,0.00,0.00,1.38,1.38,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","92","74","0","2023","A","",39,4735,619462906,0,0,2516,130833,"",1.25,2.36,2.56,0.00,0.00,1.08,1.08,"",12,44.4,458,10.7,110223694,21.6,0,0.0,0,0.0,226,9.9,11768,9.9
"51107","1","921","75","0","2023","A","",3,185,30078193,0,0,3122,162365,"",1.41,0.96,1.39,0.00,0.00,1.45,1.45,"",1,50.0,69,59.5,12689612,73.0,0,0.0,0,0.0,248,8.6,12893,8.6
"51107","1","9211","76","0","2023","A","",3,185,30078193,0,0,3122,162365,"",1.41,0.96,1.39,0.00,0.00,1.45,1.45,"",1,50.0,69,59.5,12689612,73.0,0,0.0,0,0.0,248,8.6,12893,8.6
"51107","1","92113","77","0","2023","A","",1,51,8687299,0,0,3254,169233,"",1.40,0.41,0.62,0.00,0.00,1.52,1.52,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","921130","78","0","2023","A","",1,51,8687299,0,0,3254,169233,"",1.40,0.41,0.62,0.00,0.00,1.52,1.52,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","92119","77","0","2023","A","",2,134,21390894,0,0,3072,159733,"",1.43,3.15,4.10,0.00,0.00,1.30,1.30,"",0,0.0,18,15.5,4002313,23.0,0,0.0,0,0.0,198,6.9,10261,6.9
"51107","1","921190","78","0","2023","A","",2,134,21390894,0,0,3072,159733,"",1.43,3.15,4.10,0.00,0.00,1.30,1.30,"",0,0.0,18,15.5,4002313,23.0,0,0.0,0,0.0,198,6.9,10261,6.9
"51107","1","922","75","0","2023","A","",9,2571,362224208,0,0,2710,140898,"",2.10,7.83,8.07,0.00,0.00,1.03,1.03,"",1,12.5,83,3.3,36960344,11.4,0,0.0,0,0.0,196,7.8,10165,7.8
"51107","1","9221","76","0","2023","A","",9,2571,362224208,0,0,2710,140898,"",2.10,7.83,8.07,0.00,0.00,1.03,1.03,"",1,12.5,83,3.3,36960344,11.4,0,0.0,0,0.0,196,7.8,10165,7.8
"51107","1","92211","77","0","2023","A","",1,1,101988,0,0,1961,101988,"",1.16,0.02,0.02,0.00,0.00,0.85,0.85,"",0,0.0,0,0.0,4671,4.8,0,0.0,0,0.0,90,4.8,4671,4.8
"51107","1","922110","78","0","2023","A","",1,1,101988,0,0,1961,101988,"",1.16,0.02,0.02,0.00,0.00,0.85,0.85,"",0,0.0,0,0.0,4671,4.8,0,0.0,0,0.0,90,4.8,4671,4.8
"51107","1","92212","77","0","2023","A","",5,1847,276600667,0,0,2880,149750,"",2.37,10.35,10.71,0.00,0.00,1.04,1.03,"",0,0.0,30,1.7,21945596,8.6,0,0.0,0,0.0,184,6.8,9566,6.8
"51107","1","922120","78","0","2023","A","",5,1847,276600667,0,0,2880,149750,"",2.37,10.35,10.71,0.00,0.00,1.04,1.03,"",0,0.0,30,1.7,21945596,8.6,0,0.0,0,0.0,184,6.8,9566,6.8
"51107","1","92213","77","0","2023","A","",1,41,5483398,0,0,2604,135393,"",2.22,1.46,1.28,0.00,0.00,0.89,0.89,"",1,100.0,33,412.5,4481446,447.3,0,0.0,0,0.0,195,8.1,10149,8.1
"51107","1","922130","78","0","2023","A","",1,41,5483398,0,0,2604,135393,"",2.22,1.46,1.28,0.00,0.00,0.89,0.89,"",1,100.0,33,412.5,4481446,447.3,0,0.0,0,0.0,195,8.1,10149,8.1
"51107","1","92219","77","0","2023","A","",2,682,80038155,0,0,2256,117315,"",2.83,17.74,15.83,0.00,0.00,0.89,0.89,"",0,0.0,20,3.0,10528631,15.1,0,0.0,0,0.0,238,11.8,12382,11.8
"51107","1","922190","78","0","2023","A","",2,682,80038155,0,0,2256,117315,"",2.83,17.74,15.83,0.00,0.00,0.89,0.89,"",0,0.0,20,3.0,10528631,15.1,0,0.0,0,0.0,238,11.8,12382,11.8
"51107","1","923","75","0","2023","A","",5,99,14215881,0,0,2766,143837,"",1.53,0.35,0.41,0.00,0.00,1.17,1.17,"",3,150.0,74,296.0,10977092,338.9,0,0.0,0,0.0,241,9.5,12535,9.5
"51107","1","9231","76","0","2023","A","",5,99,14215881,0,0,2766,143837,"",1.53,0.35,0.41,0.00,0.00,1.17,1.17,"",3,150.0,74,296.0,10977092,338.9,0,0.0,0,0.0,241,9.5,12535,9.5
"51107","1","92311","77","0","2023","A","",1,26,3963827,0,0,2904,151003,"",6.49,7.05,7.24,0.00,0.00,1.02,1.02,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","923110","78","0","2023","A","",1,26,3963827,0,0,2904,151003,"",6.49,7.05,7.24,0.00,0.00,1.02,1.02,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"51107","1","92312","77","0","2023","A","",4,73,10252054,0,0,2716,141245,"",4.24,0.93,0.87,0.00,0.00,0.95,0.95,"",2,100.0,48,192.0,7013265,216.5,0,0.0,0,0.0,191,7.6,9943,7.6
"51107","1","923120","78","0","2023","A","",4,73,10252054,0,0,2716,141245,"",4.24,0.93,0.87,0.00,0.00,0.95,0.95,"",2,100.0,48,192.0,7013265,216.5,0,0.0,0,0.0,191,7.6,9943,7.6
"51107","1","924","75","0","2023","A","",5,449,64899051,0,0,2778,144434,"",0.79,3.60,4.72,0.00,0.00,1.31,1.31,"",1,25.0,47,11.7,9085380,16.3,0,0.0,0,0.0,110,4.1,5709,4.1
"51107","1","9241","76","0","2023","A","",5,449,64899051,0,0,2778,144434,"",0.79,3.60,4.72,0.00,0.00,1.31,1.31,"",1,25.0,47,11.7,9085380,16.3,0,0.0,0,0.0,110,4.1,5709,4.1
"51107","1","92411","77","0","2023","A","",2,207,29463251,0,0,2744,142679,"",4.82,9.14,9.06,0.00,0.00,0.99,0.99,"",0,0.0,11,5.6,2747400,10.3,0,0.0,0,0.0,124,4.7,6432,4.7
"51107","1","924110","78","0","2023","A","",2,207,29463251,0,0,2744,142679,"",4.82,9.14,9.06,0.00,0.00,0.99,0.99,"",0,0.0,11,5.6,2747400,10.3,0,0.0,0,0.0,124,4.7,6432,4.7
"51107","1","92412","77","0","2023","A","",3,243,35435800,0,0,2806,145926,"",0.51,2.38,3.38,0.00,0.00,1.42,1.42,"",1,50.0,37,18.0,6337980,21.8,0,0.0,0,0.0,93,3.4,4846,3.4
"51107","1","924120","78","0","2023","A","",3,243,35435800,0,0,2806,145926,"",0.51,2.38,3.38,0.00,0.00,1.42,1.42,"",1,50.0,37,18.0,6337980,21.8,0,0.0,0,0.0,93,3.4,4846,3.4
"51107","1","926","75","0","2023","A","",13,1336,134759464,0,0,1940,100868,"",1.11,4.33,3.52,0.00,0.00,0.81,0.81,"",5,62.5,144,12.1,33634870,33.3,0,0.0,0,0.0,308,18.9,15996,18.8
"51107","1","9261","76","0","2023","A","",13,1336,134759464,0,0,1940,100868,"",1.11,4.33,3.52,0.00,0.00,0.81,0.81,"",5,62.5,144,12.1,33634870,33.3,0,0.0,0,0.0,308,18.9,15996,18.8
"51107","1","92611","77","0","2023","A","",8,92,12203990,0,0,2563,133256,"",1.55,1.51,1.59,0.00,0.00,1.06,1.06,"",6,300.0,53,135.9,8319522,214.2,0,0.0,0,0.0,643,33.5,33441,33.5
"51107","1","926110","78","0","2023","A","",8,92,12203990,0,0,2563,133256,"",1.55,1.51,1.59,0.00,0.00,1.06,1.06,"",6,300.0,53,135.9,8319522,214.2,0,0.0,0,0.0,643,33.5,33441,33.5
"51107","1","92612","77","0","2023","A","",2,841,58409350,0,0,1336,69480,"",1.64,6.20,3.75,0.00,0.00,0.60,0.60,"",-1,-33.3,-102,-10.8,-5772616,-9.0,0,0.0,0,0.0,27,2.1,1406,2.1
"51107","1","926120","78","0","2023","A","",2,841,58409350,0,0,1336,69480,"",1.64,6.20,3.75,0.00,0.00,0.60,0.60,"",-1,-33.3,-102,-10.8,-5772616,-9.0,0,0.0,0,0.0,27,2.1,1406,2.1
"51107","1","92614","77","0","2023","A","",1,90,12458451,0,0,2674,139071,"",0.25,1.54,2.03,0.00,0.00,1.32,1.33,"",0,0.0,58,181.2,8524309,216.7,0,0.0,0,0.0,316,13.4,16448,13.4
"51107","1","926140","78","0","2023","A","",1,90,12458451,0,0,2674,139071,"",0.25,1.54,2.03,0.00,0.00,1.32,1.33,"",0,0.0,58,181.2,8524309,216.7,0,0.0,0,0.0,316,13.4,16448,13.4
"51107","1","92615","77","0","2023","A","",2,314,51687673,0,0,3164,164523,"",1.74,7.39,7.36,0.00,0.00,1.00,0.99,"",0,0.0,136,76.4,22563655,77.5,0,0.0,0,0.0,12,0.4,598,0.4
"51107","1","926150","78","0","2023","A","",2,314,51687673,0,0,3164,164523,"",1.74,7.39,7.36,0.00,0.00,1.00,0.99,"",0,0.0,136,76.4,22563655,77.5,0,0.0,0,0.0,12,0.4,598,0.4
"51107","1","927","75","0","2023","A","",1,19,3285263,0,0,3385,175996,"",7.67,0.85,0.92,0.00,0.00,1.10,1.10,"",0,0.0,11,137.5,1923264,141.2,0,0.0,0,0.0,111,3.4,5746,3.4
