"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51107","0","10","70","0","2024","1","",14701,190746,191048,192685,4220045988,1112632229,5332123,1695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1345,-8.4,6794,3.7,6894,3.7,7770,4.2,405954334,10.6,47460006,4.5,-547543,-9.3,103,6.5
"51107","1","10","71","0","2024","1","",62,6747,6613,6592,211917985,0,0,2451,"",0.83,1.82,1.78,1.76,2.01,0.00,0.00,1.13,"",0,0.0,309,4.8,88,1.3,-41,-0.6,22056021,11.6,0,0.0,0,0.0,215,9.6
"51107","1","102","72","0","2024","1","",62,6747,6613,6592,211917985,0,0,2451,"",0.83,1.85,1.81,1.79,2.05,0.00,0.00,1.13,"",0,0.0,309,4.8,88,1.3,-41,-0.6,22056021,11.6,0,0.0,0,0.0,215,9.6
"51107","1","1021","73","0","2024","1","",21,1839,1852,1874,55830372,0,0,2315,"",0.56,2.19,2.20,2.21,3.11,0.00,0.00,1.41,"",1,5.0,-55,-2.9,-45,-2.4,-24,-1.3,1237272,2.3,0,0.0,0,0.0,100,4.5
"51107","1","1024","73","0","2024","1","",2,29,29,29,892563,0,0,2368,"",1.09,0.32,0.32,0.32,0.35,0.00,0.00,1.10,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","1026","73","0","2024","1","",1,27,27,27,750888,0,0,2139,"",0.58,0.48,0.47,0.47,0.79,0.00,0.00,1.67,"",0,0.0,20,285.7,19,237.5,2,8.0,461186,159.2,0,0.0,0,0.0,468,28.0
"51107","1","1028","73","0","2024","1","",38,4852,4705,4662,154444162,0,0,2507,"",1.25,2.36,2.28,2.24,2.44,0.00,0.00,1.07,"",-1,-2.6,348,7.7,117,2.6,-17,-0.4,20369811,15.2,0,0.0,0,0.0,260,11.6
"51107","1","48-49","74","0","2024","1","",21,1839,1852,1874,55830372,0,0,2315,"",0.58,2.37,2.39,2.40,3.32,0.00,0.00,1.39,"",1,5.0,-55,-2.9,-45,-2.4,-24,-1.3,1237272,2.3,0,0.0,0,0.0,100,4.5
"51107","1","488","75","0","2024","1","",1,827,835,840,33853495,0,0,3122,"",6.37,52.97,53.31,53.32,52.85,0.00,0.00,0.99,"",0,0.0,7,0.9,7,0.8,7,0.8,918841,2.8,0,0.0,0,0.0,59,1.9
"51107","1","4881","76","0","2024","1","",1,827,835,840,33853495,0,0,3122,"",6.37,52.97,53.31,53.32,52.85,0.00,0.00,0.99,"",0,0.0,7,0.9,7,0.8,7,0.8,918841,2.8,0,0.0,0,0.0,59,1.9
"51107","1","48811","77","0","2024","1","",1,827,835,840,33853495,0,0,3122,"",6.37,52.97,53.31,53.32,52.85,0.00,0.00,0.99,"",0,0.0,7,0.9,7,0.8,7,0.8,918841,2.8,0,0.0,0,0.0,59,1.9
"51107","1","488111","78","0","2024","1","",1,827,835,840,33853495,0,0,3122,"",6.42,53.05,53.39,53.41,52.87,0.00,0.00,0.99,"",0,0.0,7,0.9,7,0.8,7,0.8,918841,2.8,0,0.0,0,0.0,59,1.9
"51107","1","491","75","0","2024","1","",20,1012,1017,1034,21976877,0,0,1656,"",0.56,1.34,1.34,1.35,1.36,0.00,0.00,1.01,"",1,5.3,-62,-5.8,-52,-4.9,-31,-2.9,318431,1.5,0,0.0,0,0.0,98,6.3
"51107","1","4911","76","0","2024","1","",20,1012,1017,1034,21976877,0,0,1656,"",0.56,1.34,1.34,1.35,1.36,0.00,0.00,1.01,"",1,5.3,-62,-5.8,-52,-4.9,-31,-2.9,318431,1.5,0,0.0,0,0.0,98,6.3
"51107","1","49111","77","0","2024","1","",20,1012,1017,1034,21976877,0,0,1656,"",0.56,1.34,1.34,1.35,1.36,0.00,0.00,1.01,"",1,5.3,-62,-5.8,-52,-4.9,-31,-2.9,318431,1.5,0,0.0,0,0.0,98,6.3
"51107","1","491110","78","0","2024","1","",20,1012,1017,1034,21976877,0,0,1656,"",0.56,1.34,1.34,1.35,1.36,0.00,0.00,1.01,"",1,5.3,-62,-5.8,-52,-4.9,-31,-2.9,318431,1.5,0,0.0,0,0.0,98,6.3
"51107","1","54","74","0","2024","1","",2,29,29,29,892563,0,0,2368,"",1.21,0.33,0.33,0.33,0.36,0.00,0.00,1.09,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","541","75","0","2024","1","",2,29,29,29,892563,0,0,2368,"",1.21,0.33,0.33,0.33,0.36,0.00,0.00,1.09,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","5419","76","0","2024","1","",2,29,29,29,892563,0,0,2368,"",12.08,5.32,5.30,5.24,5.45,0.00,0.00,1.03,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","54199","77","0","2024","1","",2,29,29,29,892563,0,0,2368,"",12.26,5.89,5.91,5.83,5.63,0.00,0.00,0.96,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","541990","78","0","2024","1","",2,29,29,29,892563,0,0,2368,"",12.26,5.89,5.91,5.83,5.63,0.00,0.00,0.96,"",0,0.0,-4,-12.1,-3,-9.4,-2,-6.5,-12248,-1.4,0,0.0,0,0.0,193,8.9
"51107","1","71","74","0","2024","1","",1,27,27,27,750888,0,0,2139,"",0.79,0.58,0.58,0.57,0.89,0.00,0.00,1.54,"",0,0.0,20,285.7,19,237.5,2,8.0,461186,159.2,0,0.0,0,0.0,468,28.0
"51107","1","712","75","0","2024","1","",1,27,27,27,750888,0,0,2139,"",1.67,1.03,1.02,1.01,1.22,0.00,0.00,1.19,"",0,0.0,20,285.7,19,237.5,2,8.0,461186,159.2,0,0.0,0,0.0,468,28.0
"51107","1","7121","76","0","2024","1","",1,27,27,27,750888,0,0,2139,"",1.67,1.03,1.02,1.01,1.22,0.00,0.00,1.19,"",0,0.0,20,285.7,19,237.5,2,8.0,461186,159.2,0,0.0,0,0.0,468,28.0
