"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24033","0","10","70","0","2023","A","",18018,318512,22779323620,2348076795,54416036,1375,71518,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",540,3.1,7121,2.3,1336201859,6.2,20695644,0.9,-1695537,-3.0,51,3.9,2656,3.9
"24033","1","10","71","0","2023","A","",146,30399,3912876845,0,0,2475,128718,"",1.57,4.99,6.64,0.00,0.00,1.33,1.33,"",5,3.5,407,1.4,216068502,5.8,0,0.0,0,0.0,105,4.4,5458,4.4
"24033","1","102","72","0","2023","A","",146,30399,3912876845,0,0,2475,128718,"",1.57,5.08,6.76,0.00,0.00,1.33,1.33,"",5,3.5,407,1.4,216068502,5.8,0,0.0,0,0.0,105,4.4,5458,4.4
"24033","1","1021","73","0","2023","A","",36,2648,180590076,0,0,1312,68207,"",0.78,1.90,1.85,0.00,0.00,0.98,0.98,"",0,0.0,-74,-2.7,6423166,3.7,0,0.0,0,0.0,82,6.7,4228,6.6
"24033","1","1022","73","0","2023","A","",1,7,216253,0,0,624,32438,"",4.42,0.51,0.17,0.00,0.00,0.35,0.35,"",0,0.0,1,16.7,57665,36.4,0,0.0,0,0.0,129,26.1,6721,26.1
"24033","1","1023","73","0","2023","A","",2,403,54690974,0,0,2610,135738,"",1.61,15.27,14.80,0.00,0.00,0.97,0.97,"",1,100.0,77,23.6,12898625,30.9,0,0.0,0,0.0,147,6.0,7639,6.0
"24033","1","1024","73","0","2023","A","",9,634,98499762,0,0,2987,155342,"",4.10,4.31,6.63,0.00,0.00,1.54,1.54,"",0,0.0,28,4.6,8012155,8.9,0,0.0,0,0.0,117,4.1,6125,4.1
"24033","1","1025","73","0","2023","A","",4,218,15194261,0,0,1339,69645,"",1.85,0.24,0.16,0.00,0.00,0.70,0.70,"",0,0.0,6,2.8,670973,4.6,0,0.0,0,0.0,24,1.8,1273,1.9
"24033","1","1026","73","0","2023","A","",8,499,40180644,0,0,1549,80522,"",3.65,5.05,6.84,0.00,0.00,1.36,1.35,"",-1,-11.1,-2,-0.4,1522106,3.9,0,0.0,0,0.0,66,4.5,3385,4.4
"24033","1","1028","73","0","2023","A","",85,25990,3523504875,0,0,2607,135570,"",2.23,7.70,9.71,0.00,0.00,1.26,1.26,"",4,4.9,373,1.5,186483812,5.6,0,0.0,0,0.0,102,4.1,5305,4.1
