"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"24031","0","10","70","0","2024","1","",36216,451228,452794,452979,11951403964,2399318006,27674688,2032,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1984,5.8,-3520,-0.8,-2623,-0.6,-2460,-0.5,377032242,3.3,-75494437,-3.1,-23040661,-45.4,76,3.9
"24031","1","10","71","0","2024","1","",137,48355,48342,48359,1817049829,0,0,2891,"",0.75,5.50,5.48,5.49,6.09,0.00,0.00,1.11,"",5,3.8,-1666,-3.3,-802,-1.6,278,0.6,35924000,2.0,0,0.0,0,0.0,100,3.6
"24031","1","102","72","0","2024","1","",137,48355,48342,48359,1817049829,0,0,2891,"",0.75,5.60,5.58,5.59,6.20,0.00,0.00,1.11,"",5,3.8,-1666,-3.3,-802,-1.6,278,0.6,35924000,2.0,0,0.0,0,0.0,100,3.6
"24031","1","1021","73","0","2024","1","",47,2222,2184,2182,42147467,0,0,1476,"",0.51,1.12,1.10,1.10,0.83,0.00,0.00,0.75,"",4,9.3,72,3.3,18,0.8,-5,-0.2,-620418,-1.5,0,0.0,0,0.0,-42,-2.8
"24031","1","1023","73","0","2024","1","",1,74,51,53,2645451,0,0,3430,"",0.41,1.95,1.35,1.41,1.39,0.00,0.00,0.89,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","1024","73","0","2024","1","",4,2668,2664,2663,92209246,0,0,2662,"",0.88,12.56,12.52,12.53,12.93,0.00,0.00,1.03,"",-1,-20.0,-12,-0.4,2,0.1,8,0.3,3897490,4.4,0,0.0,0,0.0,114,4.5
"24031","1","1025","73","0","2024","1","",4,3783,3776,3752,123955015,0,0,2529,"",0.92,2.79,2.78,2.77,2.44,0.00,0.00,0.88,"",0,0.0,80,2.2,70,1.9,43,1.2,8301925,7.2,0,0.0,0,0.0,128,5.3
"24031","1","1026","73","0","2024","1","",1,30,32,32,791286,0,0,1943,"",0.23,0.23,0.24,0.24,0.30,0.00,0.00,1.27,"",0,0.0,9,42.9,10,45.5,9,39.1,251270,46.5,0,0.0,0,0.0,55,2.9
"24031","1","1028","73","0","2024","1","",80,39578,39635,39677,1555301364,0,0,3019,"",1.07,8.13,8.11,8.12,8.69,0.00,0.00,1.07,"",1,1.3,-1889,-4.6,-953,-2.3,170,0.4,21448282,1.4,0,0.0,0,0.0,107,3.7
"24031","1","44-45","74","0","2024","1","",5,236,233,234,2233943,0,0,733,"",2.37,2.01,1.99,2.01,1.45,0.00,0.00,0.72,"",0,0.0,1,0.4,-4,-1.7,1,0.4,81833,3.8,0,0.0,0,0.0,29,4.1
"24031","1","445","75","0","2024","1","",1,32,32,32,465020,0,0,1118,"",1.66,1.07,1.07,1.08,0.86,0.00,0.00,0.80,"",0,0.0,-1,-3.0,-2,-5.9,0,0.0,-5194,-1.1,0,0.0,0,0.0,22,2.0
"24031","1","4451","76","0","2024","1","",1,32,32,32,465020,0,0,1118,"",1.66,1.07,1.07,1.08,0.86,0.00,0.00,0.80,"",0,0.0,-1,-3.0,-2,-5.9,0,0.0,-5194,-1.1,0,0.0,0,0.0,22,2.0
"24031","1","44511","77","0","2024","1","",1,32,32,32,465020,0,0,1118,"",1.92,1.14,1.14,1.15,0.89,0.00,0.00,0.78,"",0,0.0,-1,-3.0,-2,-5.9,0,0.0,-5194,-1.1,0,0.0,0,0.0,22,2.0
"24031","1","445110","78","0","2024","1","",1,32,32,32,465020,0,0,1118,"",1.92,1.14,1.14,1.15,0.89,0.00,0.00,0.78,"",0,0.0,-1,-3.0,-2,-5.9,0,0.0,-5194,-1.1,0,0.0,0,0.0,22,2.0
"24031","1","455","75","0","2024","1","",4,204,201,202,1768923,0,0,673,"",4.67,2.75,2.71,2.74,1.98,0.00,0.00,0.73,"",0,0.0,2,1.0,-2,-1.0,1,0.5,87027,5.2,0,0.0,0,0.0,33,5.2
"24031","1","4551","76","0","2024","1","",4,204,201,202,1768923,0,0,673,"",6.34,4.20,4.16,4.22,3.00,0.00,0.00,0.72,"",0,0.0,2,1.0,-2,-1.0,1,0.5,87027,5.2,0,0.0,0,0.0,33,5.2
"24031","1","45511","77","0","2024","1","",4,204,201,202,1768923,0,0,673,"",6.34,4.20,4.16,4.22,3.00,0.00,0.00,0.72,"",0,0.0,2,1.0,-2,-1.0,1,0.5,87027,5.2,0,0.0,0,0.0,33,5.2
"24031","1","455110","78","0","2024","1","",4,204,201,202,1768923,0,0,673,"",6.34,4.20,4.16,4.22,3.00,0.00,0.00,0.72,"",0,0.0,2,1.0,-2,-1.0,1,0.5,87027,5.2,0,0.0,0,0.0,33,5.2
