"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06085","0","10","70","0","2024","1","",82935,1113434,1113174,1113632,55052717379,6503026479,197839277,3803,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4066,5.2,2466,0.2,-2985,-0.3,-549,0.0,6926244836,14.4,-319045734,-4.7,3548116,1.8,479,14.4
"06085","1","10","71","0","2024","1","",97,9987,10017,10006,331516612,0,0,2549,"",0.23,0.46,0.46,0.46,0.24,0.00,0.00,0.52,"",14,16.9,52,0.5,8,0.1,21,0.2,8671153,2.7,0,0.0,0,0.0,60,2.4
"06085","1","102","72","0","2024","1","",97,9987,10017,10006,331516612,0,0,2549,"",0.23,0.47,0.47,0.47,0.25,0.00,0.00,0.52,"",14,16.9,52,0.5,8,0.1,21,0.2,8671153,2.7,0,0.0,0,0.0,60,2.4
"06085","1","1021","73","0","2024","1","",48,2642,2659,2673,57317664,0,0,1659,"",0.23,0.54,0.54,0.55,0.24,0.00,0.00,0.45,"",9,23.1,-50,-1.9,-17,-0.6,-4,-0.1,-1727515,-2.9,0,0.0,0,0.0,-35,-2.1
"06085","1","1024","73","0","2024","1","",1,0,1,1,44665,0,0,5154,"",0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","1025","73","0","2024","1","",1,3595,3589,3586,152617401,0,0,3270,"",0.10,1.07,1.07,1.08,0.65,0.00,0.00,0.61,"",0,0.0,92,2.6,30,0.8,33,0.9,4010625,2.7,0,0.0,0,0.0,39,1.2
"06085","1","1028","73","0","2024","1","",47,3750,3768,3746,121536882,0,0,2490,"",0.27,0.31,0.31,0.31,0.15,0.00,0.00,0.47,"",4,9.3,10,0.3,-6,-0.2,-9,-0.2,6343378,5.5,0,0.0,0,0.0,131,5.6
"06085","1","44-45","74","0","2024","1","",2,51,50,51,811173,0,0,1232,"",0.41,0.18,0.17,0.18,0.11,0.00,0.00,0.65,"",0,0.0,10,24.4,5,11.1,2,4.1,150609,22.8,0,0.0,0,0.0,103,9.1
"06085","1","445","75","0","2024","1","",1,39,38,39,693359,0,0,1379,"",0.72,0.53,0.52,0.53,0.28,0.00,0.00,0.53,"",0,0.0,9,30.0,6,18.8,3,8.3,144575,26.3,0,0.0,0,0.0,87,6.7
"06085","1","4451","76","0","2024","1","",1,39,38,39,693359,0,0,1379,"",0.72,0.53,0.52,0.53,0.28,0.00,0.00,0.53,"",0,0.0,9,30.0,6,18.8,3,8.3,144575,26.3,0,0.0,0,0.0,87,6.7
"06085","1","44511","77","0","2024","1","",1,39,38,39,693359,0,0,1379,"",0.84,0.56,0.55,0.57,0.29,0.00,0.00,0.51,"",0,0.0,9,30.0,6,18.8,3,8.3,144575,26.3,0,0.0,0,0.0,87,6.7
"06085","1","445110","78","0","2024","1","",1,39,38,39,693359,0,0,1379,"",0.84,0.56,0.55,0.57,0.29,0.00,0.00,0.51,"",0,0.0,9,30.0,6,18.8,3,8.3,144575,26.3,0,0.0,0,0.0,87,6.7
"06085","1","455","75","0","2024","1","",1,12,12,12,117814,0,0,755,"",0.51,0.07,0.07,0.07,0.03,0.00,0.00,0.43,"",0,0.0,1,9.1,-1,-7.7,-1,-7.7,6034,5.4,0,0.0,0,0.0,58,8.3
"06085","1","4551","76","0","2024","1","",1,12,12,12,117814,0,0,755,"",0.69,0.10,0.10,0.10,0.04,0.00,0.00,0.43,"",0,0.0,1,9.1,-1,-7.7,-1,-7.7,6034,5.4,0,0.0,0,0.0,58,8.3
"06085","1","45511","77","0","2024","1","",1,12,12,12,117814,0,0,755,"",0.69,0.10,0.10,0.10,0.04,0.00,0.00,0.43,"",0,0.0,1,9.1,-1,-7.7,-1,-7.7,6034,5.4,0,0.0,0,0.0,58,8.3
"06085","1","455110","78","0","2024","1","",1,12,12,12,117814,0,0,755,"",0.69,0.10,0.10,0.10,0.04,0.00,0.00,0.43,"",0,0.0,1,9.1,-1,-7.7,-1,-7.7,6034,5.4,0,0.0,0,0.0,58,8.3
"06085","1","48-49","74","0","2024","1","",46,2591,2609,2622,56506491,0,0,1667,"",0.23,0.57,0.58,0.58,0.26,0.00,0.00,0.45,"",9,24.3,-60,-2.3,-22,-0.8,-6,-0.2,-1878124,-3.2,0,0.0,0,0.0,-36,-2.1
"06085","1","491","75","0","2024","1","",46,2591,2609,2622,56506491,0,0,1667,"",0.23,0.59,0.59,0.59,0.27,0.00,0.00,0.45,"",9,24.3,-60,-2.3,-22,-0.8,-6,-0.2,-1878124,-3.2,0,0.0,0,0.0,-36,-2.1
"06085","1","4911","76","0","2024","1","",46,2591,2609,2622,56506491,0,0,1667,"",0.23,0.59,0.59,0.59,0.27,0.00,0.00,0.45,"",9,24.3,-60,-2.3,-22,-0.8,-6,-0.2,-1878124,-3.2,0,0.0,0,0.0,-36,-2.1
"06085","1","49111","77","0","2024","1","",46,2591,2609,2622,56506491,0,0,1667,"",0.23,0.59,0.59,0.59,0.27,0.00,0.00,0.45,"",9,24.3,-60,-2.3,-22,-0.8,-6,-0.2,-1878124,-3.2,0,0.0,0,0.0,-36,-2.1
"06085","1","491110","78","0","2024","1","",46,2591,2609,2622,56506491,0,0,1667,"",0.23,0.59,0.59,0.59,0.27,0.00,0.00,0.45,"",9,24.3,-60,-2.3,-22,-0.8,-6,-0.2,-1878124,-3.2,0,0.0,0,0.0,-36,-2.1
"06085","1","54","74","0","2024","1","",1,0,1,1,44665,0,0,5154,"",0.11,0.00,0.00,0.00,0.00,0.00,0.00,1.06,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06085","1","541","75","0","2024","1","",1,0,1,1,44665,0,0,5154,"",0.11,0.00,0.00,0.00,0.00,0.00,0.00,1.06,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
