"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37183","0","10","70","0","2023","A","",50438,639870,47404598045,15784407403,100297929,1425,74085,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4243,9.2,22128,3.6,2839335921,6.4,1156407139,7.9,2544372,2.6,38,2.7,1943,2.7
"37183","1","10","71","0","2023","A","",84,6121,553627582,0,0,1740,90455,"",0.32,0.50,0.45,0.00,0.00,0.90,0.90,"",1,1.2,318,5.5,47781781,9.4,0,0.0,0,0.0,64,3.8,3280,3.8
"37183","1","102","72","0","2023","A","",84,6121,553627582,0,0,1740,90455,"",0.32,0.51,0.46,0.00,0.00,0.90,0.90,"",1,1.2,318,5.5,47781781,9.4,0,0.0,0,0.0,64,3.8,3280,3.8
"37183","1","1021","73","0","2023","A","",29,2604,197236129,0,0,1457,75744,"",0.22,0.93,0.97,0.00,0.00,1.05,1.05,"",4,16.0,85,3.4,2438306,1.3,0,0.0,0,0.0,-30,-2.0,-1587,-2.1
"37183","1","1023","73","0","2023","A","",4,111,14360807,0,0,2486,129280,"",1.15,2.09,1.87,0.00,0.00,0.89,0.89,"",0,0.0,2,1.8,1991701,16.1,0,0.0,0,0.0,295,13.5,15367,13.5
"37183","1","1024","73","0","2023","A","",2,116,12590864,0,0,2095,108933,"",0.33,0.39,0.41,0.00,0.00,1.04,1.04,"",0,0.0,65,127.5,7487674,146.7,0,0.0,0,0.0,183,9.6,9520,9.6
"37183","1","1025","73","0","2023","A","",1,3,434121,0,0,3131,162795,"",0.16,0.00,0.00,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,-11523,-2.6,0,0.0,0,0.0,425,15.7,22065,15.7
"37183","1","1028","73","0","2023","A","",48,3287,329005661,0,0,1925,100088,"",0.45,0.48,0.44,0.00,0.00,0.90,0.90,"",-3,-5.9,166,5.3,35875623,12.2,0,0.0,0,0.0,119,6.6,6154,6.6
"37183","1","48-49","74","0","2023","A","",29,2604,197236129,0,0,1457,75744,"",0.23,1.01,1.04,0.00,0.00,1.04,1.04,"",4,16.0,85,3.4,2438306,1.3,0,0.0,0,0.0,-30,-2.0,-1587,-2.1
"37183","1","491","75","0","2023","A","",29,2604,197236129,0,0,1457,75744,"",0.23,1.03,1.09,0.00,0.00,1.06,1.06,"",4,16.0,85,3.4,2438306,1.3,0,0.0,0,0.0,-30,-2.0,-1587,-2.1
