"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37183","0","10","70","0","2024","1","",53446,639687,643111,645214,12846035039,8009416577,52101551,1538,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4584,9.4,15490,2.5,14015,2.2,14802,2.3,652381259,5.4,304076312,3.9,4186457,8.7,44,2.9
"37183","1","10","71","0","2024","1","",86,6256,6281,6279,145745286,0,0,1787,"",0.32,0.50,0.50,0.50,0.45,0.00,0.00,0.91,"",6,7.5,239,4.0,197,3.2,195,3.2,9949619,7.3,0,0.0,0,0.0,64,3.7
"37183","1","102","72","0","2024","1","",86,6256,6281,6279,145745286,0,0,1787,"",0.32,0.51,0.51,0.51,0.46,0.00,0.00,0.91,"",6,7.5,239,4.0,197,3.2,195,3.2,9949619,7.3,0,0.0,0,0.0,64,3.7
"37183","1","1021","73","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.23,0.93,0.92,0.91,0.98,0.00,0.00,1.06,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","1023","73","0","2024","1","",4,114,114,115,3923862,0,0,2640,"",1.10,2.12,2.13,2.14,1.92,0.00,0.00,0.90,"",0,0.0,4,3.6,6,5.6,7,6.5,472601,13.7,0,0.0,0,0.0,197,8.1
"37183","1","1024","73","0","2024","1","",2,127,130,133,3828439,0,0,2265,"",0.30,0.42,0.43,0.44,0.50,0.00,0.00,1.16,"",0,0.0,23,22.1,24,22.6,25,23.1,906874,31.0,0,0.0,0,0.0,145,6.8
"37183","1","1025","73","0","2024","1","",1,3,2,2,116142,0,0,3829,"",0.16,0.00,0.00,0.00,0.00,0.00,0.00,1.76,"",0,0.0,0,0.0,-1,-33.3,-1,-33.3,-9213,-7.3,0,0.0,0,0.0,615,19.1
"37183","1","1028","73","0","2024","1","",48,3388,3426,3444,84440985,0,0,1900,"",0.43,0.49,0.49,0.50,0.44,0.00,0.00,0.89,"",0,0.0,204,6.4,204,6.3,223,6.9,10641102,14.4,0,0.0,0,0.0,131,7.4
"37183","1","48-49","74","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.24,1.01,1.00,0.99,1.04,0.00,0.00,1.05,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","491","75","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.24,1.03,1.02,1.01,1.09,0.00,0.00,1.06,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","4911","76","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.24,1.03,1.02,1.01,1.09,0.00,0.00,1.06,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","49111","77","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.24,1.03,1.02,1.01,1.09,0.00,0.00,1.06,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","491110","78","0","2024","1","",31,2624,2609,2585,53435858,0,0,1577,"",0.24,1.03,1.02,1.01,1.09,0.00,0.00,1.06,"",6,24.0,8,0.3,-36,-1.4,-59,-2.2,-2061745,-3.7,0,0.0,0,0.0,-43,-2.7
"37183","1","52","74","0","2024","1","",4,114,114,115,3923862,0,0,2640,"",1.11,2.13,2.13,2.15,1.92,0.00,0.00,0.90,"",0,0.0,4,3.6,6,5.6,7,6.5,472601,13.7,0,0.0,0,0.0,197,8.1
"37183","1","522","75","0","2024","1","",2,41,40,40,1106255,0,0,2110,"",0.71,1.57,1.54,1.54,1.45,0.00,0.00,0.94,"",0,0.0,0,0.0,-1,-2.4,-1,-2.4,141508,14.7,0,0.0,0,0.0,300,16.6
"37183","1","5222","76","0","2024","1","",2,41,40,40,1106255,0,0,2110,"",0.71,1.57,1.54,1.54,1.45,0.00,0.00,0.94,"",0,0.0,0,0.0,-1,-2.4,-1,-2.4,141508,14.7,0,0.0,0,0.0,300,16.6
"37183","1","52229","77","0","2024","1","",2,41,40,40,1106255,0,0,2110,"",0.71,1.57,1.54,1.54,1.45,0.00,0.00,0.94,"",0,0.0,0,0.0,-1,-2.4,-1,-2.4,141508,14.7,0,0.0,0,0.0,300,16.6
"37183","1","522292","78","0","2024","1","",1,33,33,33,866692,0,0,2020,"",0.79,2.44,2.46,2.47,2.74,0.00,0.00,1.12,"",0,0.0,-3,-8.3,-3,-8.3,-3,-8.3,71132,8.9,0,0.0,0,0.0,320,18.8
