Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Dallas County Texas,0,Total for all sectors,All establishments,All establishments,2019,67311,99304828,26327259,1534430,
Dallas County Texas,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,17,2676,665,70,
Dallas County Texas,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2019,354,706258,243491,4730,
Dallas County Texas,22,Utilities,All establishments,All establishments,2019,92,714881,234608,5034,
Dallas County Texas,23,Construction,All establishments,All establishments,2019,4375,5999845,1558602,85170,
Dallas County Texas,31-33,Manufacturing,All establishments,All establishments,2019,2218,6557905,1816348,100039,
Dallas County Texas,42,Wholesale trade,All establishments,All establishments,2019,4359,6593752,1668833,90213,
Dallas County Texas,44-45,Retail trade,All establishments,All establishments,2019,7649,4273463,1074619,129023,
Dallas County Texas,48-49,Transportation and warehousing,All establishments,All establishments,2019,1959,8247444,2152997,125473,
Dallas County Texas,51,Information,All establishments,All establishments,2019,1568,6747084,2131696,64805,
Dallas County Texas,52,Finance and insurance,All establishments,All establishments,2019,5132,10413659,3209814,99658,
Dallas County Texas,53,Real estate and rental and leasing,All establishments,All establishments,2019,4160,3012891,792100,41784,
Dallas County Texas,54,Professional scientific and technical services,All establishments,All establishments,2019,9881,14184237,3324242,141211,
Dallas County Texas,55,Management of companies and enterprises,All establishments,All establishments,2019,829,8064650,2437136,74475,
Dallas County Texas,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,3795,5863716,1376409,143391,
Dallas County Texas,61,Educational services,All establishments,All establishments,2019,854,1451484,343188,31976,
Dallas County Texas,62,Health care and social assistance,All establishments,All establishments,2019,7803,10394953,2466166,184046,
Dallas County Texas,71,Arts entertainment and recreation,All establishments,All establishments,2019,851,663312,150372,19220,
Dallas County Texas,72,Accommodation and food services,All establishments,All establishments,2019,6209,3098108,739777,139833,
Dallas County Texas,81,Other services (except public administration),All establishments,All establishments,2019,5128,2310175,605374,54158,
Dallas County Texas,99,Industries not classified,All establishments,All establishments,2019,78,4335,822,121,
Dallas County Texas,0,Total for all sectors,All establishments,All establishments,2020,68180,102251445,27978191,1563934,
Dallas County Texas,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,19,2538,595,59,
Dallas County Texas,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2020,322,551258,214674,3880,
