,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"639,400","447,200","232,800","172,500","129,300","462,000","447,100"
﻿,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"836,800","474,900","252,500","188,200","145,800","544,900","477,700"
﻿,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"1,061,900","491,700","301,600","267,400","193,900","576,700","534,600"
﻿,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Median value (dollars),"1,443,100","636,200","482,100","437,700","319,100","727,200","734,700"

