area_fips,own_code,Industry Code,agglvl_code,size_code,year,qtr,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg
48113,0,10,70,0,2020,A,81171,1667356,1.25E+11,17216396378,321826240,1443,75038,1215742338,1,-540607744
48113,1,10,71,0,2020,A,167,26129,2365181145,-,0,1741,90520,130082241,5.8,-
48113,1,101,72,0,2020,A,1,6,559565,-,0,1769,91983,-40574,-6.8,-
48113,1,102,72,0,2020,A,166,26123,2364621580,-,0,1741,90520,130122815,5.8,-
48113,1,1021,73,0,2020,A,69,8186,590807483,-,0,1388,72169,8587085,1.5,-
48113,1,1023,73,0,2020,A,3,542,86218333,-,0,3061,159148,689492,0.8,-
48113,1,1024,73,0,2020,A,3,124,15355207,-,0,2391,124334,244397,1.6,-
48113,1,1025,73,0,2020,A,1,5013,470094113,-,0,1803,93770,31129575,7.1,-
48113,1,54,74,0,2020,A,3,124,15355207,-,0,2391,124334,244397,1.6,-
48113,1,541,75,0,2020,A,3,124,15355207,-,0,2391,124334,244397,1.6,-
48113,1,62,74,0,2020,A,1,5013,470094113,-,0,1803,93770,31129575,7.1,-
48113,2,10,71,0,2020,A,48,24764,2153029016,-,0,1672,86942,172775399,8.7,-
48113,2,101,72,0,2020,A,1,0,-,-,0,-,-,-,-,-
48113,2,102,72,0,2020,A,47,0,-,-,0,-,-,-,-,-
48113,2,1025,73,0,2020,A,17,20936,1941985848,-,0,1784,92760,157960230,8.9,-
48113,2,62,74,0,2020,A,5,0,-,-,0,-,-,-,-,-
48113,3,10,71,0,2020,A,316,125122,7427849300,43016272,703932,1142,59365,312555981,4.4,-1385519
48113,3,101,72,0,2020,A,25,2764,182637391,1572012,25146,1271,66077,7739934,4.4,-99020
48113,3,102,72,0,2020,A,291,122358,7245211909,41444260,678786,1139,59213,304816047,4.4,-1286499
48113,3,1021,73,0,2020,A,42,10382,730009564,1596343,25538,1352,70314,31965086,4.6,-16628
48113,3,1023,73,0,2020,A,4,0,-,-,0,-,-,-,-,-
48113,3,1024,73,0,2020,A,20,435,24894876,665176,10643,1101,57263,106333,0.4,5630
48113,3,1025,73,0,2020,A,30,82969,4509981910,9944996,159114,1045,54358,180388520,4.2,-53949
48113,3,54,74,0,2020,A,5,14,1429953,-,0,1953,101535,51212,3.7,-
48113,3,541,75,0,2020,A,5,14,1429953,-,0,1953,101535,51212,3.7,-
48113,3,62,74,0,2020,A,9,0,-,-,0,-,-,-,-,-
48113,5,10,71,0,2020,A,80642,1491341,1.13E+11,17173380106,321122308,1459,75884,600328717,0.5,-539222225
48113,5,101,72,0,2020,A,8471,213734,17991618606,2471065122,47746372,1619,84178,-540444669,-2.9,-118804357
48113,5,102,72,0,2020,A,72171,1277608,95176664216,14702314984,273375936,1433,74496,1140773386,1.2,-420417868
48113,5,1021,73,0,2020,A,16364,349186,22492602199,4179938603,62807646,1239,64414,853686841,3.9,163302010
48113,5,1023,73,0,2020,A,10153,159664,17598751960,1903763310,47623223,2120,110223,348884030,2,-62434557
48113,5,1024,73,0,2020,A,18668,353651,31094156212,4533619995,98827198,1691,87923,408804881,1.3,-182937323
48113,5,1025,73,0,2020,A,10194,197931,12687287918,1635188479,23353093,1233,64100,259911140,2.1,-44293781
48113,5,54,74,0,2020,A,13123,162461,18215926714,1873861901,43545275,2156,112125,810382929,4.7,-16039126
48113,5,541,75,0,2020,A,13123,162461,18215926714,1873861901,43545275,2156,112125,810382929,4.7,-16039126
48113,5,62,74,0,2020,A,9205,171502,11132290103,1488053137,20111545,1248,64911,240737092,2.2,-26614545
48113,0,10,70,0,2021,A,84332,1732133,1.37E+11,18653172083,406508041,1519,78980,11689279777,9.3,1436775705
48113,1,10,71,0,2021,A,164,25801,2402848298,-,0,1791,93130,37667153,1.6,-
48113,1,101,72,0,2021,A,1,7,677945,-,0,1862,96849,118380,21.2,-
48113,1,102,72,0,2021,A,163,25794,2402170353,-,0,1791,93129,37548773,1.6,-
48113,1,1021,73,0,2021,A,69,8309,597377996,-,0,1383,71898,6570513,1.1,-
48113,1,1023,73,0,2021,A,3,566,89472744,-,0,3039,158009,3254411,3.8,-
48113,1,1024,73,0,2021,A,3,125,15919277,-,0,2451,127439,564070,3.7,-
48113,1,1025,73,0,2021,A,1,5055,490824492,-,0,1867,97100,20730379,4.4,-
48113,1,54,74,0,2021,A,3,125,15919277,-,0,2451,127439,564070,3.7,-
48113,1,541,75,0,2021,A,3,125,15919277,-,0,2451,127439,564070,3.7,-
48113,1,62,74,0,2021,A,1,5055,490824492,-,0,1867,97100,20730379,4.4,-
48113,2,10,71,0,2021,A,47,26212,2360962202,-,0,1732,90071,207933186,9.7,-
48113,2,101,72,0,2021,A,1,0,-,-,0,-,-,-,-,-
48113,2,102,72,0,2021,A,46,0,-,-,0,-,-,-,-,-
48113,2,1025,73,0,2021,A,17,22458,2144226571,-,0,1836,95478,202240723,10.4,-
48113,2,62,74,0,2021,A,4,0,-,-,0,-,-,-,-,-
48113,3,10,71,0,2021,A,319,123053,7725962446,43787941,1206730,1207,62785,298113146,4,771669
48113,3,101,72,0,2021,A,25,2643,185449390,1486516,41619,1349,70155,2811999,1.5,-85496
48113,3,102,72,0,2021,A,294,120410,7540513056,42301425,1165111,1204,62624,295301147,4.1,857165
48113,3,1021,73,0,2021,A,42,9542,696281732,1771223,49592,1403,72968,-33727832,-4.6,174880
48113,3,1023,73,0,2021,A,4,0,-,-,0,-,-,-,-,-
48113,3,1024,73,0,2021,A,22,384,23185592,622869,17440,1160,60314,-1709284,-6.9,-42307
48113,3,1025,73,0,2021,A,30,82412,4790751835,9984582,279566,1118,58132,280769925,6.2,39586
