,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
0,"Dallas County, Texas",0,Total for all sectors,All establishments,All establishments,2019,"67,311","99,304,828","26,327,259","1,534,430",
10,"Dallas County, Texas",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,17,"2,676",665,70,
13,"Dallas County, Texas",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,354,"706,258","243,491","4,730",
20,"Dallas County, Texas",22,Utilities,All establishments,All establishments,2019,92,"714,881","234,608","5,034",
28,"Dallas County, Texas",23,Construction,All establishments,All establishments,2019,"4,375","5,999,845","1,558,602","85,170",
38,"Dallas County, Texas",31-33,Manufacturing,All establishments,All establishments,2019,"2,218","6,557,905","1,816,348","100,039",
48,"Dallas County, Texas",42,Wholesale trade,All establishments,All establishments,2019,"4,359","6,593,752","1,668,833","90,213",
57,"Dallas County, Texas",44-45,Retail trade,All establishments,All establishments,2019,"7,649","4,273,463","1,074,619","129,023",
66,"Dallas County, Texas",48-49,Transportation and warehousing,All establishments,All establishments,2019,"1,959","8,247,444","2,152,997","125,473",
76,"Dallas County, Texas",51,Information,All establishments,All establishments,2019,"1,568","6,747,084","2,131,696","64,805",
86,"Dallas County, Texas",52,Finance and insurance,All establishments,All establishments,2019,"5,132","10,413,659","3,209,814","99,658",
96,"Dallas County, Texas",53,Real estate and rental and leasing,All establishments,All establishments,2019,"4,160","3,012,891","792,100","41,784",
105,"Dallas County, Texas",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"9,881","14,184,237","3,324,242","141,211",
115,"Dallas County, Texas",55,Management of companies and enterprises,All establishments,All establishments,2019,829,"8,064,650","2,437,136","74,475",
125,"Dallas County, Texas",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,"3,795","5,863,716","1,376,409","143,391",
135,"Dallas County, Texas",61,Educational services,All establishments,All establishments,2019,854,"1,451,484","343,188","31,976",
145,"Dallas County, Texas",62,Health care and social assistance,All establishments,All establishments,2019,"7,803","10,394,953","2,466,166","184,046",
155,"Dallas County, Texas",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,851,"663,312","150,372","19,220",
163,"Dallas County, Texas",72,Accommodation and food services,All establishments,All establishments,2019,"6,209","3,098,108","739,777","139,833",
172,"Dallas County, Texas",81,Other services (except public administration),All establishments,All establishments,2019,"5,128","2,310,175","605,374","54,158",
181,"Dallas County, Texas",99,Industries not classified,All establishments,All establishments,2019,78,"4,335",822,121,
184,"Dallas County, Texas",0,Total for all sectors,All establishments,All establishments,2020,"68,180","102,251,445","27,978,191","1,563,934",
198,"Dallas County, Texas",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,19,"2,538",595,59,
200,"Dallas County, Texas",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,322,"551,258","214,674","3,880",
207,"Dallas County, Texas",22,Utilities,All establishments,All establishments,2020,88,"753,684","246,993","5,085",
215,"Dallas County, Texas",23,Construction,All establishments,All establishments,2020,"4,449","5,967,128","1,591,184","89,581",
226,"Dallas County, Texas",31-33,Manufacturing,All establishments,All establishments,2020,"2,211","7,268,406","2,162,988","104,206",
237,"Dallas County, Texas",42,Wholesale trade,All establishments,All establishments,2020,"4,315","6,335,522","1,639,704","87,919",
246,"Dallas County, Texas",44-45,Retail trade,All establishments,All establishments,2020,"7,743","4,320,514","1,101,962","130,786",
257,"Dallas County, Texas",48-49,Transportation and warehousing,All establishments,All establishments,2020,"2,089","8,564,688","2,378,241","135,039",
271,"Dallas County, Texas",51,Information,All establishments,All establishments,2020,"1,604","7,040,173","2,173,854","63,955",
282,"Dallas County, Texas",52,Finance and insurance,All establishments,All establishments,2020,"5,159","11,760,789","3,466,840","105,568",
294,"Dallas County, Texas",53,Real estate and rental and leasing,All establishments,All establishments,2020,"4,236","3,086,286","868,639","43,368",
303,"Dallas County, Texas",54,"Professional, scientific, and technical services",All establishments,All establishments,2020,"10,093","15,411,211","3,719,130","144,365",
315,"Dallas County, Texas",55,Management of companies and enterprises,All establishments,All establishments,2020,835,"8,203,732","2,430,799","71,792",
327,"Dallas County, Texas",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,"3,837","5,598,199","1,449,841","146,525",
338,"Dallas County, Texas",61,Educational services,All establishments,All establishments,2020,844,"1,523,264","373,989","33,367",
348,"Dallas County, Texas",62,Health care and social assistance,All establishments,All establishments,2020,"7,861","10,404,454","2,572,406","184,652",
362,"Dallas County, Texas",71,"Arts, entertainment, and recreation",All establishments,All establishments,2020,837,"576,589","156,399","18,950",
370,"Dallas County, Texas",72,Accommodation and food services,All establishments,All establishments,2020,"6,263","2,530,631","769,586","140,141",
379,"Dallas County, Texas",81,Other services (except public administration),All establishments,All establishments,2020,"5,281","2,347,450","659,209","54,541",
388,"Dallas County, Texas",99,Industries not classified,All establishments,All establishments,2020,94,"4,929","1,158",155,
391,"Dallas County, Texas",0,,All establishments,All establishments,2021,"69,959","110,554,872","27,969,774","1,506,838",Total for all sectors
