"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"HOUSING OCCUPANCY","","","","","","",""
"    Total housing units","668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"        Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        Vacant housing units","33,582","17,650","31,168","30,548","81,817","16,496","3,833"
"        Homeowner vacancy rate","0.5","1.1","0.9","1.2","1.2","0.6","0.6"
"        Rental vacancy rate","4.3","4.3","6.0","7.2","7.8","3.9","3.6"
"UNITS IN STRUCTURE","","","","","","",""
"    Total housing units","668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"        1-unit, detached","346,896","184,802","260,720","166,123","549,045","193,365","71,849"
"        1-unit, attached","73,075","71,398","49,020","25,705","37,365","97,667","40,456"
"        2 units","9,919","1,683","5,701","12,812","13,963","1,677","794"
"        3 or 4 units","37,146","5,445","11,036","11,295","42,537","5,275","1,308"
"        5 to 9 units","31,292","18,933","23,915","20,840","76,523","20,401","4,217"
"        10 to 19 units","34,913","34,466","36,961","29,228","102,185","40,149","8,648"
"        20 or more units","115,935","73,102","42,276","48,811","190,331","54,470","8,321"
"        Mobile home","19,220","526","11,977","4,828","15,486","2,001","706"
"        Boat, RV, van, etc.","500","120","114","97","378","144","99"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Total housing units","668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"        Built 2014 or later","26,715","14,143","40,066","27,320","51,773","10,132","12,927"
"        Built 2010 to 2013","16,539","10,983","30,795","9,719","32,874","8,998","12,115"
"        Built 2000 to 2009","58,398","40,082","110,044","45,252","124,031","44,901","41,717"
"        Built 1990 to 1999","66,674","47,211","99,181","39,310","125,632","65,636","32,897"
"        Built 1980 to 1989","80,896","77,592","67,929","48,158","184,054","95,997","14,974"
"        Built 1970 to 1979","145,889","61,019","40,694","44,807","183,500","85,707","8,515"
"        Built 1960 to 1969","122,102","55,814","24,381","37,958","133,030","56,354","6,019"
"        Built 1950 to 1959","95,284","46,546","13,841","33,661","118,003","35,281","2,446"
"        Built 1940 to 1949","23,297","19,061","5,138","13,407","38,492","8,447","938"
"        Built 1939 or earlier","33,102","18,024","9,651","20,147","36,424","3,696","3,850"
"ROOMS","","","","","","",""
"    Total housing units","668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"        1 room","27,951","8,872","5,366","8,054","30,335","6,675","1,159"
"        2 rooms","38,376","13,761","13,519","13,053","60,574","12,104","2,203"
"        3 rooms","83,679","37,014","40,184","38,060","151,421","34,683","5,543"
"        4 rooms","120,575","52,315","63,778","60,396","180,022","51,811","11,634"
"        5 rooms","110,899","44,586","69,574","57,440","182,247","46,457","14,252"
"        6 rooms","110,012","46,841","62,149","52,201","168,902","51,647","20,129"
"        7 rooms","77,119","42,755","52,489","33,654","103,959","43,936","15,308"
"        8 rooms","52,359","42,578","47,401","23,899","67,563","47,465","15,851"
"        9 rooms or more","47,926","101,753","87,260","32,982","82,790","120,371","50,319"
"        Median rooms","5.1","6.3","6.0","5.2","5.0","6.6","7.4"
"BEDROOMS","","","","","","",""
