"Geographic identifier code (GEO_ID)","Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"0500000US06085","Santa Clara County, California","22","2017","D","D","Q","D","D","1,000 to 2,499 employees"
"0500000US06085","Santa Clara County, California","31-33","2017","2,146","2,197","36,391,065","8,114,134","2,118,127","92,225"
"0500000US06085","Santa Clara County, California","42","2017","2,042","2,252","136,798,885","13,052,469","3,214,367","74,332"
"0500000US06085","Santa Clara County, California","44-45","2017","3,202","4,682","47,472,232","3,353,570","807,498","86,436"
"0500000US06085","Santa Clara County, California","48-49 (106)","2017","584","639","2,473,869","701,280","163,077","13,052"
"0500000US06085","Santa Clara County, California","51","2017","1,326","1,840","N","34,299,958","9,288,891","131,985"
"0500000US06085","Santa Clara County, California","52","2017","1,551","2,404","N","3,811,925","1,134,270","26,482"
"0500000US06085","Santa Clara County, California","53","2017","2,079","2,776","6,369,535","1,023,229","270,933","15,765"
"0500000US06085","Santa Clara County, California","54","2017","8,522","8,829","43,482,330","18,446,320","4,559,224","147,030"
"0500000US06085","Santa Clara County, California","54","2017","8,458","8,759","42,451,612","18,186,376","4,491,199","144,020"
"0500000US06085","Santa Clara County, California","54","2017","65","70","1,030,718","259,944","68,025","3,010"
"0500000US06085","Santa Clara County, California","56","2017","1,960","2,251","7,546,414","3,662,397","867,025","81,108"
"0500000US06085","Santa Clara County, California","61","2017","822","879","1,068,136","398,231","104,030","9,877"
"0500000US06085","Santa Clara County, California","61","2017","698","746","869,604","333,849","88,362","7,849"
"0500000US06085","Santa Clara County, California","61","2017","124","133","198,532","64,382","15,668","2,028"
"0500000US06085","Santa Clara County, California","62","2017","5,081","5,898","22,181,038","9,057,063","2,232,250","115,234"
"0500000US06085","Santa Clara County, California","62","2017","4,758","5,264","9,217,161","4,030,903","958,214","61,473"
"0500000US06085","Santa Clara County, California","62","2017","335","634","12,963,877","5,026,160","1,274,036","53,761"
"0500000US06085","Santa Clara County, California","71","2017","524","623","1,916,210","725,347","168,549","17,479"
"0500000US06085","Santa Clara County, California","71","2017","400","487","1,599,267","606,523","139,846","12,828"
"0500000US06085","Santa Clara County, California","71","2017","124","136","316,943","118,824","28,703","4,651"
"0500000US06085","Santa Clara County, California","72","2017","3,857","5,107","7,261,733","2,143,561","510,215","90,824"
"0500000US06085","Santa Clara County, California","81","2017","3,127","3,306","5,467,456","974,351","245,380","22,499"
"0500000US06085","Santa Clara County, California","81","2017","2,639","2,809","2,223,918","682,924","169,463","17,787"
"0500000US06085","Santa Clara County, California","81","2017","488","497","3,243,538","291,427","75,917","4,712"
"0500000US24031","Montgomery County, Maryland","22","2017","D","D","Q","D","D","250 to 499 employees"
"0500000US24031","Montgomery County, Maryland","31-33","2017","352","357","2,098,766","540,271","157,176","7,081"
"0500000US24031","Montgomery County, Maryland","42","2017","612","647","7,355,017","767,136","196,158","8,452"
"0500000US24031","Montgomery County, Maryland","44-45","2017","1,839","2,567","14,659,223","1,502,561","364,960","46,463"
"0500000US24031","Montgomery County, Maryland","48-49 (106)","2017","307","313","474,595","115,174","24,899","2,759"
"0500000US24031","Montgomery County, Maryland","51","2017","481","631","N","1,763,723","480,218","17,424"
"0500000US24031","Montgomery County, Maryland","52","2017","1,020","1,525","N","2,479,284","817,577","20,654"
"0500000US24031","Montgomery County, Maryland","53","2017","1,083","1,463","5,976,116","877,651","223,307","12,197"
"0500000US24031","Montgomery County, Maryland","54","2017","5,383","5,824","15,367,007","6,779,380","1,710,103","82,539"
"0500000US24031","Montgomery County, Maryland","54","2017","5,338","5,753","14,769,539","6,583,202","1,662,554","79,924"
"0500000US24031","Montgomery County, Maryland","54","2017","46","71","597,468","196,178","47,549","2,615"
"0500000US24031","Montgomery County, Maryland","56","2017","1,529","1,838","5,114,167","2,601,175","620,010","66,864"
"0500000US24031","Montgomery County, Maryland","61","2017","453","483","586,956","226,797","55,873","4,575"
"0500000US24031","Montgomery County, Maryland","61","2017","351","380","490,811","186,219","45,868","3,443"
"0500000US24031","Montgomery County, Maryland","61","2017","102","103","96,145","40,578","10,005","1,132"
"0500000US24031","Montgomery County, Maryland","62","2017","3,070","3,726","9,203,043","3,955,556","951,220","71,254"
"0500000US24031","Montgomery County, Maryland","62","2017","2,816","3,217","5,081,141","2,288,376","560,321","39,003"
"0500000US24031","Montgomery County, Maryland","62","2017","260","509","4,121,902","1,667,180","390,899","32,251"
"0500000US24031","Montgomery County, Maryland","71","2017","375","417","1,079,164","214,595","49,948","8,416"
"0500000US24031","Montgomery County, Maryland","71","2017","288","327","355,423","109,876","27,729","5,316"
"0500000US24031","Montgomery County, Maryland","71","2017","87","90","723,741","104,719","22,219","3,100"
"0500000US24031","Montgomery County, Maryland","72","2017","1,557","1,936","2,561,291","726,075","171,147","34,764"
"0500000US24031","Montgomery County, Maryland","81","2017","1,785","1,947","4,498,310","1,259,946","334,094","20,029"
"0500000US24031","Montgomery County, Maryland","81","2017","1,231","1,381","940,890","313,005","74,219","9,615"
"0500000US24031","Montgomery County, Maryland","81","2017","554","566","3,557,420","946,941","259,875","10,414"
"0500000US37183","Wake County, North Carolina","22","2017","D","D","Q","D","D","2,500 to 4,999 employees"
"0500000US37183","Wake County, North Carolina","31-33","2017","585","610","13,115,675","779,146","199,590","12,947"
"0500000US37183","Wake County, North Carolina","42","2017","1,032","1,160","30,139,991","1,790,406","433,284","22,292"
"0500000US37183","Wake County, North Carolina","44-45","2017","2,223","3,493","18,099,680","1,613,163","403,318","59,325"
"0500000US37183","Wake County, North Carolina","48-49 (106)","2017","452","497","1,438,910","439,799","108,415","9,907"
"0500000US37183","Wake County, North Carolina","51","2017","413","627","N","2,655,847","672,073","27,652"
"0500000US37183","Wake County, North Carolina","52","2017","1,045","1,766","N","2,395,011","685,255","25,255"
"0500000US37183","Wake County, North Carolina","53","2017","1,349","1,740","2,566,315","509,278","128,911","9,061"
"0500000US37183","Wake County, North Carolina","54","2017","4,726","4,961","12,473,634","4,975,018","1,189,443","59,503"
"0500000US37183","Wake County, North Carolina","54","2017","4,704","4,934","12,406,619","4,942,207","1,181,110","59,018"
"0500000US37183","Wake County, North Carolina","54","2017","22","27","67,015","32,811","8,333","485"
"0500000US37183","Wake County, North Carolina","56","2017","1,698","1,911","4,430,135","1,976,388","475,157","47,218"
"0500000US37183","Wake County, North Carolina","61","2017","431","440","530,314","177,079","45,123","4,667"
"0500000US37183","Wake County, North Carolina","61","2017","D","D","D","D","D","2,500 to 4,999 employees"
"0500000US37183","Wake County, North Carolina","61","2017","D","D","D","D","D","500 to 999 employees"
"0500000US37183","Wake County, North Carolina","62","2017","2,483","3,040","7,715,555","3,097,545","734,880","63,396"
"0500000US37183","Wake County, North Carolina","62","2017","2,277","2,771","4,352,103","1,852,150","438,511","38,835"
"0500000US37183","Wake County, North Carolina","62","2017","210","269","3,363,452","1,245,395","296,369","24,561"
"0500000US37183","Wake County, North Carolina","71","2017","430","475","749,099","260,638","73,589","12,322"
"0500000US37183","Wake County, North Carolina","71","2017","351","388","557,142","191,234","57,396","7,999"
"0500000US37183","Wake County, North Carolina","71","2017","79","87","191,957","69,404","16,193","4,323"
"0500000US37183","Wake County, North Carolina","72","2017","1,873","2,424","3,206,703","903,503","219,451","53,773"
"0500000US37183","Wake County, North Carolina","81","2017","1,771","2,004","1,716,487","518,022","126,345","13,651"
"0500000US37183","Wake County, North Carolina","81","2017","1,409","1,629","967,176","317,343","76,439","10,336"
"0500000US37183","Wake County, North Carolina","81","2017","362","375","749,311","200,679","49,906","3,315"
"0500000US47037","Davidson County, Tennessee","22","2017","7","10","Q","28,380","6,300","304"
"0500000US47037","Davidson County, Tennessee","31-33","2017","556","573","8,610,760","1,015,053","247,671","19,803"
"0500000US47037","Davidson County, Tennessee","42","2017","863","968","18,493,978","1,313,805","321,865","19,905"
"0500000US47037","Davidson County, Tennessee","44-45","2017","1,845","2,603","11,329,764","1,115,143","266,811","38,670"
"0500000US47037","Davidson County, Tennessee","48-49 (106)","2017","421","519","3,825,415","1,045,705","259,057","22,927"
"0500000US47037","Davidson County, Tennessee","51","2017","502","719","N","1,206,542","340,107","15,223"
"0500000US47037","Davidson County, Tennessee","52","2017","768","1,426","N","2,648,620","759,100","33,614"
"0500000US47037","Davidson County, Tennessee","53","2017","743","1,083","2,803,840","474,511","112,345","8,442"
"0500000US47037","Davidson County, Tennessee","54","2017","2,010","2,222","5,686,549","2,387,693","562,085","30,378"
"0500000US47037","Davidson County, Tennessee","54","2017","2,002","2,214","5,676,383","2,382,851","560,927","30,295"
"0500000US47037","Davidson County, Tennessee","54","2017","8","8","10,166","4,842","1,158","83"
"0500000US47037","Davidson County, Tennessee","56","2017","980","1,223","3,330,812","1,470,756","371,821","42,134"
"0500000US47037","Davidson County, Tennessee","61","2017","187","193","272,653","100,042","25,545","2,287"
"0500000US47037","Davidson County, Tennessee","61","2017","141","145","239,031","85,122","22,079","1,814"
"0500000US47037","Davidson County, Tennessee","61","2017","46","48","33,622","14,920","3,466","473"
"0500000US47037","Davidson County, Tennessee","62","2017","1,456","2,020","12,251,233","4,700,240","1,124,692","76,927"
"0500000US47037","Davidson County, Tennessee","62","2017","1,211","1,693","6,222,715","2,216,135","531,873","39,587"
"0500000US47037","Davidson County, Tennessee","62","2017","251","327","6,028,518","2,484,105","592,819","37,340"
"0500000US47037","Davidson County, Tennessee","71","2017","844","880","2,817,048","996,889","227,331","10,416"
"0500000US47037","Davidson County, Tennessee","71","2017","791","813","2,542,231","906,343","206,934","6,972"
"0500000US47037","Davidson County, Tennessee","71","2017","53","67","274,817","90,546","20,397","3,444"
"0500000US47037","Davidson County, Tennessee","72","2017","1,591","2,115","4,123,216","1,121,792","259,265","52,934"
"0500000US47037","Davidson County, Tennessee","81","2017","1,183","1,375","1,731,091","495,223","118,887","13,835"
"0500000US47037","Davidson County, Tennessee","81","2017","816","1,001","940,579","301,882","70,138","10,305"
"0500000US47037","Davidson County, Tennessee","81","2017","367","374","790,512","193,341","48,749","3,530"
"0500000US48113","Dallas County, Texas","22","2017","44","87","Q","776,604","237,131","6,031"
"0500000US48113","Dallas County, Texas","31-33","2017","2,153","2,234","36,535,048","5,961,255","1,712,544","92,173"
"0500000US48113","Dallas County, Texas","42","2017","3,377","3,777","70,063,101","4,970,638","1,230,364","75,525"
"0500000US48113","Dallas County, Texas","44-45","2017","5,312","7,816","43,896,083","4,051,656","1,005,664","129,602"
"0500000US48113","Dallas County, Texas","48-49 (106)","2017","1,496","1,866","23,115,370","7,542,355","1,983,134","127,721"
"0500000US48113","Dallas County, Texas","51","2017","919","1,592","N","6,061,276","1,716,066","60,851"
"0500000US48113","Dallas County, Texas","52","2017","3,099","5,142","N","10,298,442","3,163,556","102,377"
"0500000US48113","Dallas County, Texas","53","2017","2,782","4,096","13,117,638","2,469,226","640,384","38,463"
"0500000US48113","Dallas County, Texas","54","2017","9,164","9,759","30,485,640","12,316,802","3,002,659","142,807"
"0500000US48113","Dallas County, Texas","54","2017","D","D","D","D","D","100,000 employees or more"
"0500000US48113","Dallas County, Texas","54","2017","D","D","D","D","D","500 to 999 employees"
"0500000US48113","Dallas County, Texas","56","2017","3,253","3,875","15,748,679","7,431,876","1,864,401","200,244"
"0500000US48113","Dallas County, Texas","61","2017","594","622","1,083,322","281,968","68,452","7,146"
"0500000US48113","Dallas County, Texas","61","2017","521","547","986,787","259,633","62,721","6,380"
