label,loudoun_cty_va_count,loudoun_cty_va_pct,data_type
SEX AND AGE,"420,959",100.0%,Decennial Population
    Total population,"420,959",100.0%,Decennial Population
        Under 5 years,"27,065",6.4%,Decennial Population
        5 to 9 years,"33,089",7.9%,Decennial Population
        10 to 14 years,"36,363",8.6%,Decennial Population
        15 to 19 years,"32,391",7.7%,Decennial Population
        20 to 24 years,"22,191",5.3%,Decennial Population
        25 to 29 years,"20,184",4.8%,Decennial Population
        30 to 34 years,"26,021",6.2%,Decennial Population
        35 to 39 years,"33,330",7.9%,Decennial Population
        40 to 44 years,"35,196",8.4%,Decennial Population
        45 to 49 years,"34,683",8.2%,Decennial Population
        50 to 54 years,"31,605",7.5%,Decennial Population
        55 to 59 years,"27,364",6.5%,Decennial Population
        60 to 64 years,"19,980",4.7%,Decennial Population
        65 to 69 years,"13,844",3.3%,Decennial Population
        70 to 74 years,"10,951",2.6%,Decennial Population
        75 to 79 years,"7,609",1.8%,Decennial Population
        80 to 84 years,"4,714",1.1%,Decennial Population
        85 years and over,"4,379",1.0%,Decennial Population
        Selected Age Categories,"4,379",1.0%,Decennial Population
            16 years and over,"317,012",75.3%,Decennial Population
            18 years and over,"302,792",71.9%,Decennial Population
            21 years and over,"287,029",68.2%,Decennial Population
            62 years and over,"52,662",12.5%,Decennial Population
            65 years and over,"41,497",9.9%,Decennial Population
    Male population,"207,191",100.0%,Decennial Population
        Under 5 years,"13,803",6.7%,Decennial Population
        5 to 9 years,"16,960",8.2%,Decennial Population
        10 to 14 years,"18,541",8.9%,Decennial Population
        15 to 19 years,"16,599",8.0%,Decennial Population
        20 to 24 years,"11,377",5.5%,Decennial Population
        25 to 29 years,"9,976",4.8%,Decennial Population
        30 to 34 years,"12,144",5.9%,Decennial Population
        35 to 39 years,"15,706",7.6%,Decennial Population
        40 to 44 years,"16,850",8.1%,Decennial Population
        45 to 49 years,"17,465",8.4%,Decennial Population
        50 to 54 years,"15,717",7.6%,Decennial Population
        55 to 59 years,"13,896",6.7%,Decennial Population
        60 to 64 years,"9,781",4.7%,Decennial Population
        65 to 69 years,"6,492",3.1%,Decennial Population
        70 to 74 years,"4,985",2.4%,Decennial Population
        75 to 79 years,"3,291",1.6%,Decennial Population
        80 to 84 years,"1,995",1.0%,Decennial Population
        85 years and over,"1,613",0.8%,Decennial Population
        Selected Age Categories,"1,613",0.8%,Decennial Population
            16 years and over,"154,081",74.4%,Decennial Population
            18 years and over,"146,920",70.9%,Decennial Population
            21 years and over,"138,657",66.9%,Decennial Population
            62 years and over,"23,830",11.5%,Decennial Population
            65 years and over,"18,376",8.9%,Decennial Population
    Female population,"213,768",100.0%,Decennial Population
        Under 5 years,"13,262",6.2%,Decennial Population
        5 to 9 years,"16,129",7.5%,Decennial Population
        10 to 14 years,"17,822",8.3%,Decennial Population
        15 to 19 years,"15,792",7.4%,Decennial Population
        20 to 24 years,"10,814",5.1%,Decennial Population
        25 to 29 years,"10,208",4.8%,Decennial Population
        30 to 34 years,"13,877",6.5%,Decennial Population
        35 to 39 years,"17,624",8.2%,Decennial Population
        40 to 44 years,"18,346",8.6%,Decennial Population
        45 to 49 years,"17,218",8.1%,Decennial Population
        50 to 54 years,"15,888",7.4%,Decennial Population
        55 to 59 years,"13,468",6.3%,Decennial Population
        60 to 64 years,"10,199",4.8%,Decennial Population
        65 to 69 years,"7,352",3.4%,Decennial Population
        70 to 74 years,"5,966",2.8%,Decennial Population
        75 to 79 years,"4,318",2.0%,Decennial Population
        80 to 84 years,"2,719",1.3%,Decennial Population
        85 years and over,"2,766",1.3%,Decennial Population
        Selected Age Categories,"2,766",1.3%,Decennial Population
            16 years and over,"162,931",76.2%,Decennial Population
            18 years and over,"155,872",72.9%,Decennial Population
            21 years and over,"148,372",69.4%,Decennial Population
            62 years and over,"28,832",13.5%,Decennial Population
            65 years and over,"23,121",10.8%,Decennial Population
MEDIAN AGE BY SEX,"23,121",10.8%,Decennial Population
    Both sexes,37.0,(X),Decennial Population
    Male,36.4,(X),Decennial Population
    Female,37.6,(X),Decennial Population
RACE,37.6,(X),Decennial Population
        One Race,"376,302",89.4%,Decennial Population
            White,"225,974",53.7%,Decennial Population
            Black or African American,"30,568",7.3%,Decennial Population
            American Indian and Alaska Native,"1,582",0.4%,Decennial Population
            Asian,"89,779",21.3%,Decennial Population
            Native Hawaiian and Other Pacific Islander,263,0.1%,Decennial Population
            Some Other Race,"28,136",6.7%,Decennial Population
        Two or More Races,"44,657",10.6%,Decennial Population
TOTAL RACES TALLIED [1],"44,657",10.6%,Decennial Population
    Total races tallied,"468,784",111.4%,Decennial Population
        White alone or in combination with one or more other races,"267,606",63.6%,Decennial Population
        Black or African American alone or in combination with one or more other races,"38,065",9.0%,Decennial Population
        American Indian and Alaska Native alone or in combination with one or more other races,"6,867",1.6%,Decennial Population
        Asian alone or in combination with one or more other races,"102,090",24.3%,Decennial Population
