"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,003,304","560,555","55.9%","442,749","44.1%","559,029","287,272","51.4%","271,757","48.6%","579,420","302,907","52.3%","276,513","47.7%","383,444","194,858","50.8%","188,586","49.2%","1,315,440","712,370","54.2%","603,070","45.8%","611,782","325,491","53.2%","286,291","46.8%","220,064","118,520","53.9%","101,544","46.1%"
"    Management, business, science, and arts occupations:","557,191","317,330","57.0%","239,861","43.0%","320,180","160,321","50.1%","159,859","49.9%","309,554","156,787","50.6%","152,767","49.4%","170,940","79,986","46.8%","90,954","53.2%","480,246","233,583","48.6%","246,663","51.4%","360,066","190,329","52.9%","169,737","47.1%","131,832","71,257","54.1%","60,575","45.9%"
"        Management, business, and financial occupations:","200,756","109,319","54.5%","91,437","45.5%","122,839","63,719","51.9%","59,120","48.1%","131,866","70,679","53.6%","61,187","46.4%","68,969","34,395","49.9%","34,574","50.1%","217,229","114,551","52.7%","102,678","47.3%","156,959","85,398","54.4%","71,561","45.6%","59,600","32,330","54.2%","27,270","45.8%"
"            Management occupations","132,889","80,121","60.3%","52,768","39.7%","73,873","40,044","54.2%","33,829","45.8%","81,413","47,777","58.7%","33,636","41.3%","42,959","22,781","53.0%","20,178","47.0%","127,735","73,926","57.9%","53,809","42.1%","93,405","54,999","58.9%","38,406","41.1%","36,490","21,427","58.7%","15,063","41.3%"
"            Business and financial operations occupations","67,867","29,198","43.0%","38,669","57.0%","48,966","23,675","48.3%","25,291","51.7%","50,453","22,902","45.4%","27,551","54.6%","26,010","11,614","44.7%","14,396","55.3%","89,494","40,625","45.4%","48,869","54.6%","63,554","30,399","47.8%","33,155","52.2%","23,110","10,903","47.2%","12,207","52.8%"
"        Computer, engineering, and science occupations:","211,626","158,615","75.0%","53,011","25.0%","79,122","52,675","66.6%","26,447","33.4%","74,406","53,735","72.2%","20,671","27.8%","23,853","16,623","69.7%","7,230","30.3%","79,907","58,675","73.4%","21,232","26.6%","93,648","65,843","70.3%","27,805","29.7%","39,961","29,511","73.8%","10,450","26.2%"
"            Computer and mathematical occupations","128,048","97,382","76.1%","30,666","23.9%","40,980","29,397","71.7%","11,583","28.3%","46,167","34,205","74.1%","11,962","25.9%","13,908","10,336","74.3%","3,572","25.7%","51,122","36,928","72.2%","14,194","27.8%","67,202","48,069","71.5%","19,133","28.5%","30,204","22,106","73.2%","8,098","26.8%"
"            Architecture and engineering occupations","66,382","52,680","79.4%","13,702","20.6%","13,583","10,674","78.6%","2,909","21.4%","17,454","14,009","80.3%","3,445","19.7%","5,522","4,583","83.0%","939","17.0%","21,164","17,774","84.0%","3,390","16.0%","15,654","12,282","78.5%","3,372","21.5%","7,163","5,818","81.2%","1,345","18.8%"
"            Life, physical, and social science occupations","17,196","8,553","49.7%","8,643","50.3%","24,559","12,604","51.3%","11,955","48.7%","10,785","5,521","51.2%","5,264","48.8%","4,423","1,704","38.5%","2,719","61.5%","7,621","3,973","52.1%","3,648","47.9%","10,792","5,492","50.9%","5,300","49.1%","2,594","1,587","61.2%","1,007","38.8%"
"        Education, legal, community service, arts, and media occupations:","100,669","37,147","36.9%","63,522","63.1%","85,615","33,385","39.0%","52,230","61.0%","69,608","24,559","35.3%","45,049","64.7%","52,846","22,259","42.1%","30,587","57.9%","122,380","43,836","35.8%","78,544","64.2%","82,513","31,691","38.4%","50,822","61.6%","24,405","7,349","30.1%","17,056","69.9%"
"            Community and social service occupations","11,622","3,848","33.1%","7,774","66.9%","10,200","3,951","38.7%","6,249","61.3%","10,213","3,140","30.7%","7,073","69.3%","6,494","2,019","31.1%","4,475","68.9%","15,640","5,878","37.6%","9,762","62.4%","8,921","2,989","33.5%","5,932","66.5%","2,269","440","19.4%","1,829","80.6%"
"            Legal occupations","11,488","5,104","44.4%","6,384","55.6%","18,736","10,142","54.1%","8,594","45.9%","8,203","3,682","44.9%","4,521","55.1%","6,471","3,071","47.5%","3,400","52.5%","18,356","8,932","48.7%","9,424","51.3%","16,907","9,952","58.9%","6,955","41.1%","2,760","1,735","62.9%","1,025","37.1%"
"            Educational instruction, and library occupations","56,163","17,085","30.4%","39,078","69.6%","37,859","10,622","28.1%","27,237","71.9%","36,159","9,960","27.5%","26,199","72.5%","23,358","7,539","32.3%","15,819","67.7%","63,287","16,484","26.0%","46,803","74.0%","38,486","10,555","27.4%","27,931","72.6%","14,293","2,947","20.6%","11,346","79.4%"
"            Arts, design, entertainment, sports, and media occupations","21,396","11,110","51.9%","10,286","48.1%","18,820","8,670","46.1%","10,150","53.9%","15,033","7,777","51.7%","7,256","48.3%","16,523","9,630","58.3%","6,893","41.7%","25,097","12,542","50.0%","12,555","50.0%","18,199","8,195","45.0%","10,004","55.0%","5,083","2,227","43.8%","2,856","56.2%"
"        Healthcare practitioners and technical occupations:","44,140","12,249","27.8%","31,891","72.2%","32,604","10,542","32.3%","22,062","67.7%","33,674","7,814","23.2%","25,860","76.8%","25,272","6,709","26.5%","18,563","73.5%","60,730","16,521","27.2%","44,209","72.8%","26,946","7,397","27.5%","19,549","72.5%","7,866","2,067","26.3%","5,799","73.7%"
"            Health diagnosing and treating practitioners and other technical occupations","33,094","8,600","26.0%","24,494","74.0%","24,721","8,113","32.8%","16,608","67.2%","24,508","6,033","24.6%","18,475","75.4%","19,161","4,910","25.6%","14,251","74.4%","40,825","11,582","28.4%","29,243","71.6%","20,424","5,558","27.2%","14,866","72.8%","5,881","1,553","26.4%","4,328","73.6%"
