"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","834,009","55.3%","44.7%","47,284","56,137","40,341","523,864","51.3%","48.7%","48,289","56,201","40,849","448,710","52.9%","47.1%","37,363","44,269","32,211","303,923","51.3%","48.7%","30,333","31,828","27,291","1,107,409","54.7%","45.3%","30,349","31,642","27,335","582,131","53.3%","46.7%","52,626","65,024","45,389","169,495","53.6%","46.4%","58,059","79,292","42,929"
"Agriculture, forestry, fishing and hunting, and mining:","5,591","69.0%","31.0%","20,900","23,615","16,774","999","70.9%","29.1%","14,850","29,767","14,016","1,525","63.4%","36.6%","35,801","37,245","16,796","1,007","62.3%","37.7%","15,814","18,869","4,923","7,371","65.9%","34.1%","45,515","49,819","40,944","1,052","72.2%","27.8%","52,394","71,538","21,493","1,093","84.0%","16.0%","35,464","31,948","-"
"    Agriculture, forestry, fishing and hunting","5,430","68.1%","31.9%","20,681","22,480","16,774","822","64.6%","35.4%","14,348","14,745","14,016","1,156","63.8%","36.2%","35,225","36,971","16,820","956","60.3%","39.7%","15,212","18,401","4,923","3,025","55.7%","44.3%","28,561","18,549","37,317","623","53.1%","46.9%","22,413","41,325","21,493","1,093","84.0%","16.0%","35,464","31,948","-"
"    Mining, quarrying, and oil and gas extraction","161","100.0%","0.0%","31,849","31,849","-","177","100.0%","0.0%","171,884","171,884","-","369","62.1%","37.9%","78,170","90,687","12,465","51","100.0%","0.0%","-","-","-","4,346","73.0%","27.0%","60,929","65,690","46,698","429","100.0%","0.0%","71,790","71,790","-","0","-","-","-","-","-"
"Construction","42,199","92.4%","7.6%","36,261","36,053","40,946","30,963","90.1%","9.9%","36,312","35,991","39,836","24,783","89.9%","10.1%","27,632","26,229","31,398","19,621","93.4%","6.6%","22,358","22,434","19,525","101,760","94.7%","5.3%","22,479","22,424","25,838","33,637","88.8%","11.2%","40,868","40,467","48,906","7,187","84.1%","15.9%","50,566","51,250","46,667"
"Manufacturing","156,189","68.1%","31.9%","82,209","96,093","65,107","15,790","70.8%","29.2%","55,642","61,063","51,327","38,715","71.3%","28.7%","64,891","71,381","48,888","19,955","66.3%","33.7%","36,078","37,467","29,692","110,618","65.8%","34.2%","31,984","37,044","26,281","19,999","73.2%","26.8%","73,725","81,337","64,650","6,832","70.0%","30.0%","61,743","101,061","52,719"
"Wholesale trade","18,133","68.8%","31.2%","52,263","50,145","56,375","6,021","71.2%","28.8%","49,055","57,429","47,964","14,416","67.2%","32.8%","46,712","50,955","41,417","7,549","70.0%","30.0%","37,203","36,278","41,172","28,738","72.8%","27.2%","35,226","36,156","31,411","7,456","61.6%","38.4%","50,508","52,345","32,077","2,167","81.1%","18.9%","61,823","46,672","100,187"
"Retail trade","88,192","52.3%","47.7%","23,457","27,420","19,929","41,531","51.3%","48.7%","21,833","30,978","15,955","51,145","55.7%","44.3%","23,010","27,082","18,612","38,244","52.1%","47.9%","21,513","21,624","21,393","117,273","52.9%","47.1%","23,454","27,858","19,729","43,621","49.4%","50.6%","22,328","31,150","15,912","17,995","50.2%","49.8%","17,904","21,973","16,268"
"Transportation and warehousing, and utilities:","20,789","79.4%","20.6%","47,693","48,260","46,502","10,476","80.7%","19.3%","45,791","45,750","45,853","17,584","74.5%","25.5%","42,600","45,525","40,129","11,799","74.2%","25.8%","40,954","41,721","29,527","64,592","76.1%","23.9%","35,894","35,889","35,903","17,823","75.3%","24.7%","45,634","45,300","50,255","5,821","69.9%","30.1%","45,389","51,936","33,950"
"    Transportation and warehousing","18,818","79.8%","20.2%","44,930","44,614","45,095","9,709","82.9%","17.1%","44,768","44,052","45,885","13,076","74.8%","25.2%","33,799","34,923","31,810","9,950","74.4%","25.6%","39,164","39,236","38,875","58,498","76.8%","23.2%","33,580","33,917","32,824","16,211","74.6%","25.4%","43,115","41,628","46,341","5,557","69.4%","30.6%","43,919","51,432","33,325"
