Label (Grouping),"Santa Clara County, California!!Households!!Estimate",income_range,count
Total,"599,235","Santa Clara County, California!!Households!!Margin of Error","±3,770"
"Less than $10,000",4.5%,"Santa Clara County, California!!Households!!Margin of Error",±0.5
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Households!!Margin of Error",±0.4
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Households!!Margin of Error",±0.5
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Households!!Margin of Error",±0.5
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Households!!Margin of Error",±0.7
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Households!!Margin of Error",±0.7
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Households!!Margin of Error",±0.7
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Households!!Margin of Error",±0.8
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Households!!Margin of Error",±0.6
"$200,000 or more",13.0%,"Santa Clara County, California!!Households!!Margin of Error",±0.7
Median income (dollars),"85,002","Santa Clara County, California!!Households!!Margin of Error","±1,760"
Mean income (dollars),"109,698","Santa Clara County, California!!Households!!Margin of Error","±1,990"
PERCENT IMPUTED,,"Santa Clara County, California!!Households!!Margin of Error",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Households!!Margin of Error",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Households!!Margin of Error",(X)
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Households!!Margin of Error",(X)
Total,"599,235","Santa Clara County, California!!Families!!Estimate","424,866"
"Less than $10,000",4.5%,"Santa Clara County, California!!Families!!Estimate",2.9%
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Families!!Estimate",1.8%
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Families!!Estimate",5.7%
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Families!!Estimate",5.6%
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Families!!Estimate",9.9%
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Families!!Estimate",13.4%
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Families!!Estimate",11.7%
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Families!!Estimate",20.6%
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Families!!Estimate",12.8%
"$200,000 or more",13.0%,"Santa Clara County, California!!Families!!Estimate",15.5%
Median income (dollars),"85,002","Santa Clara County, California!!Families!!Estimate","96,555"
Mean income (dollars),"109,698","Santa Clara County, California!!Families!!Estimate","121,615"
PERCENT IMPUTED,,"Santa Clara County, California!!Families!!Estimate",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Families!!Estimate",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Families!!Estimate",29.2%
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Families!!Estimate",(X)
Total,"599,235","Santa Clara County, California!!Families!!Margin of Error","±6,035"
"Less than $10,000",4.5%,"Santa Clara County, California!!Families!!Margin of Error",±0.4
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Families!!Margin of Error",±0.4
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Families!!Margin of Error",±0.5
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Families!!Margin of Error",±0.5
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Families!!Margin of Error",±0.7
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Families!!Margin of Error",±0.9
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Families!!Margin of Error",±0.9
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Families!!Margin of Error",±1.0
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Families!!Margin of Error",±0.7
"$200,000 or more",13.0%,"Santa Clara County, California!!Families!!Margin of Error",±0.8
Median income (dollars),"85,002","Santa Clara County, California!!Families!!Margin of Error","±2,933"
Mean income (dollars),"109,698","Santa Clara County, California!!Families!!Margin of Error","±2,499"
PERCENT IMPUTED,,"Santa Clara County, California!!Families!!Margin of Error",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Families!!Margin of Error",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Families!!Margin of Error",(X)
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Families!!Margin of Error",(X)
Total,"599,235","Santa Clara County, California!!Married-couple families!!Estimate","331,398"
"Less than $10,000",4.5%,"Santa Clara County, California!!Married-couple families!!Estimate",1.5%
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Married-couple families!!Estimate",1.0%
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Married-couple families!!Estimate",4.3%
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Married-couple families!!Estimate",4.4%
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Married-couple families!!Estimate",8.3%
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Married-couple families!!Estimate",12.1%
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Married-couple families!!Estimate",11.7%
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Married-couple families!!Estimate",22.3%
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Married-couple families!!Estimate",15.2%
"$200,000 or more",13.0%,"Santa Clara County, California!!Married-couple families!!Estimate",19.1%
Median income (dollars),"85,002","Santa Clara County, California!!Married-couple families!!Estimate","111,223"
Mean income (dollars),"109,698","Santa Clara County, California!!Married-couple families!!Estimate","136,712"
PERCENT IMPUTED,,"Santa Clara County, California!!Married-couple families!!Estimate",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Married-couple families!!Estimate",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Married-couple families!!Estimate",(X)
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Married-couple families!!Estimate",(X)
Total,"599,235","Santa Clara County, California!!Married-couple families!!Margin of Error","±6,651"
"Less than $10,000",4.5%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.3
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.3
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.5
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.6
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.8
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.9
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±1.0
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±1.2
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±0.9
"$200,000 or more",13.0%,"Santa Clara County, California!!Married-couple families!!Margin of Error",±1.0
Median income (dollars),"85,002","Santa Clara County, California!!Married-couple families!!Margin of Error","±1,837"
Mean income (dollars),"109,698","Santa Clara County, California!!Married-couple families!!Margin of Error","±2,893"
PERCENT IMPUTED,,"Santa Clara County, California!!Married-couple families!!Margin of Error",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Married-couple families!!Margin of Error",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Married-couple families!!Margin of Error",(X)
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Married-couple families!!Margin of Error",(X)
Total,"599,235","Santa Clara County, California!!Nonfamily households!!Estimate","174,369"
"Less than $10,000",4.5%,"Santa Clara County, California!!Nonfamily households!!Estimate",9.5%
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Nonfamily households!!Estimate",7.3%
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Nonfamily households!!Estimate",11.5%
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Nonfamily households!!Estimate",8.3%
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Nonfamily households!!Estimate",11.1%
"$50,000 to $74,999",13.7%,"Santa Clara County, California!!Nonfamily households!!Estimate",14.5%
"$75,000 to $99,999",12.0%,"Santa Clara County, California!!Nonfamily households!!Estimate",11.3%
"$100,000 to $149,999",19.1%,"Santa Clara County, California!!Nonfamily households!!Estimate",14.2%
"$150,000 to $199,999",11.2%,"Santa Clara County, California!!Nonfamily households!!Estimate",6.6%
"$200,000 or more",13.0%,"Santa Clara County, California!!Nonfamily households!!Estimate",5.6%
Median income (dollars),"85,002","Santa Clara County, California!!Nonfamily households!!Estimate","52,438"
Mean income (dollars),"109,698","Santa Clara County, California!!Nonfamily households!!Estimate","73,659"
PERCENT IMPUTED,,"Santa Clara County, California!!Nonfamily households!!Estimate",
    Household income in the past 12 months,28.3%,"Santa Clara County, California!!Nonfamily households!!Estimate",(X)
    Family income in the past 12 months,(X),"Santa Clara County, California!!Nonfamily households!!Estimate",(X)
    Nonfamily income in the past 12 months,(X),"Santa Clara County, California!!Nonfamily households!!Estimate",22.7%
Total,"599,235","Santa Clara County, California!!Nonfamily households!!Margin of Error","±5,695"
"Less than $10,000",4.5%,"Santa Clara County, California!!Nonfamily households!!Margin of Error",±1.2
"$10,000 to $14,999",3.1%,"Santa Clara County, California!!Nonfamily households!!Margin of Error",±1.1
"$15,000 to $24,999",7.0%,"Santa Clara County, California!!Nonfamily households!!Margin of Error",±1.3
"$25,000 to $34,999",6.1%,"Santa Clara County, California!!Nonfamily households!!Margin of Error",±1.1
"$35,000 to $49,999",10.2%,"Santa Clara County, California!!Nonfamily households!!Margin of Error",±1.2
