Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
HOUSING OCCUPANCY,,"Santa Clara County, California!!Estimate Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Estimate Margin of Error","±1,523"
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    Vacant housing units,"32,720","Santa Clara County, California!!Estimate Margin of Error","±3,452"
    Homeowner vacancy rate,1.8,"Santa Clara County, California!!Estimate Margin of Error",±0.4
    Rental vacancy rate,4.1,"Santa Clara County, California!!Estimate Margin of Error",±0.8
UNITS IN STRUCTURE,,"Santa Clara County, California!!Estimate Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Estimate Margin of Error","±1,523"
"    1-unit, detached","332,653","Santa Clara County, California!!Estimate Margin of Error","±5,421"
"    1-unit, attached","68,576","Santa Clara County, California!!Estimate Margin of Error","±3,973"
    2 units,"14,314","Santa Clara County, California!!Estimate Margin of Error","±2,244"
    3 or 4 units,"38,225","Santa Clara County, California!!Estimate Margin of Error","±2,992"
    5 to 9 units,"35,293","Santa Clara County, California!!Estimate Margin of Error","±3,302"
    10 to 19 units,"31,079","Santa Clara County, California!!Estimate Margin of Error","±2,998"
    20 or more units,"92,993","Santa Clara County, California!!Estimate Margin of Error","±4,481"
    Mobile home,"18,161","Santa Clara County, California!!Estimate Margin of Error","±1,830"
"    Boat, RV, van, etc.",661,"Santa Clara County, California!!Estimate Margin of Error",±468
YEAR STRUCTURE BUILT,,"Santa Clara County, California!!Estimate Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Estimate Margin of Error","±1,523"
    Built 2005 or later,"27,044","Santa Clara County, California!!Estimate Margin of Error","±2,454"
    Built 2000 to 2004,"37,364","Santa Clara County, California!!Estimate Margin of Error","±3,194"
    Built 1990 to 1999,"66,881","Santa Clara County, California!!Estimate Margin of Error","±3,701"
    Built 1980 to 1989,"75,301","Santa Clara County, California!!Estimate Margin of Error","±3,970"
    Built 1970 to 1979,"142,515","Santa Clara County, California!!Estimate Margin of Error","±4,745"
    Built 1960 to 1969,"125,418","Santa Clara County, California!!Estimate Margin of Error","±4,634"
    Built 1950 to 1959,"97,176","Santa Clara County, California!!Estimate Margin of Error","±4,446"
    Built 1940 to 1949,"26,180","Santa Clara County, California!!Estimate Margin of Error","±2,652"
    Built 1939 or earlier,"34,076","Santa Clara County, California!!Estimate Margin of Error","±2,876"
ROOMS,,"Santa Clara County, California!!Estimate Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Estimate Margin of Error","±1,523"
    1 room,"18,306","Santa Clara County, California!!Estimate Margin of Error","±2,584"
    2 rooms,"25,842","Santa Clara County, California!!Estimate Margin of Error","±2,957"
    3 rooms,"77,744","Santa Clara County, California!!Estimate Margin of Error","±3,958"
    4 rooms,"122,207","Santa Clara County, California!!Estimate Margin of Error","±4,945"
    5 rooms,"113,419","Santa Clara County, California!!Estimate Margin of Error","±3,777"
    6 rooms,"108,419","Santa Clara County, California!!Estimate Margin of Error","±4,371"
    7 rooms,"77,656","Santa Clara County, California!!Estimate Margin of Error","±3,523"
    8 rooms,"46,464","Santa Clara County, California!!Estimate Margin of Error","±2,786"
    9 rooms or more,"41,898","Santa Clara County, California!!Estimate Margin of Error","±2,745"
    Median rooms,5.1,"Santa Clara County, California!!Estimate Margin of Error",±0.1
BEDROOMS,,"Santa Clara County, California!!Estimate Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Estimate Margin of Error","±1,523"
    No bedroom,"19,944","Santa Clara County, California!!Estimate Margin of Error","±2,538"
