"Label (Grouping)","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","256,276","188,428","184,459","99,978","311,935","225,962","72,843"
"VALUE","","","","","","",""
"    Less than $50,000","0.9%","0.5%","1.4%","1.9%","3.7%","0.6%","0.8%"
"    $50,000 to $99,999","1.9%","0.7%","3.2%","9.4%","23.9%","1.1%","1.1%"
"    $100,000 to $149,999","1.0%","1.3%","15.8%","27.7%","29.1%","2.4%","2.7%"
"    $150,000 to $199,999","1.6%","4.4%","19.2%","23.5%","15.3%","2.7%","2.8%"
"    $200,000 to $299,999","5.0%","14.6%","27.6%","18.7%","13.5%","13.6%","12.3%"
"    $300,000 to $499,999","21.7%","36.6%","24.0%","12.4%","8.8%","36.4%","39.3%"
"    $500,000 or more","67.9%","41.9%","8.8%","6.4%","5.8%","43.2%","41.0%"
"    Median (dollars)","643,100","451,000","234,400","171,900","135,400","459,900","449,200"
"MORTGAGE STATUS","","","","","","",""
"    With either a second mortgage, or home equity loan, but not both","30.3%","28.1%","23.9%","24.2%","11.7%","29.5%","32.5%"
"        Second mortgage only","6.2%","6.5%","4.7%","7.8%","5.6%","7.7%","9.7%"
"        Home equity loan only","24.1%","21.5%","19.2%","16.4%","6.1%","21.8%","22.8%"
"    Both second mortgage and home equity loan","2.1%","1.4%","1.0%","0.7%","0.4%","1.5%","1.7%"
"    No second mortgage and no home equity loan","67.5%","70.6%","75.1%","75.1%","88.0%","68.9%","65.8%"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Less than $10,000","1.3%","1.1%","1.2%","2.4%","2.1%","1.4%","0.1%"
"    $10,000 to $24,999","3.0%","3.4%","5.4%","8.0%","8.2%","2.1%","1.6%"
