Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
Total population,"1,787,694","Santa Clara County, California!!Total!!Margin of Error",*****
AGE,,"Santa Clara County, California!!Total!!Margin of Error",
    Under 5 years,7.0%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    10 to 14 years,6.5%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    15 to 19 years,6.4%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Santa Clara County, California!!Total!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Santa Clara County, California!!Total!!Margin of Error",±0.3
    45 to 49 years,7.7%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    60 to 64 years,4.9%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    65 to 69 years,3.5%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    70 to 74 years,2.5%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    75 to 79 years,1.9%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    80 to 84 years,1.6%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    85 years and over,1.6%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Santa Clara County, California!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    18 years and over,75.9%,"Santa Clara County, California!!Total!!Margin of Error",*****
    60 years and over,15.9%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    62 years and over,13.8%,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    65 years and over,11.1%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Santa Clara County, California!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Santa Clara County, California!!Total!!Margin of Error",
