"Label (Grouping)","Santa Clara County, California!!Households!!Estimate","Santa Clara County, California!!Households!!Margin of Error","Santa Clara County, California!!Families!!Estimate","Santa Clara County, California!!Families!!Margin of Error","Santa Clara County, California!!Married-couple families!!Estimate","Santa Clara County, California!!Married-couple families!!Margin of Error","Santa Clara County, California!!Nonfamily households!!Estimate","Santa Clara County, California!!Nonfamily households!!Margin of Error","Montgomery County, Maryland!!Households!!Estimate","Montgomery County, Maryland!!Households!!Margin of Error","Montgomery County, Maryland!!Families!!Estimate","Montgomery County, Maryland!!Families!!Margin of Error","Montgomery County, Maryland!!Married-couple families!!Estimate","Montgomery County, Maryland!!Married-couple families!!Margin of Error","Montgomery County, Maryland!!Nonfamily households!!Estimate","Montgomery County, Maryland!!Nonfamily households!!Margin of Error","Wake County, North Carolina!!Households!!Estimate","Wake County, North Carolina!!Households!!Margin of Error","Wake County, North Carolina!!Families!!Estimate","Wake County, North Carolina!!Families!!Margin of Error","Wake County, North Carolina!!Married-couple families!!Estimate","Wake County, North Carolina!!Married-couple families!!Margin of Error","Wake County, North Carolina!!Nonfamily households!!Estimate","Wake County, North Carolina!!Nonfamily households!!Margin of Error","Davidson County, Tennessee!!Households!!Estimate","Davidson County, Tennessee!!Households!!Margin of Error","Davidson County, Tennessee!!Families!!Estimate","Davidson County, Tennessee!!Families!!Margin of Error","Davidson County, Tennessee!!Married-couple families!!Estimate","Davidson County, Tennessee!!Married-couple families!!Margin of Error","Davidson County, Tennessee!!Nonfamily households!!Estimate","Davidson County, Tennessee!!Nonfamily households!!Margin of Error","Dallas County, Texas!!Households!!Estimate","Dallas County, Texas!!Households!!Margin of Error","Dallas County, Texas!!Families!!Estimate","Dallas County, Texas!!Families!!Margin of Error","Dallas County, Texas!!Married-couple families!!Estimate","Dallas County, Texas!!Married-couple families!!Margin of Error","Dallas County, Texas!!Nonfamily households!!Estimate","Dallas County, Texas!!Nonfamily households!!Margin of Error","Fairfax County, Virginia!!Households!!Estimate","Fairfax County, Virginia!!Households!!Margin of Error","Fairfax County, Virginia!!Families!!Estimate","Fairfax County, Virginia!!Families!!Margin of Error","Fairfax County, Virginia!!Married-couple families!!Estimate","Fairfax County, Virginia!!Married-couple families!!Margin of Error","Fairfax County, Virginia!!Nonfamily households!!Estimate","Fairfax County, Virginia!!Nonfamily households!!Margin of Error","Loudoun County, Virginia!!Households!!Estimate","Loudoun County, Virginia!!Households!!Margin of Error","Loudoun County, Virginia!!Families!!Estimate","Loudoun County, Virginia!!Families!!Margin of Error","Loudoun County, Virginia!!Married-couple families!!Estimate","Loudoun County, Virginia!!Married-couple families!!Margin of Error","Loudoun County, Virginia!!Nonfamily households!!Estimate","Loudoun County, Virginia!!Nonfamily households!!Margin of Error"
"Total","633,786","±3,221","456,166","±4,728","360,426","±5,581","177,620","±4,786","371,458","±2,800","257,474","±4,230","198,884","±4,107","113,984","±3,954","382,638","±3,461","259,646","±5,524","200,292","±5,707","122,992","±5,456","274,187","±3,026","154,555","±3,849","104,502","±4,226","119,632","±4,492","905,250","±4,540","590,480","±6,861","392,021","±6,757","314,770","±7,264","392,822","±2,616","277,304","±4,404","225,749","±5,002","115,518","±4,655","120,559","±1,405","93,533","±2,397","79,704","±2,874","27,026","±2,252"
"Less than $10,000","3.6%","±0.4","2.4%","±0.4","0.9%","±0.2","8.4%","±1.1","3.9%","±0.6","2.3%","±0.6","0.9%","±0.3","8.5%","±1.5","4.3%","±0.5","2.6%","±0.5","1.0%","±0.3","8.5%","±1.4","7.0%","±0.8","4.3%","±0.8","1.5%","±0.6","11.0%","±1.7","6.5%","±0.4","4.6%","±0.5","1.8%","±0.3","11.5%","±0.9","2.6%","±0.4","1.6%","±0.4","0.7%","±0.3","5.9%","±1.2","1.8%","±0.7","0.5%","±0.3","0.3%","±0.2","6.3%","±2.6"
"$10,000 to $14,999","2.9%","±0.3","1.4%","±0.3","0.9%","±0.2","6.8%","±0.9","1.5%","±0.3","1.0%","±0.3","0.5%","±0.2","2.9%","±0.7","3.2%","±0.5","2.4%","±0.6","0.6%","±0.3","5.8%","±1.1","5.2%","±0.8","3.6%","±0.9","1.7%","±0.6","7.6%","±1.4","4.9%","±0.3","3.5%","±0.4","1.7%","±0.3","8.0%","±0.7","1.7%","±0.4","1.4%","±0.4","0.6%","±0.2","3.0%","±0.9","1.0%","±0.4","0.4%","±0.3","0.2%","±0.3","3.1%","±1.6"
"$15,000 to $24,999","5.1%","±0.4","3.9%","±0.5","2.5%","±0.5","9.3%","±0.9","4.2%","±0.5","3.3%","±0.7","1.8%","±0.5","7.6%","±1.2","6.8%","±0.7","5.4%","±0.8","2.8%","±0.6","10.0%","±1.7","10.1%","±0.8","8.9%","±1.2","5.0%","±1.1","12.8%","±1.4","11.1%","±0.6","10.3%","±0.7","7.6%","±0.7","12.9%","±1.1","2.9%","±0.4","2.1%","±0.4","1.1%","±0.3","6.0%","±1.1","2.9%","±0.9","2.3%","±0.8","1.5%","±0.8","5.4%","±2.7"
"$25,000 to $34,999","5.5%","±0.5","4.8%","±0.5","3.5%","±0.5","7.8%","±1.0","5.9%","±0.7","4.4%","±0.7","2.9%","±0.7","9.9%","±1.4","8.7%","±0.9","6.6%","±0.9","4.4%","±0.8","13.9%","±1.9","10.8%","±0.9","9.9%","±1.3","7.7%","±1.3","12.5%","±1.6","10.6%","±0.5","10.9%","±0.7","8.0%","±0.7","11.1%","±0.7","3.9%","±0.5","3.4%","±0.6","2.1%","±0.5","5.4%","±1.0","2.9%","±0.8","2.2%","±0.8","1.5%","±0.6","6.1%","±2.5"
"$35,000 to $49,999","7.8%","±0.6","7.4%","±0.7","6.0%","±0.7","9.5%","±1.1","9.5%","±0.7","8.4%","±0.9","6.5%","±0.9","11.6%","±1.2","12.2%","±0.9","9.8%","±1.1","7.8%","±1.0","18.4%","±1.9","14.7%","±1.1","14.2%","±1.6","12.1%","±1.8","15.8%","±1.7","14.7%","±0.7","14.2%","±0.9","12.5%","±1.0","15.4%","±1.0","6.4%","±0.6","5.7%","±0.8","4.1%","±0.6","8.5%","±1.3","6.0%","±1.3","4.5%","±1.1","4.0%","±1.2","11.6%","±3.4"
"$50,000 to $74,999","12.2%","±0.6","11.7%","±0.7","10.3%","±0.8","13.1%","±1.3","13.6%","±0.9","12.0%","±1.0","9.8%","±1.1","18.3%","±1.6","18.0%","±1.0","16.5%","±1.2","16.5%","±1.3","20.1%","±2.0","19.5%","±1.2","19.2%","±1.6","19.7%","±2.0","19.4%","±1.8","18.3%","±0.5","17.8%","±0.7","18.3%","±0.9","18.0%","±1.0","12.4%","±0.8","10.2%","±0.9","8.9%","±1.0","17.4%","±1.6","11.2%","±1.2","8.5%","±1.4","6.8%","±1.3","21.7%","±3.8"
"$75,000 to $99,999","10.8%","±0.5","10.8%","±0.6","10.3%","±0.7","10.4%","±1.1","11.8%","±0.8","10.6%","±1.0","10.0%","±1.1","13.4%","±1.5","13.4%","±0.9","14.1%","±1.1","14.9%","±1.3","10.3%","±1.5","12.0%","±1.2","12.7%","±1.5","15.4%","±2.0","10.3%","±1.6","11.7%","±0.6","12.3%","±0.7","14.2%","±1.0","9.8%","±0.9","12.6%","±0.7","11.5%","±0.8","10.8%","±1.0","15.6%","±1.6","11.9%","±1.5","11.0%","±1.6","10.2%","±1.8","15.0%","±4.2"
"$100,000 to $149,999","17.8%","±0.7","18.5%","±0.8","19.6%","±0.9","15.1%","±1.2","18.3%","±1.0","19.8%","±1.2","21.1%","±1.3","14.7%","±1.6","17.9%","±0.9","22.5%","±1.2","26.6%","±1.4","7.8%","±1.2","11.0%","±0.8","13.9%","±1.3","18.4%","±1.8","6.3%","±1.1","11.3%","±0.5","12.9%","±0.7","17.0%","±1.0","7.2%","±0.8","22.5%","±1.0","22.0%","±1.1","23.1%","±1.2","22.0%","±1.9","22.8%","±1.9","23.7%","±2.1","23.2%","±2.3","18.3%","±2.9"
"$150,000 to $199,999","13.4%","±0.7","14.6%","±0.7","16.4%","±0.9","9.3%","±1.4","12.4%","±0.8","14.7%","±0.9","17.2%","±1.2","6.5%","±1.0","7.5%","±0.6","9.6%","±0.8","12.3%","±1.0","2.5%","±0.7","4.1%","±0.6","5.3%","±0.9","6.9%","±1.2","2.4%","±0.9","5.0%","±0.3","5.9%","±0.4","8.2%","±0.6","3.0%","±0.4","14.1%","±0.8","16.0%","±0.9","18.1%","±1.1","8.8%","±1.2","15.1%","±1.6","17.4%","±1.8","19.3%","±2.1","6.4%","±2.3"
