label_grouping,value,county,metric
HOUSING OCCUPANCY,,santa_clara_county_californiaestimate,Unknown
    Total housing units,"660,622",santa_clara_county_californiaestimate,Unknown
        Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        Vacant housing units,"26,836",santa_clara_county_californiaestimate,Unknown
    Homeowner vacancy rate,0.3,santa_clara_county_californiaestimate,Unknown
    Rental vacancy rate,2.8,santa_clara_county_californiaestimate,Unknown
UNITS IN STRUCTURE,,santa_clara_county_californiaestimate,Unknown
    Total housing units,"660,622",santa_clara_county_californiaestimate,Unknown
"        1-unit, detached","344,320",santa_clara_county_californiaestimate,Unknown
"        1-unit, attached","68,877",santa_clara_county_californiaestimate,Unknown
        2 units,"12,342",santa_clara_county_californiaestimate,Unknown
        3 or 4 units,"36,548",santa_clara_county_californiaestimate,Unknown
        5 to 9 units,"36,676",santa_clara_county_californiaestimate,Unknown
        10 to 19 units,"34,212",santa_clara_county_californiaestimate,Unknown
        20 or more units,"107,946",santa_clara_county_californiaestimate,Unknown
        Mobile home,"19,233",santa_clara_county_californiaestimate,Unknown
"        Boat, RV, van, etc.",468,santa_clara_county_californiaestimate,Unknown
YEAR STRUCTURE BUILT,,santa_clara_county_californiaestimate,Unknown
    Total housing units,"660,622",santa_clara_county_californiaestimate,Unknown
        Built 2014 or later,"4,593",santa_clara_county_californiaestimate,Unknown
        Built 2010 to 2013,"16,903",santa_clara_county_californiaestimate,Unknown
        Built 2000 to 2009,"59,887",santa_clara_county_californiaestimate,Unknown
        Built 1990 to 1999,"72,811",santa_clara_county_californiaestimate,Unknown
        Built 1980 to 1989,"82,075",santa_clara_county_californiaestimate,Unknown
        Built 1970 to 1979,"144,314",santa_clara_county_californiaestimate,Unknown
        Built 1960 to 1969,"121,400",santa_clara_county_californiaestimate,Unknown
        Built 1950 to 1959,"99,142",santa_clara_county_californiaestimate,Unknown
        Built 1940 to 1949,"26,078",santa_clara_county_californiaestimate,Unknown
        Built 1939 or earlier,"33,419",santa_clara_county_californiaestimate,Unknown
ROOMS,,santa_clara_county_californiaestimate,Unknown
    Total housing units,"660,622",santa_clara_county_californiaestimate,Unknown
        1 room,"23,399",santa_clara_county_californiaestimate,Unknown
        2 rooms,"32,228",santa_clara_county_californiaestimate,Unknown
        3 rooms,"77,792",santa_clara_county_californiaestimate,Unknown
        4 rooms,"123,943",santa_clara_county_californiaestimate,Unknown
        5 rooms,"110,958",santa_clara_county_californiaestimate,Unknown
        6 rooms,"114,279",santa_clara_county_californiaestimate,Unknown
        7 rooms,"77,225",santa_clara_county_californiaestimate,Unknown
        8 rooms,"51,630",santa_clara_county_californiaestimate,Unknown
        9 rooms or more,"49,168",santa_clara_county_californiaestimate,Unknown
        Median rooms,5.2,santa_clara_county_californiaestimate,Unknown
BEDROOMS,,santa_clara_county_californiaestimate,Unknown
    Total housing units,"660,622",santa_clara_county_californiaestimate,Unknown
        No bedroom,"25,712",santa_clara_county_californiaestimate,Unknown
        1 bedroom,"89,848",santa_clara_county_californiaestimate,Unknown
        2 bedrooms,"167,213",santa_clara_county_californiaestimate,Unknown
        3 bedrooms,"203,040",santa_clara_county_californiaestimate,Unknown
        4 bedrooms,"137,823",santa_clara_county_californiaestimate,Unknown
        5 or more bedrooms,"36,986",santa_clara_county_californiaestimate,Unknown
HOUSING TENURE,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        Owner-occupied,"355,812",santa_clara_county_californiaestimate,Unknown
        Renter-occupied,"277,974",santa_clara_county_californiaestimate,Unknown
    Average household size of owner-occupied unit,3.03,santa_clara_county_californiaestimate,Unknown
    Average household size of renter-occupied unit,2.88,santa_clara_county_californiaestimate,Unknown
YEAR HOUSEHOLDER MOVED INTO UNIT,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        Moved in 2015 or later,"45,546",santa_clara_county_californiaestimate,Unknown
        Moved in 2010 to 2014,"242,363",santa_clara_county_californiaestimate,Unknown
