label_grouping,value,county,metric
Total population,"1,918,044",santa_clara_county_californiatotalestimate,Unknown
AGE,,santa_clara_county_californiatotalestimate,Unknown
    Under 5 years,6.3%,santa_clara_county_californiatotalestimate,Unknown
    5 to 9 years,6.4%,santa_clara_county_californiatotalestimate,Unknown
    10 to 14 years,6.5%,santa_clara_county_californiatotalestimate,Unknown
    15 to 19 years,6.0%,santa_clara_county_californiatotalestimate,Unknown
    20 to 24 years,6.3%,santa_clara_county_californiatotalestimate,Unknown
    25 to 29 years,7.5%,santa_clara_county_californiatotalestimate,Unknown
    30 to 34 years,7.8%,santa_clara_county_californiatotalestimate,Unknown
    35 to 39 years,7.2%,santa_clara_county_californiatotalestimate,Unknown
    40 to 44 years,7.6%,santa_clara_county_californiatotalestimate,Unknown
    45 to 49 years,7.2%,santa_clara_county_californiatotalestimate,Unknown
    50 to 54 years,7.1%,santa_clara_county_californiatotalestimate,Unknown
    55 to 59 years,6.4%,santa_clara_county_californiatotalestimate,Unknown
    60 to 64 years,5.2%,santa_clara_county_californiatotalestimate,Unknown
    65 to 69 years,4.0%,santa_clara_county_californiatotalestimate,Unknown
    70 to 74 years,3.0%,santa_clara_county_californiatotalestimate,Unknown
    75 to 79 years,2.2%,santa_clara_county_californiatotalestimate,Unknown
    80 to 84 years,1.5%,santa_clara_county_californiatotalestimate,Unknown
    85 years and over,1.8%,santa_clara_county_californiatotalestimate,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiatotalestimate,Unknown
    5 to 14 years,12.8%,santa_clara_county_californiatotalestimate,Unknown
    15 to 17 years,3.6%,santa_clara_county_californiatotalestimate,Unknown
    18 to 24 years,8.7%,santa_clara_county_californiatotalestimate,Unknown
    15 to 44 years,42.4%,santa_clara_county_californiatotalestimate,Unknown
    16 years and over,79.7%,santa_clara_county_californiatotalestimate,Unknown
    18 years and over,77.2%,santa_clara_county_californiatotalestimate,Unknown
    60 years and over,17.7%,santa_clara_county_californiatotalestimate,Unknown
    62 years and over,15.3%,santa_clara_county_californiatotalestimate,Unknown
    65 years and over,12.5%,santa_clara_county_californiatotalestimate,Unknown
    75 years and over,5.5%,santa_clara_county_californiatotalestimate,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiatotalestimate,Unknown
    Median age (years),37.2,santa_clara_county_californiatotalestimate,Unknown
    Sex ratio (males per 100 females),101.4,santa_clara_county_californiatotalestimate,Unknown
    Age dependency ratio,54.4,santa_clara_county_californiatotalestimate,Unknown
    Old-Age dependency ratio,19.3,santa_clara_county_californiatotalestimate,Unknown
    Child dependency ratio,35.1,santa_clara_county_californiatotalestimate,Unknown
PERCENT IMPUTED,,santa_clara_county_californiatotalestimate,Unknown
    Sex,0.0%,santa_clara_county_californiatotalestimate,Unknown
    Age,1.6%,santa_clara_county_californiatotalestimate,Unknown
Total population,*****,santa_clara_county_californiatotalmargin_of_error,Unknown
AGE,,santa_clara_county_californiatotalmargin_of_error,Unknown
    Under 5 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    5 to 9 years,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    10 to 14 years,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    15 to 19 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    20 to 24 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    25 to 29 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    30 to 34 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    35 to 39 years,±0.3,santa_clara_county_californiatotalmargin_of_error,Unknown
    40 to 44 years,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    45 to 49 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    50 to 54 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    55 to 59 years,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    60 to 64 years,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    65 to 69 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    70 to 74 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    75 to 79 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    80 to 84 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    85 years and over,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiatotalmargin_of_error,Unknown
    5 to 14 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    15 to 17 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    18 to 24 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    15 to 44 years,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    16 years and over,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    18 years and over,*****,santa_clara_county_californiatotalmargin_of_error,Unknown
    60 years and over,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    62 years and over,±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    65 years and over,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    75 years and over,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiatotalmargin_of_error,Unknown
    Median age (years),±0.2,santa_clara_county_californiatotalmargin_of_error,Unknown
    Sex ratio (males per 100 females),±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    Age dependency ratio,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    Old-Age dependency ratio,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
    Child dependency ratio,±0.1,santa_clara_county_californiatotalmargin_of_error,Unknown
PERCENT IMPUTED,,santa_clara_county_californiatotalmargin_of_error,Unknown
    Sex,(X),santa_clara_county_californiatotalmargin_of_error,Unknown
    Age,(X),santa_clara_county_californiatotalmargin_of_error,Unknown
Total population,"965,615",santa_clara_county_californiamaleestimate,Unknown
AGE,,santa_clara_county_californiamaleestimate,Unknown
    Under 5 years,6.5%,santa_clara_county_californiamaleestimate,Unknown
    5 to 9 years,6.7%,santa_clara_county_californiamaleestimate,Unknown
    10 to 14 years,6.3%,santa_clara_county_californiamaleestimate,Unknown
    15 to 19 years,6.0%,santa_clara_county_californiamaleestimate,Unknown
    20 to 24 years,6.6%,santa_clara_county_californiamaleestimate,Unknown
    25 to 29 years,7.8%,santa_clara_county_californiamaleestimate,Unknown
    30 to 34 years,8.1%,santa_clara_county_californiamaleestimate,Unknown
    35 to 39 years,7.3%,santa_clara_county_californiamaleestimate,Unknown
    40 to 44 years,7.7%,santa_clara_county_californiamaleestimate,Unknown
    45 to 49 years,7.2%,santa_clara_county_californiamaleestimate,Unknown
    50 to 54 years,7.2%,santa_clara_county_californiamaleestimate,Unknown
    55 to 59 years,6.3%,santa_clara_county_californiamaleestimate,Unknown
    60 to 64 years,5.1%,santa_clara_county_californiamaleestimate,Unknown
    65 to 69 years,3.7%,santa_clara_county_californiamaleestimate,Unknown
    70 to 74 years,2.8%,santa_clara_county_californiamaleestimate,Unknown
    75 to 79 years,2.0%,santa_clara_county_californiamaleestimate,Unknown
    80 to 84 years,1.2%,santa_clara_county_californiamaleestimate,Unknown
    85 years and over,1.3%,santa_clara_county_californiamaleestimate,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiamaleestimate,Unknown
    5 to 14 years,13.0%,santa_clara_county_californiamaleestimate,Unknown
    15 to 17 years,3.7%,santa_clara_county_californiamaleestimate,Unknown
    18 to 24 years,9.0%,santa_clara_county_californiamaleestimate,Unknown
    15 to 44 years,43.6%,santa_clara_county_californiamaleestimate,Unknown
    16 years and over,79.5%,santa_clara_county_californiamaleestimate,Unknown
    18 years and over,76.8%,santa_clara_county_californiamaleestimate,Unknown
    60 years and over,16.1%,santa_clara_county_californiamaleestimate,Unknown
    62 years and over,13.7%,santa_clara_county_californiamaleestimate,Unknown
    65 years and over,11.0%,santa_clara_county_californiamaleestimate,Unknown
    75 years and over,4.5%,santa_clara_county_californiamaleestimate,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiamaleestimate,Unknown
    Median age (years),36.3,santa_clara_county_californiamaleestimate,Unknown
    Sex ratio (males per 100 females),(X),santa_clara_county_californiamaleestimate,Unknown
    Age dependency ratio,(X),santa_clara_county_californiamaleestimate,Unknown
    Old-Age dependency ratio,(X),santa_clara_county_californiamaleestimate,Unknown
    Child dependency ratio,(X),santa_clara_county_californiamaleestimate,Unknown
PERCENT IMPUTED,,santa_clara_county_californiamaleestimate,Unknown
    Sex,(X),santa_clara_county_californiamaleestimate,Unknown
    Age,(X),santa_clara_county_californiamaleestimate,Unknown
Total population,±649,santa_clara_county_californiamalemargin_of_error,Unknown
AGE,,santa_clara_county_californiamalemargin_of_error,Unknown
    Under 5 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    5 to 9 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    10 to 14 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    15 to 19 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    20 to 24 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    25 to 29 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
