"Label (Grouping)","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","249,944","249,944","177,141","177,141","197,802","197,802","110,185","110,185","285,425","285,425","205,899","205,899","86,735","86,735"
"    VALUE","","","","","","","","","","","","","",""
"        Less than $50,000","1,615","0.6%","1,506","0.9%","3,216","1.6%","1,333","1.2%","6,688","2.3%","1,353","0.7%","524","0.6%"
"        $50,000 to $99,999","702","0.3%","710","0.4%","2,739","1.4%","3,091","2.8%","26,226","9.2%","718","0.3%","397","0.5%"
"        $100,000 to $299,999","5,534","2.2%","26,970","15.2%","90,348","45.7%","59,692","54.2%","165,266","57.9%","17,180","8.3%","6,966","8.0%"
"        $300,000 to $499,999","9,778","3.9%","61,632","34.8%","71,598","36.2%","30,355","27.5%","49,850","17.5%","61,838","30.0%","29,588","34.1%"
"        $500,000 to $749,999","37,402","15.0%","46,205","26.1%","21,567","10.9%","8,883","8.1%","18,835","6.6%","73,554","35.7%","33,625","38.8%"
"        $750,000 to $999,999","56,946","22.8%","21,215","12.0%","5,677","2.9%","3,773","3.4%","6,804","2.4%","32,662","15.9%","12,572","14.5%"
"        $1,000,000 or more","137,967","55.2%","18,903","10.7%","2,657","1.3%","3,058","2.8%","11,756","4.1%","18,594","9.0%","3,063","3.5%"
"        Median (dollars)","1,070,600","1,070,600","492,800","492,800","305,800","305,800","269,500","269,500","211,200","211,200","574,300","574,300","543,800","543,800"
"    MORTGAGE STATUS","","","","","","","","","","","","","",""
"        With a mortgage and either a second mortgage or home equity loan","44,458","17.8%","32,061","18.1%","30,553","15.4%","13,444","12.2%","16,067","5.6%","35,045","17.0%","15,843","18.3%"
"            Only Second mortgage","6,281","2.5%","4,832","2.7%","3,392","1.7%","2,984","2.7%","5,666","2.0%","4,740","2.3%","2,909","3.4%"
"            Only Home equity loan","36,254","14.5%","25,977","14.7%","26,401","13.3%","10,147","9.2%","9,848","3.5%","29,150","14.2%","12,482","14.4%"
"            Both second mortgage and home equity loan","1,923","0.8%","1,252","0.7%","760","0.4%","313","0.3%","553","0.2%","1,155","0.6%","452","0.5%"
"        No second mortgage and no home equity loan","204,505","81.8%","144,106","81.4%","166,310","84.1%","96,330","87.4%","268,509","94.1%","169,755","82.4%","70,695","81.5%"
"        Home equity loan without a primary mortgage","981","0.4%","974","0.5%","939","0.5%","411","0.4%","849","0.3%","1,099","0.5%","197","0.2%"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","",""
"        Less than $10,000","2,507","1.0%","1,995","1.1%","2,343","1.2%","2,319","2.1%","5,859","2.1%","2,224","1.1%","529","0.6%"
"        $10,000 to $24,999","5,437","2.2%","3,326","1.9%","6,566","3.3%","4,969","4.5%","13,614","4.8%","3,437","1.7%","1,161","1.3%"
"        $25,000 to $34,999","4,666","1.9%","3,616","2.0%","6,178","3.1%","5,563","5.0%","14,668","5.1%","3,316","1.6%","818","0.9%"
"        $35,000 to $49,999","7,115","2.8%","6,987","3.9%","11,977","6.1%","10,199","9.3%","25,402","8.9%","6,678","3.2%","1,919","2.2%"
"        $50,000 to $74,999","15,938","6.4%","15,364","8.7%","26,069","13.2%","19,925","18.1%","47,905","16.8%","15,015","7.3%","5,470","6.3%"
"        $75,000 to $99,999","18,387","7.4%","17,805","10.1%","27,265","13.8%","18,715","17.0%","42,129","14.8%","17,754","8.6%","7,272","8.4%"
"        $100,000 to $149,999","41,025","16.4%","36,466","20.6%","49,383","25.0%","24,293","22.0%","60,661","21.3%","41,277","20.0%","17,007","19.6%"
"        $150,000 or more","154,869","62.0%","91,582","51.7%","68,021","34.4%","24,202","22.0%","75,187","26.3%","116,198","56.4%","52,559","60.6%"
"        Median household income (dollars)","184,206","184,206","153,976","153,976","117,316","117,316","90,287","90,287","95,580","95,580","166,420","166,420","175,182","175,182"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"        Less than 2.0","12,563","5.0%","33,233","18.8%","63,151","31.9%","26,816","24.3%","118,917","41.7%","29,484","14.3%","14,927","17.2%"
"        2.0 to 2.9","23,622","9.5%","49,505","27.9%","63,160","31.9%","30,771","27.9%","72,713","25.5%","57,939","28.1%","28,281","32.6%"
"        3.0 to 3.9","33,588","13.4%","33,308","18.8%","30,768","15.6%","19,187","17.4%","35,195","12.3%","43,733","21.2%","19,589","22.6%"
"        4.0 or more","179,294","71.7%","60,438","34.1%","40,238","20.3%","32,800","29.8%","57,430","20.1%","73,912","35.9%","23,688","27.3%"
"        Not computed","877","0.4%","657","0.4%","485","0.2%","611","0.6%","1,170","0.4%","831","0.4%","250","0.3%"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","",""
"        Less than $200","112","0.0%","114","0.1%","1,001","0.5%","9","0.0%","93","0.0%","165","0.1%","18","0.0%"
"        $200 to $399","254","0.1%","168","0.1%","495","0.3%","159","0.1%","597","0.2%","136","0.1%","22","0.0%"
"        $400 to $599","543","0.2%","506","0.3%","1,921","1.0%","1,406","1.3%","2,495","0.9%","276","0.1%","413","0.5%"
"        $600 to $799","1,444","0.6%","1,157","0.7%","5,273","2.7%","4,660","4.2%","9,570","3.4%","905","0.4%","484","0.6%"
"        $800 to $999","2,021","0.8%","2,482","1.4%","13,548","6.8%","11,557","10.5%","19,851","7.0%","2,085","1.0%","733","0.8%"
"        $1,000 to $1,499","9,908","4.0%","15,688","8.9%","55,090","27.9%","39,084","35.5%","86,279","30.2%","12,207","5.9%","5,399","6.2%"
"        $1,500 to $1,999","17,001","6.8%","30,460","17.2%","50,695","25.6%","24,950","22.6%","68,296","23.9%","27,915","13.6%","9,241","10.7%"
"        $2,000 to $2,499","26,748","10.7%","32,810","18.5%","32,139","16.2%","12,883","11.7%","36,727","12.9%","39,042","19.0%","15,056","17.4%"
"        $2,500 to $2,999","32,585","13.0%","29,531","16.7%","19,814","10.0%","6,875","6.2%","20,074","7.0%","38,794","18.8%","16,974","19.6%"
"        $3,000 or more","159,328","63.7%","64,225","36.3%","17,826","9.0%","8,602","7.8%","41,443","14.5%","84,374","41.0%","38,395","44.3%"
"        Median (dollars)","3,548","3,548","2,588","2,588","1,704","1,704","1,478","1,478","1,654","1,654","2,761","2,761","2,854","2,854"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"        Less than $20,000","4,868","1.9%","3,499","2.0%","6,159","3.1%","4,683","4.3%","13,086","4.6%","3,322","1.6%","881","1.0%"
"            Less than 20 percent","16","0.0%","0","0.0%","989","0.5%","0","0.0%","8","0.0%","23","0.0%","0","0.0%"
"            20 to 29 percent","0","0.0%","0","0.0%","50","0.0%","12","0.0%","60","0.0%","0","0.0%","0","0.0%"
"            30 percent or more","4,852","1.9%","3,499","2.0%","5,120","2.6%","4,671","4.2%","13,018","4.6%","3,299","1.6%","881","1.0%"
"        $20,000 to $34,999","6,865","2.7%","4,781","2.7%","8,443","4.3%","7,557","6.9%","19,885","7.0%","4,824","2.3%","1,377","1.6%"
