,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
label__grouping_,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months
santa_clara_county__california__households__estimate,"635,314",2.8%,2.3%,4.0%,4.0%,6.0%,10.1%,9.4%,17.5%,13.5%,30.3%,"130,890","174,331",,31.9%,(X),(X)
santa_clara_county__california__households__margin_of_error,"±1,803",±0.2,±0.1,±0.2,±0.2,±0.2,±0.3,±0.3,±0.4,±0.3,±0.4,±874,"±1,513",,(X),(X),(X)
santa_clara_county__california__families__estimate,"454,149",1.7%,1.1%,2.9%,3.2%,5.5%,9.4%,9.2%,17.6%,14.5%,34.9%,"148,065","193,784",,(X),32.5%,(X)
santa_clara_county__california__families__margin_of_error,"±3,012",±0.1,±0.1,±0.2,±0.2,±0.3,±0.3,±0.3,±0.4,±0.4,±0.5,"±1,508","±1,837",,(X),(X),(X)
santa_clara_county__california__married_couple_families__estimate,"360,029",0.9%,0.7%,2.3%,2.1%,4.0%,7.6%,8.0%,17.4%,15.8%,41.3%,"169,835","217,896",,(X),(X),(X)
santa_clara_county__california__married_couple_families__margin_of_error,"±3,307",±0.1,±0.1,±0.2,±0.1,±0.2,±0.3,±0.4,±0.5,±0.4,±0.6,"±1,677","±2,241",,(X),(X),(X)
santa_clara_county__california__nonfamily_households__estimate,"181,165",6.5%,5.6%,7.3%,6.7%,8.2%,12.3%,10.1%,16.9%,10.1%,16.3%,"82,185","116,017",,(X),(X),28.1%
santa_clara_county__california__nonfamily_households__margin_of_error,"±2,616",±0.4,±0.4,±0.5,±0.5,±0.5,±0.6,±0.6,±0.7,±0.6,±0.7,"±1,849","±1,953",,(X),(X),(X)
montgomery_county__maryland__households__estimate,"372,825",3.4%,1.8%,4.0%,4.8%,6.7%,12.5%,11.6%,19.2%,12.7%,23.5%,"111,812","152,779",,30.9%,(X),(X)
montgomery_county__maryland__households__margin_of_error,"±1,093",±0.3,±0.2,±0.2,±0.3,±0.4,±0.5,±0.4,±0.5,±0.5,±0.4,"±1,361","±1,592",,(X),(X),(X)
montgomery_county__maryland__families__estimate,"260,678",1.9%,0.8%,2.6%,3.9%,5.4%,10.9%,10.4%,19.7%,14.5%,29.8%,"133,556","176,761",,(X),31.7%,(X)
montgomery_county__maryland__families__margin_of_error,"±2,175",±0.2,±0.1,±0.3,±0.3,±0.4,±0.6,±0.5,±0.7,±0.6,±0.6,"±2,097","±2,461",,(X),(X),(X)
montgomery_county__maryland__married_couple_families__estimate,"203,331",0.8%,0.6%,1.8%,2.5%,4.0%,8.8%,9.7%,19.6%,16.2%,36.1%,"156,330","199,923",,(X),(X),(X)
montgomery_county__maryland__married_couple_families__margin_of_error,"±2,336",±0.2,±0.1,±0.3,±0.3,±0.4,±0.6,±0.5,±0.8,±0.7,±0.7,"±2,364","±2,886",,(X),(X),(X)
montgomery_county__maryland__nonfamily_households__estimate,"112,147",7.5%,4.0%,7.6%,7.5%,10.3%,16.8%,14.0%,17.2%,7.6%,7.5%,"68,931","91,399",,(X),(X),27.2%
montgomery_county__maryland__nonfamily_households__margin_of_error,"±2,132",±0.8,±0.4,±0.6,±0.6,±0.7,±1.0,±0.9,±0.9,±0.6,±0.6,"±1,918","±2,295",,(X),(X),(X)
wake_county__north_carolina__households__estimate,"410,552",3.2%,2.3%,5.9%,6.8%,10.7%,16.1%,13.4%,18.9%,10.4%,12.3%,"83,567","110,657",,29.4%,(X),(X)
wake_county__north_carolina__households__margin_of_error,"±1,748",±0.2,±0.2,±0.4,±0.4,±0.4,±0.5,±0.6,±0.6,±0.4,±0.4,"±1,282","±1,451",,(X),(X),(X)
wake_county__north_carolina__families__estimate,"270,784",1.7%,1.4%,4.2%,4.7%,8.3%,13.5%,13.7%,22.1%,13.5%,16.9%,"104,072","130,935",,(X),30.4%,(X)
