,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
label__grouping_,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,        Homeowner vacancy rate,        Rental vacancy rate,UNITS IN STRUCTURE,    Total housing units,"        1-unit, detached","        1-unit, attached",        2 units,        3 or 4 units,        5 to 9 units,        10 to 19 units,        20 or more units,        Mobile home,"        Boat, RV, van, etc.",YEAR STRUCTURE BUILT,    Total housing units,        Built 2014 or later,        Built 2010 to 2013,        Built 2000 to 2009,        Built 1990 to 1999,        Built 1980 to 1989,        Built 1970 to 1979,        Built 1960 to 1969,        Built 1950 to 1959,        Built 1940 to 1949,        Built 1939 or earlier,ROOMS,    Total housing units,        1 room,        2 rooms,        3 rooms,        4 rooms,        5 rooms,        6 rooms,        7 rooms,        8 rooms,        9 rooms or more,        Median rooms,BEDROOMS,    Total housing units,        No bedroom,        1 bedroom,        2 bedrooms,        3 bedrooms,        4 bedrooms,        5 or more bedrooms,HOUSING TENURE,    Occupied housing units,        Owner-occupied,        Renter-occupied,        Average household size of owner-occupied unit,        Average household size of renter-occupied unit,YEAR HOUSEHOLDER MOVED INTO UNIT,    Occupied housing units,        Moved in 2019 or later,        Moved in 2015 to 2018,        Moved in 2010 to 2014,        Moved in 2000 to 2009,        Moved in 1990 to 1999,        Moved in 1989 and earlier,VEHICLES AVAILABLE,    Occupied housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,HOUSE HEATING FUEL,    Occupied housing units,        Utility gas,"        Bottled, tank, or LP gas",        Electricity,"        Fuel oil, kerosene, etc.",        Coal or coke,        Wood,        Solar energy,        Other fuel,        No fuel used,SELECTED CHARACTERISTICS,    Occupied housing units,        Lacking complete plumbing facilities,        Lacking complete kitchen facilities,        No telephone service available,OCCUPANTS PER ROOM,    Occupied housing units,        1.00 or less,        1.01 to 1.50,        1.51 or more,VALUE,    Owner-occupied units,"        Less than $50,000","        $50,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 to $299,999","        $300,000 to $499,999","        $500,000 to $999,999","        $1,000,000 or more",        Median (dollars),MORTGAGE STATUS,    Owner-occupied units,        Housing units with a mortgage,        Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC),    Housing units with a mortgage,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),    Housing units without a mortgage,        Less than $250,        $250 to $399,        $400 to $599,        $600 to $799,        $800 to $999,"        $1,000 or more",        Median (dollars),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 20.0 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 10.0 percent,        10.0 to 14.9 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,GROSS RENT,    Occupied units paying rent,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),        No rent paid,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),    Occupied units paying rent (excluding units where GRAPI cannot be computed),        Less than 15.0 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed
santa_clara_county__california__estimate,,"668,896","635,314","33,582",0.5,4.3,,"668,896","346,896","73,075","9,919","37,146","31,292","34,913","115,935","19,220",500,,"668,896","26,715","16,539","58,398","66,674","80,896","145,889","122,102","95,284","23,297","33,102",,"668,896","27,951","38,376","83,679","120,575","110,899","110,012","77,119","52,359","47,926",5.1,,"668,896","29,922","89,858","166,697","205,029","141,829","35,561",,"635,314","358,228","277,086",3.06,2.86,,"635,314","34,335","175,759","134,612","138,344","72,502","79,762",,"635,314","33,974","174,987","254,418","171,935",,"635,314","395,819","11,799","212,324",486,41,"2,029","4,425",744,"7,647",,"635,314","1,782","6,019","6,983",,"635,314","583,952","32,337","19,025",,"358,228","4,291","2,988","4,384","3,219","6,230","14,503","127,752","194,861","1,061,900",,"358,228","249,944","108,284",,"249,944",580,"3,794","9,908","17,001","26,748","32,585","159,328","3,548","108,284","4,860","8,072","18,207","20,308","15,342","41,495",834,,"249,067","95,279","38,268","30,179","21,019","64,322",877,"107,231","54,494","17,925","9,806","6,007","3,789","2,981","12,229","1,053",,"270,454","8,694","13,681","25,357","45,205","54,745","50,469","72,303","2,386","6,632",,"266,993","41,139","37,094","37,300","30,575","24,412","96,473","10,093"
santa_clara_county__california__margin_of_error,,±529,"±1,803","±1,600",±0.1,±0.4,,±529,"±2,599","±1,851",±745,"±1,410","±1,304","±1,198","±2,249",±880,±142,,±529,"±1,056",±971,"±1,560","±1,739","±1,661","±2,867","±2,412","±2,062","±1,122","±1,151",,±529,"±1,257","±1,367","±2,161","±2,537","±2,305","±2,504","±2,063","±1,461","±1,552",±0.1,,±529,"±1,355","±2,004","±2,864","±2,596","±2,062","±1,217",,"±1,803","±3,010","±2,830",±0.02,±0.02,,"±1,803","±1,368","±2,611","±2,671","±2,542","±1,605","±1,588",,"±1,803","±1,371","±2,749","±3,423","±2,336",,"±1,803","±2,587",±881,"±2,730",±143,±48,±375,±460,±220,±620,,"±1,803",±327,±525,±502,,"±1,803","±2,241","±1,230","±1,064",,"±3,010",±436,±375,±484,±419,±603,±750,"±2,019","±2,484","±6,354",,"±3,010","±2,638","±1,791",,"±2,638",±165,±418,±620,±706,±991,"±1,135","±2,222",±27,"±1,791",±465,±635,±823,±940,±761,"±1,377",±13,,"±2,642","±1,936","±1,299","±1,224","±1,047","±1,742",±196,"±1,766","±1,466",±871,±576,±452,±441,±345,±760,±209,,"±2,751",±656,±956,"±1,229","±1,417","±1,573","±1,692","±1,834",±15,±600,,"±2,800","±1,300","±1,473","±1,325","±1,076","±1,162","±2,286",±774
santa_clara_county__california__percent,,"668,896",95.0%,5.0%,(X),(X),,"668,896",51.9%,10.9%,1.5%,5.6%,4.7%,5.2%,17.3%,2.9%,0.1%,,"668,896",4.0%,2.5%,8.7%,10.0%,12.1%,21.8%,18.3%,14.2%,3.5%,4.9%,,"668,896",4.2%,5.7%,12.5%,18.0%,16.6%,16.4%,11.5%,7.8%,7.2%,(X),,"668,896",4.5%,13.4%,24.9%,30.7%,21.2%,5.3%,,"635,314",56.4%,43.6%,(X),(X),,"635,314",5.4%,27.7%,21.2%,21.8%,11.4%,12.6%,,"635,314",5.3%,27.5%,40.0%,27.1%,,"635,314",62.3%,1.9%,33.4%,0.1%,0.0%,0.3%,0.7%,0.1%,1.2%,,"635,314",0.3%,0.9%,1.1%,,"635,314",91.9%,5.1%,3.0%,,"358,228",1.2%,0.8%,1.2%,0.9%,1.7%,4.0%,35.7%,54.4%,(X),,"358,228",69.8%,30.2%,,"249,944",0.2%,1.5%,4.0%,6.8%,10.7%,13.0%,63.7%,(X),"108,284",4.5%,7.5%,16.8%,18.8%,14.2%,38.3%,(X),,"249,067",38.3%,15.4%,12.1%,8.4%,25.8%,(X),"107,231",50.8%,16.7%,9.1%,5.6%,3.5%,2.8%,11.4%,(X),,"270,454",3.2%,5.1%,9.4%,16.7%,20.2%,18.7%,26.7%,(X),(X),,"266,993",15.4%,13.9%,14.0%,11.5%,9.1%,36.1%,(X)
santa_clara_county__california__percent_margin_of_error,,(X),±0.2,±0.2,(X),(X),,(X),±0.4,±0.3,±0.1,±0.2,±0.2,±0.2,±0.3,±0.1,±0.1,,(X),±0.2,±0.1,±0.2,±0.3,±0.2,±0.4,±0.4,±0.3,±0.2,±0.2,,(X),±0.2,±0.2,±0.3,±0.4,±0.3,±0.4,±0.3,±0.2,±0.2,(X),,(X),±0.2,±0.3,±0.4,±0.4,±0.3,±0.2,,(X),±0.4,±0.4,(X),(X),,(X),±0.2,±0.4,±0.4,±0.4,±0.3,±0.2,,(X),±0.2,±0.4,±0.5,±0.4,,(X),±0.4,±0.1,±0.4,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,,(X),±0.3,±0.2,±0.2,,(X),±0.1,±0.1,±0.1,±0.1,±0.2,±0.2,±0.5,±0.5,(X),,(X),±0.4,±0.4,,(X),±0.1,±0.2,±0.2,±0.3,±0.4,±0.4,±0.6,(X),(X),±0.4,±0.6,±0.7,±0.9,±0.7,±1.0,(X),,(X),±0.7,±0.5,±0.5,±0.4,±0.7,(X),(X),±0.9,±0.8,±0.5,±0.4,±0.4,±0.3,±0.7,(X),,(X),±0.2,±0.3,±0.4,±0.5,±0.5,±0.6,±0.6,(X),(X),,(X),±0.5,±0.5,±0.5,±0.4,±0.4,±0.7,(X)
montgomery_county__maryland__estimate,,"390,475","372,825","17,650",1.1,4.3,,"390,475","184,802","71,398","1,683","5,445","18,933","34,466","73,102",526,120,,"390,475","14,143","10,983","40,082","47,211","77,592","61,019","55,814","46,546","19,061","18,024",,"390,475","8,872","13,761","37,014","52,315","44,586","46,841","42,755","42,578","101,753",6.3,,"390,475","10,139","48,840","80,985","108,656","94,388","47,467",,"372,825","244,613","128,212",2.90,2.58,,"372,825","17,600","105,428","71,127","87,683","46,998","43,989",,"372,825","28,127","126,121","145,643","72,934",,"372,825","199,387","5,364","151,084","11,621",38,700,"1,374","1,335","1,922",,"372,825","1,171","1,943","4,514",,"372,825","361,113","7,701","4,011",,"244,613","2,680","1,616","4,611","6,926","26,137","83,934","92,229","26,480","491,700",,"244,613","177,141","67,472",,"177,141",423,"4,004","15,688","30,460","32,810","29,531","64,225","2,588","67,472","1,776","3,111","11,490","15,333","13,284","22,478",830,,"176,484","82,229","28,711","17,955","12,568","35,021",657,"67,024","37,059","10,885","4,874","3,528","1,899","1,528","7,251",448,,"124,575","4,105","5,975","25,302","47,386","23,792","9,823","8,192","1,784","3,637",,"123,025","12,523","16,051","18,659","13,847","11,760","50,185","5,187"
montgomery_county__maryland__margin_of_error,,±422,"±1,093","±1,101",±0.2,±0.5,,±422,"±2,081","±1,695",±341,±570,"±1,088","±1,252","±1,500",±226,±80,,±422,±787,±720,"±1,465","±1,405","±1,834","±1,679","±1,646","±1,486",±972,±805,,±422,±738,±922,"±1,393","±1,613","±1,510","±1,569","±1,529","±1,326","±1,849",±0.1,,±422,±797,"±1,848","±2,027","±2,103","±2,214","±1,239",,"±1,093","±2,109","±2,080",±0.02,±0.04,,"±1,093","±1,277","±2,429","±1,828","±2,126","±1,268","±1,152",,"±1,093","±1,381","±2,254","±1,936","±1,625",,"±1,093","±2,262",±495,"±2,183",±830,±40,±164,±352,±278,±342,,"±1,093",±334,±384,±448,,"±1,093","±1,428",±823,±555,,"±2,109",±369,±275,±548,±651,"±1,104","±1,890","±1,721",±982,"±3,861",,"±2,109","±2,168","±1,647",,"±2,168",±146,±433,±890,"±1,087","±1,322","±1,340","±1,424",±23,"±1,647",±364,±378,±785,±899,±868,±883,±13,,"±2,185","±1,956","±1,141",±947,±982,"±1,522",±226,"±1,670","±1,448",±791,±456,±450,±245,±256,±603,±131,,"±2,209",±583,±740,"±1,430","±1,603","±1,068",±819,±779,±11,±664,,"±2,245",±846,"±1,048","±1,005","±1,033",±919,"±1,760",±728
montgomery_county__maryland__percent,,"390,475",95.5%,4.5%,(X),(X),,"390,475",47.3%,18.3%,0.4%,1.4%,4.8%,8.8%,18.7%,0.1%,0.0%,,"390,475",3.6%,2.8%,10.3%,12.1%,19.9%,15.6%,14.3%,11.9%,4.9%,4.6%,,"390,475",2.3%,3.5%,9.5%,13.4%,11.4%,12.0%,10.9%,10.9%,26.1%,(X),,"390,475",2.6%,12.5%,20.7%,27.8%,24.2%,12.2%,,"372,825",65.6%,34.4%,(X),(X),,"372,825",4.7%,28.3%,19.1%,23.5%,12.6%,11.8%,,"372,825",7.5%,33.8%,39.1%,19.6%,,"372,825",53.5%,1.4%,40.5%,3.1%,0.0%,0.2%,0.4%,0.4%,0.5%,,"372,825",0.3%,0.5%,1.2%,,"372,825",96.9%,2.1%,1.1%,,"244,613",1.1%,0.7%,1.9%,2.8%,10.7%,34.3%,37.7%,10.8%,(X),,"244,613",72.4%,27.6%,,"177,141",0.2%,2.3%,8.9%,17.2%,18.5%,16.7%,36.3%,(X),"67,472",2.6%,4.6%,17.0%,22.7%,19.7%,33.3%,(X),,"176,484",46.6%,16.3%,10.2%,7.1%,19.8%,(X),"67,024",55.3%,16.2%,7.3%,5.3%,2.8%,2.3%,10.8%,(X),,"124,575",3.3%,4.8%,20.3%,38.0%,19.1%,7.9%,6.6%,(X),(X),,"123,025",10.2%,13.0%,15.2%,11.3%,9.6%,40.8%,(X)
montgomery_county__maryland__percent_margin_of_error,,(X),±0.3,±0.3,(X),(X),,(X),±0.5,±0.4,±0.1,±0.1,±0.3,±0.3,±0.4,±0.1,±0.1,,(X),±0.2,±0.2,±0.4,±0.4,±0.5,±0.4,±0.4,±0.4,±0.2,±0.2,,(X),±0.2,±0.2,±0.4,±0.4,±0.4,±0.4,±0.4,±0.3,±0.5,(X),,(X),±0.2,±0.5,±0.5,±0.5,±0.6,±0.3,,(X),±0.5,±0.5,(X),(X),,(X),±0.3,±0.6,±0.5,±0.6,±0.3,±0.3,,(X),±0.4,±0.6,±0.5,±0.4,,(X),±0.6,±0.1,±0.6,±0.2,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,,(X),±0.3,±0.2,±0.1,,(X),±0.1,±0.1,±0.2,±0.3,±0.4,±0.7,±0.7,±0.4,(X),,(X),±0.6,±0.6,,(X),±0.1,±0.2,±0.5,±0.6,±0.7,±0.7,±0.7,(X),(X),±0.5,±0.5,±1.1,±1.3,±1.1,±1.2,(X),,(X),±0.9,±0.6,±0.5,±0.5,±0.8,(X),(X),±1.5,±1.1,±0.7,±0.7,±0.4,±0.4,±0.9,(X),,(X),±0.5,±0.6,±1.1,±1.1,±0.9,±0.6,±0.6,(X),(X),,(X),±0.7,±0.8,±0.8,±0.8,±0.7,±1.2,(X)
wake_county__north_carolina__estimate,,"441,720","410,552","31,168",0.9,6.0,,"441,720","260,720","49,020","5,701","11,036","23,915","36,961","42,276","11,977",114,,"441,720","40,066","30,795","110,044","99,181","67,929","40,694","24,381","13,841","5,138","9,651",,"441,720","5,366","13,519","40,184","63,778","69,574","62,149","52,489","47,401","87,260",6.0,,"441,720","5,654","44,872","92,782","168,832","97,522","32,058",,"410,552","262,278","148,274",2.74,2.37,,"410,552","26,902","141,496","86,448","89,836","40,352","25,518",,"410,552","15,217","127,052","177,780","90,503",,"410,552","175,303","11,346","220,257",977,18,871,162,300,"1,318",,"410,552",683,"1,677","4,211",,"410,552","402,749","5,648","2,155",,"262,278","7,258","5,329","17,758","32,792","67,087","92,271","35,515","4,268","301,600",,"262,278","197,802","64,476",,"197,802","2,160","20,078","55,090","50,695","32,139","19,814","17,826","1,704","64,476","4,264","12,528","22,492","15,366","5,104","4,722",536,,"197,317","113,510","29,655","17,873","9,619","26,660",485,"64,092","38,564","10,867","5,076","2,568","1,813","1,389","3,815",384,,"144,759","4,115","35,689","70,960","25,270","5,774","1,408","1,543","1,204","3,515",,"143,110","20,485","21,745","21,045","17,684","12,821","49,330","5,164"
