,0,1,2
label__grouping_,Total:,    Occupied,    Vacant
santa_clara_county__california__estimate,"668,896","635,314","33,582"
santa_clara_county__california__margin_of_error,±529,"±1,803","±1,600"
montgomery_county__maryland__estimate,"390,475","372,825","17,650"
montgomery_county__maryland__margin_of_error,±422,"±1,093","±1,101"
wake_county__north_carolina__estimate,"441,720","410,552","31,168"
wake_county__north_carolina__margin_of_error,±442,"±1,748","±1,586"
davidson_county__tennessee__estimate,"319,739","289,191","30,548"
davidson_county__tennessee__margin_of_error,±445,"±1,394","±1,422"
dallas_county__texas__estimate,"1,027,813","945,996","81,817"
dallas_county__texas__margin_of_error,±656,"±2,684","±2,418"
fairfax_county__virginia__estimate,"415,149","398,653","16,496"
fairfax_county__virginia__margin_of_error,±238,"±1,053",±998
loudoun_county__virginia__estimate,"136,398","132,565","3,833"
loudoun_county__virginia__margin_of_error,±133,±526,±511
