"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate"
"Total:","360,190","252,963","307,341","180,349","499,830","280,307"
"    Less than $10,000","3,669","3,145","3,322","1,070","6,956","2,581"
"    $10,000 to $14,999","308","0","748","0","1,619","0"
"    $15,000 to $19,999","45","114","436","0","2,527","65"
"    $20,000 to $24,999","376","89","768","348","2,350","53"
"    $25,000 to $29,999","154","199","194","86","1,407","52"
"    $30,000 to $34,999","158","352","712","940","1,383","122"
"    $35,000 to $39,999","473","153","227","57","796","57"
"    $40,000 to $49,999","221","290","534","119","1,803","351"
"    $50,000 to $59,999","404","593","202","829","1,664","847"
"    $60,000 to $69,999","314","332","327","0","2,168","446"
"    $70,000 to $79,999","431","309","853","757","1,611","288"
"    $80,000 to $89,999","832","190","635","301","4,005","378"
"    $90,000 to $99,999","632","151","740","276","3,411","135"
"    $100,000 to $124,999","3,373","969","2,449","2,150","15,761","551"
"    $125,000 to $149,999","1,117","810","1,479","380","9,517","597"
"    $150,000 to $174,999","2,357","1,427","4,041","2,441","19,356","1,243"
"    $175,000 to $199,999","1,069","2,502","3,624","2,594","20,088","1,043"
"    $200,000 to $249,999","3,173","7,838","14,714","12,188","59,901","4,345"
"    $250,000 to $299,999","3,643","7,304","17,237","15,073","74,249","5,244"
"    $300,000 to $399,999","5,095","25,423","52,443","37,745","101,501","17,961"
"    $400,000 to $499,999","4,149","32,252","58,452","33,982","51,569","25,558"
"    $500,000 to $749,999","20,996","77,161","85,198","34,034","59,535","86,101"
"    $750,000 to $999,999","41,007","44,582","37,629","14,379","24,868","73,563"
"    $1,000,000 to $1,499,999","93,473","28,847","13,403","11,717","13,366","39,042"
"    $1,500,000 to $1,999,999","65,585","10,423","2,645","3,322","6,637","11,124"
"    $2,000,000 or more","107,136","7,508","4,329","5,561","11,782","8,560"
