,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
Label (Grouping),HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,        Homeowner vacancy rate,        Rental vacancy rate,UNITS IN STRUCTURE,    Total housing units,"        1-unit, detached","        1-unit, attached",        2 units,        3 or 4 units,        5 to 9 units,        10 to 19 units,        20 or more units,        Mobile home,"        Boat, RV, van, etc.",YEAR STRUCTURE BUILT,    Total housing units,        Built 2020 or later,        Built 2010 to 2019,        Built 2000 to 2009,        Built 1990 to 1999,        Built 1980 to 1989,        Built 1970 to 1979,        Built 1960 to 1969,        Built 1950 to 1959,        Built 1940 to 1949,        Built 1939 or earlier,ROOMS,    Total housing units,        1 room,        2 rooms,        3 rooms,        4 rooms,        5 rooms,        6 rooms,        7 rooms,        8 rooms,        9 rooms or more,        Median rooms,BEDROOMS,    Total housing units,        No bedroom,        1 bedroom,        2 bedrooms,        3 bedrooms,        4 bedrooms,        5 or more bedrooms,HOUSING TENURE,    Occupied housing units,        Owner-occupied,        Renter-occupied,        Average household size of owner-occupied unit,        Average household size of renter-occupied unit,YEAR HOUSEHOLDER MOVED INTO UNIT,    Occupied housing units,        Moved in 2021 or later,        Moved in 2018 to 2020,        Moved in 2010 to 2017,        Moved in 2000 to 2009,        Moved in 1990 to 1999,        Moved in 1989 and earlier,VEHICLES AVAILABLE,    Occupied housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,HOUSE HEATING FUEL,    Occupied housing units,        Utility gas,"        Bottled, tank, or LP gas",        Electricity,"        Fuel oil, kerosene, etc.",        Coal or coke,        Wood,        Solar energy,        Other fuel,        No fuel used,SELECTED CHARACTERISTICS,    Occupied housing units,        Lacking complete plumbing facilities,        Lacking complete kitchen facilities,        No telephone service available,OCCUPANTS PER ROOM,    Occupied housing units,        1.00 or less,        1.01 to 1.50,        1.51 or more,VALUE,    Owner-occupied units,"        Less than $50,000","        $50,000 to $99,999","        $100,000 to $149,999","        $150,000 to $199,999","        $200,000 to $299,999","        $300,000 to $499,999","        $500,000 to $999,999","        $1,000,000 or more",        Median (dollars),MORTGAGE STATUS,    Owner-occupied units,        Housing units with a mortgage,        Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC),    Housing units with a mortgage,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),    Housing units without a mortgage,        Less than $250,        $250 to $399,        $400 to $599,        $600 to $799,        $800 to $999,"        $1,000 or more",        Median (dollars),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 20.0 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),        Less than 10.0 percent,        10.0 to 14.9 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed,GROSS RENT,    Occupied units paying rent,        Less than $500,        $500 to $999,"        $1,000 to $1,499","        $1,500 to $1,999","        $2,000 to $2,499","        $2,500 to $2,999","        $3,000 or more",        Median (dollars),        No rent paid,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),    Occupied units paying rent (excluding units where GRAPI cannot be computed),        Less than 15.0 percent,        15.0 to 19.9 percent,        20.0 to 24.9 percent,        25.0 to 29.9 percent,        30.0 to 34.9 percent,        35.0 percent or more,        Not computed
"Santa Clara County, California!!Estimate",,"703,922","665,549","38,373",0.5,4.8,,"703,922","354,857","75,341","9,437","37,027","35,605","34,759","137,967","17,619","1,310",,"703,922","13,847","69,081","64,816","63,415","79,551","139,826","125,699","92,344","21,940","33,403",,"703,922","39,733","45,838","91,950","128,236","106,587","110,070","73,249","60,038","48,221",4.9,,"703,922","42,629","97,699","172,805","204,696","147,029","39,064",,"665,549","360,190","305,359",2.88,2.62,,"665,549","200,386","102,458","140,402","101,268","59,302","61,733",,"665,549","39,177","217,368","250,244","158,760",,"665,549","385,101","14,966","244,417",528,40,"1,004","6,558","1,137","11,798",,"665,549","4,007","7,697","7,409",,"665,549","616,408","25,793","23,348",,"360,190","5,404","2,613","4,490","3,426","6,816","9,244","62,003","266,194","1,443,100",,"360,190","235,931","124,259",,"235,931",915,"2,822","5,905","10,357","16,394","21,728","177,810","4,000+","124,259","2,032","4,449","10,495","16,373","20,100","70,810","1,143",,"235,054","102,008","34,701","24,384","18,452","55,509",877,"122,501","59,652","21,393","9,668","6,458","4,876","3,222","17,232","1,758",,"298,289","8,051","9,861","14,764","33,031","50,491","58,537","123,554","2,781","7,070",,"293,621","47,883","39,932","35,999","33,119","26,905","109,783","11,738"
"Santa Clara County, California!!Margin of Error",,±254,"±3,723","±3,675",±0.2,±0.8,,±254,"±5,247","±3,934","±1,912","±3,602","±3,331","±3,464","±4,846","±1,793",±899,,±254,"±1,934","±4,813","±3,996","±4,154","±4,005","±4,862","±5,624","±4,646","±2,370","±3,117",,±254,"±3,872","±3,838","±5,037","±5,300","±4,786","±4,849","±4,358","±3,892","±3,306",±0.1,,±254,"±4,183","±5,126","±6,073","±5,513","±4,671","±2,971",,"±3,723","±5,723","±6,356",±0.03,±0.04,,"±3,723","±6,778","±5,782","±6,179","±4,448","±3,253","±3,096",,"±3,723","±3,870","±6,604","±6,612","±5,786",,"±3,723","±6,507","±2,011","±6,278",±327,±66,±443,"±1,306",±479,"±2,371",,"±3,723","±1,167","±1,443","±1,678",,"±3,723","±5,433","±2,764","±2,950",,"±5,723","±1,226",±753,"±1,078",±943,"±1,494","±1,450","±3,309","±4,861","±31,167",,"±5,723","±5,927","±4,395",,"±5,927",±440,"±1,012","±1,037","±1,209","±2,221","±2,557","±5,524",***,"±4,395",±666,"±1,070","±1,624","±2,191","±2,246","±3,708",±40,,"±5,933","±4,745","±2,721","±2,176","±2,262","±3,387",±432,"±4,402","±3,328","±2,602","±1,207","±1,351",±892,±819,"±1,953",±752,,"±6,420","±1,557","±1,387","±2,261","±3,587","±3,914","±4,241","±4,875",±37,"±1,820",,"±6,477","±3,477","±3,926","±3,179","±3,641","±3,538","±5,299","±2,177"
"Santa Clara County, California!!Percent",,"703,922",94.5%,5.5%,(X),(X),,"703,922",50.4%,10.7%,1.3%,5.3%,5.1%,4.9%,19.6%,2.5%,0.2%,,"703,922",2.0%,9.8%,9.2%,9.0%,11.3%,19.9%,17.9%,13.1%,3.1%,4.7%,,"703,922",5.6%,6.5%,13.1%,18.2%,15.1%,15.6%,10.4%,8.5%,6.9%,(X),,"703,922",6.1%,13.9%,24.5%,29.1%,20.9%,5.5%,,"665,549",54.1%,45.9%,(X),(X),,"665,549",30.1%,15.4%,21.1%,15.2%,8.9%,9.3%,,"665,549",5.9%,32.7%,37.6%,23.9%,,"665,549",57.9%,2.2%,36.7%,0.1%,0.0%,0.2%,1.0%,0.2%,1.8%,,"665,549",0.6%,1.2%,1.1%,,"665,549",92.6%,3.9%,3.5%,,"360,190",1.5%,0.7%,1.2%,1.0%,1.9%,2.6%,17.2%,73.9%,(X),,"360,190",65.5%,34.5%,,"235,931",0.4%,1.2%,2.5%,4.4%,6.9%,9.2%,75.4%,(X),"124,259",1.6%,3.6%,8.4%,13.2%,16.2%,57.0%,(X),,"235,054",43.4%,14.8%,10.4%,7.9%,23.6%,(X),"122,501",48.7%,17.5%,7.9%,5.3%,4.0%,2.6%,14.1%,(X),,"298,289",2.7%,3.3%,4.9%,11.1%,16.9%,19.6%,41.4%,(X),(X),,"293,621",16.3%,13.6%,12.3%,11.3%,9.2%,37.4%,(X)
"Santa Clara County, California!!Percent Margin of Error",,(X),±0.5,±0.5,(X),(X),,(X),±0.7,±0.6,±0.3,±0.5,±0.5,±0.5,±0.7,±0.3,±0.1,,(X),±0.3,±0.7,±0.6,±0.6,±0.6,±0.7,±0.8,±0.7,±0.3,±0.4,,(X),±0.5,±0.5,±0.7,±0.8,±0.7,±0.7,±0.6,±0.6,±0.5,(X),,(X),±0.6,±0.7,±0.9,±0.8,±0.7,±0.4,,(X),±0.9,±0.9,(X),(X),,(X),±1.0,±0.9,±0.9,±0.7,±0.5,±0.5,,(X),±0.6,±1.0,±1.0,±0.9,,(X),±0.9,±0.3,±0.9,±0.1,±0.1,±0.1,±0.2,±0.1,±0.4,,(X),±0.2,±0.2,±0.3,,(X),±0.6,±0.4,±0.4,,(X),±0.3,±0.2,±0.3,±0.3,±0.4,±0.4,±0.9,±1.0,(X),,(X),±1.2,±1.2,,(X),±0.2,±0.4,±0.4,±0.5,±0.9,±1.0,±1.2,(X),(X),±0.5,±0.9,±1.2,±1.7,±1.6,±2.2,(X),,(X),±1.6,±1.1,±0.9,±0.9,±1.3,(X),(X),±2.1,±2.0,±1.0,±1.1,±0.7,±0.7,±1.5,(X),,(X),±0.5,±0.5,±0.7,±1.2,±1.3,±1.4,±1.4,(X),(X),,(X),±1.1,±1.3,±1.1,±1.2,±1.2,±1.5,(X)
"Montgomery County, Maryland!!Estimate",,"406,718","392,629","14,089",0.3,2.9,,"406,718","191,194","71,518","3,456","5,308","20,104","29,373","84,650","1,115",0,,"406,718","8,365","37,972","42,498","40,693","81,004","55,824","56,261","45,347","21,531","17,223",,"406,718","12,285","18,709","42,580","51,812","45,696","46,833","41,635","46,893","100,275",6.2,,"406,718","13,501","53,093","82,558","106,660","97,252","53,654",,"392,629","252,963","139,666",2.83,2.39,,"392,629","106,426","70,377","84,723","61,904","35,802","33,397",,"392,629","34,860","138,942","149,718","69,109",,"392,629","206,169","7,526","164,798","8,851",155,745,"1,219",464,"2,702",,"392,629",780,"1,738","2,588",,"392,629","380,206","8,449","3,974",,"252,963","4,342","1,575","1,779","3,929","15,142","57,675","121,743","46,778","636,200",,"252,963","180,196","72,767",,"180,196",749,"2,860","12,238","23,298","32,947","29,577","78,527","2,804","72,767",917,"2,045","8,036","15,240","14,320","32,209",940,,"179,457","89,490","25,098","18,573","10,085","36,211",739,"71,910","41,009","12,266","4,764","3,487","2,267","1,041","7,076",857,,"136,129","3,589","4,120","15,326","46,510","33,512","15,465","17,607","1,984","3,537",,"133,138","13,133","17,562","15,895","15,137","11,935","59,476","6,528"
"Montgomery County, Maryland!!Margin of Error",,±158,"±2,507","±2,548",±0.2,±1.1,,±158,"±4,240","±3,932","±1,146","±1,243","±3,046","±3,055","±3,984",±701,±225,,±158,"±1,713","±3,270","±4,054","±3,122","±4,087","±3,839","±3,907","±3,069","±2,246","±2,024",,±158,"±2,163","±2,557","±4,355","±3,348","±4,162","±3,815","±4,110","±3,301","±4,451",±0.1,,±158,"±2,199","±4,037","±4,718","±4,437","±3,982","±3,199",,"±2,507","±4,412","±4,810",±0.04,±0.07,,"±2,507","±4,639","±4,509","±4,200","±3,206","±2,461","±2,178",,"±2,507","±3,724","±5,373","±4,900","±3,734",,"±2,507","±5,585","±1,700","±6,094","±1,425",±191,±416,±494,±301,±930,,"±2,507",±396,±664,"±1,068",,"±2,507","±3,149","±1,700","±1,263",,"±4,412","±1,160",±606,±718,±971,"±2,189","±3,787","±3,471","±2,984","±10,274",,"±4,412","±4,390","±3,394",,"±4,390",±371,"±1,024","±1,862","±2,457","±2,801","±3,071","±3,676",±51,"±3,394",±401,±726,"±1,439","±1,960","±1,911","±2,472",±29,,"±4,332","±3,632","±2,287","±2,044","±1,877","±2,848",±570,"±3,399","±2,462","±1,844","±1,087","±1,160","±1,015",±485,"±1,288",±421,,"±4,687","±1,169","±1,188","±1,986","±3,535","±3,533","±2,622","±2,437",±35,"±1,215",,"±5,263","±2,112","±2,846","±2,304","±2,064","±1,778","±4,308","±1,898"
"Montgomery County, Maryland!!Percent",,"406,718",96.5%,3.5%,(X),(X),,"406,718",47.0%,17.6%,0.8%,1.3%,4.9%,7.2%,20.8%,0.3%,0.0%,,"406,718",2.1%,9.3%,10.4%,10.0%,19.9%,13.7%,13.8%,11.1%,5.3%,4.2%,,"406,718",3.0%,4.6%,10.5%,12.7%,11.2%,11.5%,10.2%,11.5%,24.7%,(X),,"406,718",3.3%,13.1%,20.3%,26.2%,23.9%,13.2%,,"392,629",64.4%,35.6%,(X),(X),,"392,629",27.1%,17.9%,21.6%,15.8%,9.1%,8.5%,,"392,629",8.9%,35.4%,38.1%,17.6%,,"392,629",52.5%,1.9%,42.0%,2.3%,0.0%,0.2%,0.3%,0.1%,0.7%,,"392,629",0.2%,0.4%,0.7%,,"392,629",96.8%,2.2%,1.0%,,"252,963",1.7%,0.6%,0.7%,1.6%,6.0%,22.8%,48.1%,18.5%,(X),,"252,963",71.2%,28.8%,,"180,196",0.4%,1.6%,6.8%,12.9%,18.3%,16.4%,43.6%,(X),"72,767",1.3%,2.8%,11.0%,20.9%,19.7%,44.3%,(X),,"179,457",49.9%,14.0%,10.3%,5.6%,20.2%,(X),"71,910",57.0%,17.1%,6.6%,4.8%,3.2%,1.4%,9.8%,(X),,"136,129",2.6%,3.0%,11.3%,34.2%,24.6%,11.4%,12.9%,(X),(X),,"133,138",9.9%,13.2%,11.9%,11.4%,9.0%,44.7%,(X)
"Montgomery County, Maryland!!Percent Margin of Error",,(X),±0.6,±0.6,(X),(X),,(X),±1.0,±1.0,±0.3,±0.3,±0.7,±0.8,±1.0,±0.2,±0.1,,(X),±0.4,±0.8,±1.0,±0.8,±1.0,±0.9,±1.0,±0.8,±0.6,±0.5,,(X),±0.5,±0.6,±1.1,±0.8,±1.0,±0.9,±1.0,±0.8,±1.1,(X),,(X),±0.5,±1.0,±1.2,±1.1,±1.0,±0.8,,(X),±1.1,±1.1,(X),(X),,(X),±1.1,±1.1,±1.1,±0.8,±0.6,±0.6,,(X),±0.9,±1.4,±1.2,±1.0,,(X),±1.4,±0.4,±1.5,±0.4,±0.1,±0.1,±0.1,±0.1,±0.2,,(X),±0.1,±0.2,±0.3,,(X),±0.5,±0.4,±0.3,,(X),±0.5,±0.2,±0.3,±0.4,±0.9,±1.3,±1.3,±1.1,(X),,(X),±1.2,±1.2,,(X),±0.2,±0.6,±1.0,±1.3,±1.5,±1.6,±1.8,(X),(X),±0.6,±1.0,±1.9,±2.4,±2.4,±2.9,(X),,(X),±1.7,±1.2,±1.1,±1.0,±1.5,(X),(X),±2.9,±2.3,±1.5,±1.6,±1.4,±0.7,±1.7,(X),,(X),±0.8,±0.9,±1.5,±2.3,±2.4,±1.9,±1.7,(X),(X),,(X),±1.7,±2.0,±1.6,±1.4,±1.3,±2.7,(X)
"Wake County, North Carolina!!Estimate",,"512,256","481,294","30,962",0.4,7.4,,"512,256","301,116","62,046","4,802","11,474","21,854","29,977","68,189","12,685",113,,"512,256","35,265","110,920","127,262","85,448","66,406","39,145","24,156","11,933","4,299","7,422",,"512,256","10,515","18,790","49,717","62,815","81,839","77,326","54,438","49,941","106,875",5.9,,"512,256","10,971","47,704","102,185","192,654","114,301","44,441",,"481,294","307,341","173,953",2.62,2.10,,"481,294","151,418","104,517","106,007","66,355","34,148","18,849",,"481,294","21,397","149,182","208,475","102,240",,"481,294","198,851","13,967","263,761",770,0,654,"1,186",671,"1,434",,"481,294",197,"2,245","1,343",,"481,294","472,468","5,872","2,954",,"307,341","6,941","2,757","3,928","7,665","31,951","110,895","122,827","20,377","482,100",,"307,341","225,926","81,415",,"225,926","1,127","14,633","40,226","53,705","45,800","28,557","41,878","2,036","81,415","2,666","9,658","26,856","20,669","9,731","11,835",614,,"225,347","130,804","26,111","20,832","13,064","34,536",579,"80,004","47,792","12,617","5,714","3,343","2,316","1,481","6,741","1,411",,"170,330","3,720","15,907","45,753","64,978","26,376","8,671","4,925","1,652","3,623",,"168,415","23,112","21,474","20,226","24,394","19,205","60,004","5,538"
