,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Label (Grouping),Total population,    AGE,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,    SELECTED AGE CATEGORIES,        5 to 14 years,        15 to 17 years,        Under 18 years,        18 to 24 years,        15 to 44 years,        16 years and over,        18 years and over,        21 years and over,        60 years and over,        62 years and over,        65 years and over,        75 years and over,    SUMMARY INDICATORS,        Median age (years),        Sex ratio (males per 100 females),        Age dependency ratio,        Old-age dependency ratio,        Child dependency ratio,    PERCENT ALLOCATED,        Sex,        Age
"Santa Clara County, California!!Total!!Estimate","1,877,592",,"93,972","101,352","107,146","123,987","119,250","141,737","158,005","142,645","127,244","120,849","124,862","115,851","112,244","90,302","70,216","53,150","39,118","35,662",,"208,498","71,908","374,378","171,329","812,868","1,553,552","1,503,214","1,430,194","400,692","351,354","288,448","127,930",,38.3,104.0,54.6,23.7,30.8,,(X),(X)
"Santa Clara County, California!!Total!!Margin of Error",*****,,±386,"±4,247","±4,239","±1,087","±1,230","±1,117",±662,"±5,091","±5,147",±231,±487,"±4,577","±4,600","±3,314","±3,255","±2,960","±2,561","±2,937",,±502,±423,*****,"±1,010",±494,"±2,415",*****,"±2,830","±4,578","±3,300",±463,±532,,±0.2,±0.2,±0.1,±0.1,±0.1,,(X),(X)
"Santa Clara County, California!!Percent!!Estimate",(X),,5.0%,5.4%,5.7%,6.6%,6.4%,7.5%,8.4%,7.6%,6.8%,6.4%,6.7%,6.2%,6.0%,4.8%,3.7%,2.8%,2.1%,1.9%,,11.1%,3.8%,19.9%,9.1%,43.3%,82.7%,80.1%,76.2%,21.3%,18.7%,15.4%,6.8%,,(X),(X),(X),(X),(X),,0.0%,1.5%
"Santa Clara County, California!!Percent!!Margin of Error",(X),,±0.1,±0.2,±0.2,±0.1,±0.1,±0.1,±0.1,±0.3,±0.3,±0.1,±0.1,±0.2,±0.2,±0.2,±0.2,±0.2,±0.1,±0.2,,±0.1,±0.1,*****,±0.1,±0.1,±0.1,*****,±0.2,±0.2,±0.2,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Male!!Estimate","957,112",,"48,873","52,138","55,105","64,056","62,485","74,714","85,728","78,204","63,700","61,008","63,367","58,580","57,674","43,913","33,080","23,462","16,594","14,431",,"107,243","37,278","193,394","89,263","428,887","788,744","763,718","727,149","189,154","162,715","131,480","54,487",,37.2,(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Male!!Margin of Error","±1,092",,±948,"±3,025","±3,054",±983,±942,±444,±484,"±3,326","±3,254",±170,±334,"±3,068","±3,149","±2,082","±2,011","±1,724","±1,637","±1,593",,±540,±634,"±1,113",±442,±712,"±1,698",±201,"±2,001","±3,111","±2,297",±293,±475,,±0.3,(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Percent Male!!Estimate",(X),,5.1%,5.4%,5.8%,6.7%,6.5%,7.8%,9.0%,8.2%,6.7%,6.4%,6.6%,6.1%,6.0%,4.6%,3.5%,2.5%,1.7%,1.5%,,11.2%,3.9%,20.2%,9.3%,44.8%,82.4%,79.8%,76.0%,19.8%,17.0%,13.7%,5.7%,,(X),(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Percent Male!!Margin of Error",(X),,±0.1,±0.3,±0.3,±0.1,±0.1,±0.1,±0.1,±0.3,±0.3,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.3,±0.2,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Female!!Estimate","920,480",,"45,099","49,214","52,041","59,931","56,765","67,023","72,277","64,441","63,544","59,841","61,495","57,271","54,570","46,389","37,136","29,688","22,524","21,231",,"101,255","34,630","180,984","82,066","383,981","764,808","739,496","703,045","211,538","188,639","156,968","73,443",,39.5,(X),(X),(X),(X),,(X),(X)
