label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
Total housing units,"631,955","±1,523","631,955",(X),"376,023",±835,"376,023",(X),"372,737","±2,035","372,737",(X),"284,263","±2,313","284,263",(X),"943,876","±1,548","943,876",(X),"408,079","±1,185","408,079",(X),"109,955",±750,"109,955",(X),2010_housing_characteristics
Occupied housing units,"599,235","±3,770",94.8%,±0.5,"359,476","±2,836",95.6%,±0.7,"338,054","±3,843",90.7%,±0.9,"249,899","±3,777",87.9%,±1.1,"843,416","±4,626",89.4%,±0.5,"389,415","±3,502",95.4%,±0.8,"102,979","±2,217",93.7%,±1.9,2010_housing_characteristics
Vacant housing units,"32,720","±3,452",5.2%,±0.5,"16,547","±2,568",4.4%,±0.7,"34,683","±3,374",9.3%,±0.9,"34,364","±3,186",12.1%,±1.1,"100,460","±4,739",10.6%,±0.5,"18,664","±3,128",4.6%,±0.8,"6,976","±2,031",6.3%,±1.9,2010_housing_characteristics
Homeowner vacancy rate,1.8,±0.4,(X),(X),1.1,±0.5,(X),(X),2.4,±0.6,(X),(X),4.1,±1.0,(X),(X),2.3,±0.5,(X),(X),1.3,±0.4,(X),(X),1.5,±0.9,(X),(X),2010_housing_characteristics
Rental vacancy rate,4.1,±0.8,(X),(X),2.7,±0.9,(X),(X),9.9,±1.8,(X),(X),7.4,±1.6,(X),(X),11.1,±0.8,(X),(X),3.6,±1.1,(X),(X),2.1,±2.1,(X),(X),2010_housing_characteristics
Total housing units,"631,955","±1,523","631,955",(X),"376,023",±835,"376,023",(X),"372,737","±2,035","372,737",(X),"284,263","±2,313","284,263",(X),"943,876","±1,548","943,876",(X),"408,079","±1,185","408,079",(X),"109,955",±750,"109,955",(X),2010_housing_characteristics
"1-unit, detached","332,653","±5,421",52.6%,±0.9,"180,356","±3,537",48.0%,±0.9,"227,378","±4,202",61.0%,±1.1,"149,992","±4,039",52.8%,±1.3,"521,699","±7,257",55.3%,±0.8,"199,487","±3,773",48.9%,±1.0,"62,160","±2,491",56.5%,±2.3,2010_housing_characteristics
"1-unit, attached","68,576","±3,973",10.9%,±0.6,"68,918","±3,495",18.3%,±0.9,"35,010","±2,651",9.4%,±0.7,"23,537","±2,003",8.3%,±0.7,"38,986","±2,552",4.1%,±0.3,"92,106","±4,083",22.6%,±1.0,"28,881","±2,309",26.3%,±2.1,2010_housing_characteristics
2 units,"14,314","±2,244",2.3%,±0.4,"1,960",±676,0.5%,±0.2,"5,054","±1,066",1.4%,±0.3,"15,836","±1,975",5.6%,±0.7,"11,894","±2,030",1.3%,±0.2,"1,333",±457,0.3%,±0.1,480,±379,0.4%,±0.3,2010_housing_characteristics
3 or 4 units,"38,225","±2,992",6.0%,±0.5,"4,299",±823,1.1%,±0.2,"10,015","±2,068",2.7%,±0.6,"9,496","±1,333",3.3%,±0.5,"35,178","±3,115",3.7%,±0.3,"4,376","±1,071",1.1%,±0.3,"1,269",±756,1.2%,±0.7,2010_housing_characteristics
5 to 9 units,"35,293","±3,302",5.6%,±0.5,"18,940","±2,094",5.0%,±0.6,"23,983","±2,287",6.4%,±0.6,"14,697","±1,946",5.2%,±0.7,"90,682","±4,875",9.6%,±0.5,"20,921","±2,314",5.1%,±0.6,"3,475",±927,3.2%,±0.8,2010_housing_characteristics
10 to 19 units,"31,079","±2,998",4.9%,±0.5,"37,738","±3,116",10.0%,±0.8,"30,181","±3,201",8.1%,±0.9,"27,791","±2,906",9.8%,±1.0,"98,158","±5,323",10.4%,±0.6,"40,151","±3,596",9.8%,±0.9,"7,351","±1,453",6.7%,±1.3,2010_housing_characteristics
20 or more units,"92,993","±4,481",14.7%,±0.7,"63,538","±3,834",16.9%,±1.0,"28,469","±2,834",7.6%,±0.8,"38,924","±3,226",13.7%,±1.2,"131,124","±4,834",13.9%,±0.5,"47,626","±2,756",11.7%,±0.7,"5,597","±1,088",5.1%,±1.0,2010_housing_characteristics
Mobile home,"18,161","±1,830",2.9%,±0.3,274,±236,0.1%,±0.1,"12,647","±1,970",3.4%,±0.5,"3,990","±1,156",1.4%,±0.4,"15,952","±2,199",1.7%,±0.2,"1,960",±767,0.5%,±0.2,661,±553,0.6%,±0.5,2010_housing_characteristics
"Boat, RV, van, etc.",661,±468,0.1%,±0.1,0,±289,0.0%,±0.1,0,±289,0.0%,±0.1,0,±287,0.0%,±0.1,203,±252,0.0%,±0.1,119,±170,0.0%,±0.1,81,±129,0.1%,±0.1,2010_housing_characteristics
Total housing units,"631,955","±1,523","631,955",(X),"376,023",±835,"376,023",(X),"372,737","±2,035","372,737",(X),"284,263","±2,313","284,263",(X),"943,876","±1,548","943,876",(X),"408,079","±1,185","408,079",(X),"109,955",±750,"109,955",(X),2010_housing_characteristics
Built 2005 or later,"27,044","±2,454",4.3%,±0.4,"16,890","±1,836",4.5%,±0.5,"57,044","±3,315",15.3%,±0.9,"19,863","±2,205",7.0%,±0.8,"58,497","±4,091",6.2%,±0.4,"20,313","±2,048",5.0%,±0.5,"17,044","±1,908",15.5%,±1.7,2010_housing_characteristics
Built 2000 to 2004,"37,364","±3,194",5.9%,±0.5,"25,256","±1,955",6.7%,±0.5,"64,024","±3,613",17.2%,±1.0,"23,323","±2,166",8.2%,±0.8,"79,081","±4,265",8.4%,±0.5,"32,256","±3,124",7.9%,±0.8,"28,061","±2,278",25.5%,±2.1,2010_housing_characteristics
Built 1990 to 1999,"66,881","±3,701",10.6%,±0.6,"46,142","±3,020",12.3%,±0.8,"87,755","±4,034",23.5%,±1.1,"32,833","±2,886",11.6%,±1.0,"107,209","±4,570",11.4%,±0.5,"64,015","±3,977",15.7%,±1.0,"29,566","±2,323",26.9%,±2.1,2010_housing_characteristics
Built 1980 to 1989,"75,301","±3,970",11.9%,±0.6,"85,165","±4,462",22.6%,±1.2,"66,293","±3,464",17.8%,±0.9,"45,869","±3,132",16.1%,±1.1,"186,357","±5,748",19.7%,±0.6,"94,585","±4,151",23.2%,±1.0,"13,117","±1,717",11.9%,±1.6,2010_housing_characteristics
Built 1970 to 1979,"142,515","±4,745",22.6%,±0.7,"62,942","±3,192",16.7%,±0.8,"41,964","±3,218",11.3%,±0.9,"56,239","±3,618",19.8%,±1.3,"177,810","±5,173",18.8%,±0.5,"79,680","±4,351",19.5%,±1.1,"9,905","±1,527",9.0%,±1.4,2010_housing_characteristics
Built 1960 to 1969,"125,418","±4,634",19.8%,±0.7,"57,432","±2,913",15.3%,±0.8,"24,092","±2,320",6.5%,±0.6,"37,200","±3,161",13.1%,±1.1,"141,678","±5,105",15.0%,±0.5,"57,943","±3,469",14.2%,±0.9,"4,944","±1,064",4.5%,±1.0,2010_housing_characteristics
Built 1950 to 1959,"97,176","±4,446",15.4%,±0.7,"46,205","±2,806",12.3%,±0.7,"16,086","±2,040",4.3%,±0.5,"32,554","±2,605",11.5%,±0.9,"115,521","±3,943",12.2%,±0.4,"44,315","±2,556",10.9%,±0.6,"1,729",±636,1.6%,±0.6,2010_housing_characteristics
Built 1940 to 1949,"26,180","±2,652",4.1%,±0.4,"19,389","±1,809",5.2%,±0.5,"7,646","±1,352",2.1%,±0.4,"14,832","±1,654",5.2%,±0.6,"40,637","±2,793",4.3%,±0.3,"10,221","±1,689",2.5%,±0.4,"1,347",±614,1.2%,±0.6,2010_housing_characteristics
