label_grouping,loudoun_county_virginiacount,loudoun_county_virginiapercent,data_type
Total population,"420,959",100.0%,Decennial_Housing_2020
Under 5 years,"27,065",6.4%,Decennial_Housing_2020
5 to 9 years,"33,089",7.9%,Decennial_Housing_2020
10 to 14 years,"36,363",8.6%,Decennial_Housing_2020
15 to 19 years,"32,391",7.7%,Decennial_Housing_2020
20 to 24 years,"22,191",5.3%,Decennial_Housing_2020
25 to 29 years,"20,184",4.8%,Decennial_Housing_2020
30 to 34 years,"26,021",6.2%,Decennial_Housing_2020
35 to 39 years,"33,330",7.9%,Decennial_Housing_2020
40 to 44 years,"35,196",8.4%,Decennial_Housing_2020
45 to 49 years,"34,683",8.2%,Decennial_Housing_2020
50 to 54 years,"31,605",7.5%,Decennial_Housing_2020
55 to 59 years,"27,364",6.5%,Decennial_Housing_2020
60 to 64 years,"19,980",4.7%,Decennial_Housing_2020
65 to 69 years,"13,844",3.3%,Decennial_Housing_2020
70 to 74 years,"10,951",2.6%,Decennial_Housing_2020
75 to 79 years,"7,609",1.8%,Decennial_Housing_2020
80 to 84 years,"4,714",1.1%,Decennial_Housing_2020
85 years and over,"4,379",1.0%,Decennial_Housing_2020
16 years and over,"317,012",75.3%,Decennial_Housing_2020
18 years and over,"302,792",71.9%,Decennial_Housing_2020
21 years and over,"287,029",68.2%,Decennial_Housing_2020
62 years and over,"52,662",12.5%,Decennial_Housing_2020
65 years and over,"41,497",9.9%,Decennial_Housing_2020
Male population,"207,191",100.0%,Decennial_Housing_2020
Under 5 years,"13,803",6.7%,Decennial_Housing_2020
5 to 9 years,"16,960",8.2%,Decennial_Housing_2020
10 to 14 years,"18,541",8.9%,Decennial_Housing_2020
15 to 19 years,"16,599",8.0%,Decennial_Housing_2020
20 to 24 years,"11,377",5.5%,Decennial_Housing_2020
25 to 29 years,"9,976",4.8%,Decennial_Housing_2020
30 to 34 years,"12,144",5.9%,Decennial_Housing_2020
35 to 39 years,"15,706",7.6%,Decennial_Housing_2020
40 to 44 years,"16,850",8.1%,Decennial_Housing_2020
45 to 49 years,"17,465",8.4%,Decennial_Housing_2020
50 to 54 years,"15,717",7.6%,Decennial_Housing_2020
55 to 59 years,"13,896",6.7%,Decennial_Housing_2020
60 to 64 years,"9,781",4.7%,Decennial_Housing_2020
65 to 69 years,"6,492",3.1%,Decennial_Housing_2020
70 to 74 years,"4,985",2.4%,Decennial_Housing_2020
75 to 79 years,"3,291",1.6%,Decennial_Housing_2020
80 to 84 years,"1,995",1.0%,Decennial_Housing_2020
85 years and over,"1,613",0.8%,Decennial_Housing_2020
16 years and over,"154,081",74.4%,Decennial_Housing_2020
18 years and over,"146,920",70.9%,Decennial_Housing_2020
21 years and over,"138,657",66.9%,Decennial_Housing_2020
62 years and over,"23,830",11.5%,Decennial_Housing_2020
65 years and over,"18,376",8.9%,Decennial_Housing_2020
Female population,"213,768",100.0%,Decennial_Housing_2020
Under 5 years,"13,262",6.2%,Decennial_Housing_2020
5 to 9 years,"16,129",7.5%,Decennial_Housing_2020
10 to 14 years,"17,822",8.3%,Decennial_Housing_2020
15 to 19 years,"15,792",7.4%,Decennial_Housing_2020
20 to 24 years,"10,814",5.1%,Decennial_Housing_2020
25 to 29 years,"10,208",4.8%,Decennial_Housing_2020
30 to 34 years,"13,877",6.5%,Decennial_Housing_2020
35 to 39 years,"17,624",8.2%,Decennial_Housing_2020
40 to 44 years,"18,346",8.6%,Decennial_Housing_2020
45 to 49 years,"17,218",8.1%,Decennial_Housing_2020
50 to 54 years,"15,888",7.4%,Decennial_Housing_2020
55 to 59 years,"13,468",6.3%,Decennial_Housing_2020
60 to 64 years,"10,199",4.8%,Decennial_Housing_2020
65 to 69 years,"7,352",3.4%,Decennial_Housing_2020
70 to 74 years,"5,966",2.8%,Decennial_Housing_2020
75 to 79 years,"4,318",2.0%,Decennial_Housing_2020
80 to 84 years,"2,719",1.3%,Decennial_Housing_2020
85 years and over,"2,766",1.3%,Decennial_Housing_2020
16 years and over,"162,931",76.2%,Decennial_Housing_2020
