label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
Total housing units,"703,922",±254,"703,922",(X),"406,718",±158,"406,718",(X),"512,256",±323,"512,256",(X),"372,293",±401,"372,293",(X),"1,079,042","±1,242","1,079,042",(X),"431,006",±633,"431,006",(X),"149,238",±74,"149,238",(X),2023_housing_characteristics
Occupied housing units,"665,549","±3,723",94.5%,±0.5,"392,629","±2,507",96.5%,±0.6,"481,294","±4,227",94.0%,±0.8,"341,597","±3,999",91.8%,±1.1,"993,312","±5,968",92.1%,±0.5,"414,946","±2,811",96.3%,±0.6,"145,601","±1,354",97.6%,±0.9,2023_housing_characteristics
Vacant housing units,"38,373","±3,675",5.5%,±0.5,"14,089","±2,548",3.5%,±0.6,"30,962","±4,267",6.0%,±0.8,"30,696","±3,973",8.2%,±1.1,"85,730","±5,885",7.9%,±0.5,"16,060","±2,779",3.7%,±0.6,"3,637","±1,367",2.4%,±0.9,2023_housing_characteristics
Homeowner vacancy rate,0.5,±0.2,(X),(X),0.3,±0.2,(X),(X),0.4,±0.2,(X),(X),1.8,±0.8,(X),(X),0.8,±0.2,(X),(X),0.4,±0.2,(X),(X),0.0,±0.2,(X),(X),2023_housing_characteristics
Rental vacancy rate,4.8,±0.8,(X),(X),2.9,±1.1,(X),(X),7.4,±1.6,(X),(X),6.5,±1.3,(X),(X),9.7,±0.8,(X),(X),4.2,±1.1,(X),(X),4.0,±2.5,(X),(X),2023_housing_characteristics
Total housing units,"703,922",±254,"703,922",(X),"406,718",±158,"406,718",(X),"512,256",±323,"512,256",(X),"372,293",±401,"372,293",(X),"1,079,042","±1,242","1,079,042",(X),"431,006",±633,"431,006",(X),"149,238",±74,"149,238",(X),2023_housing_characteristics
"1-unit, detached","354,857","±5,247",50.4%,±0.7,"191,194","±4,240",47.0%,±1.0,"301,116","±5,841",58.8%,±1.1,"180,319","±6,801",48.4%,±1.8,"551,541","±7,076",51.1%,±0.7,"194,451","±4,619",45.1%,±1.1,"74,767","±3,006",50.1%,±2.0,2023_housing_characteristics
"1-unit, attached","75,341","±3,934",10.7%,±0.6,"71,518","±3,932",17.6%,±1.0,"62,046","±4,344",12.1%,±0.8,"36,614","±3,907",9.8%,±1.0,"41,008","±3,596",3.8%,±0.3,"96,542","±4,090",22.4%,±1.0,"47,315","±3,327",31.7%,±2.2,2023_housing_characteristics
2 units,"9,437","±1,912",1.3%,±0.3,"3,456","±1,146",0.8%,±0.3,"4,802","±1,389",0.9%,±0.3,"15,177","±2,887",4.1%,±0.8,"13,287","±2,310",1.2%,±0.2,"3,135",±913,0.7%,±0.2,"1,343",±607,0.9%,±0.4,2023_housing_characteristics
3 or 4 units,"37,027","±3,602",5.3%,±0.5,"5,308","±1,243",1.3%,±0.3,"11,474","±2,405",2.2%,±0.5,"10,758","±2,746",2.9%,±0.7,"49,000","±4,915",4.5%,±0.5,"5,613","±1,425",1.3%,±0.3,"1,126",±631,0.8%,±0.4,2023_housing_characteristics
5 to 9 units,"35,605","±3,331",5.1%,±0.5,"20,104","±3,046",4.9%,±0.7,"21,854","±3,479",4.3%,±0.7,"19,625","±2,848",5.3%,±0.8,"76,641","±5,719",7.1%,±0.5,"21,110","±2,522",4.9%,±0.6,"4,565","±1,223",3.1%,±0.8,2023_housing_characteristics
10 to 19 units,"34,759","±3,464",4.9%,±0.5,"29,373","±3,055",7.2%,±0.8,"29,977","±3,521",5.9%,±0.7,"29,915","±4,863",8.0%,±1.3,"85,513","±6,375",7.9%,±0.6,"39,896","±3,882",9.3%,±0.9,"8,758","±1,728",5.9%,±1.2,2023_housing_characteristics
20 or more units,"137,967","±4,846",19.6%,±0.7,"84,650","±3,984",20.8%,±1.0,"68,189","±5,146",13.3%,±1.0,"73,688","±4,864",19.8%,±1.3,"244,401","±9,121",22.6%,±0.8,"67,811","±3,779",15.7%,±0.9,"10,439","±1,586",7.0%,±1.1,2023_housing_characteristics
Mobile home,"17,619","±1,793",2.5%,±0.3,"1,115",±701,0.3%,±0.2,"12,685","±2,595",2.5%,±0.5,"5,555","±1,798",1.5%,±0.5,"17,259","±3,147",1.6%,±0.3,"2,191","±1,236",0.5%,±0.3,925,±859,0.6%,±0.6,2023_housing_characteristics
"Boat, RV, van, etc.","1,310",±899,0.2%,±0.1,0,±225,0.0%,±0.1,113,±139,0.0%,±0.1,642,±487,0.2%,±0.1,392,±419,0.0%,±0.1,257,±296,0.1%,±0.1,0,±216,0.0%,±0.1,2023_housing_characteristics
Total housing units,"703,922",±254,"703,922",(X),"406,718",±158,"406,718",(X),"512,256",±323,"512,256",(X),"372,293",±401,"372,293",(X),"1,079,042","±1,242","1,079,042",(X),"431,006",±633,"431,006",(X),"149,238",±74,"149,238",(X),2023_housing_characteristics
Built 2020 or later,"13,847","±1,934",2.0%,±0.3,"8,365","±1,713",2.1%,±0.4,"35,265","±3,266",6.9%,±0.6,"30,537","±3,634",8.2%,±1.0,"33,438","±3,508",3.1%,±0.3,"7,714","±1,528",1.8%,±0.4,"6,463","±1,399",4.3%,±0.9,2023_housing_characteristics
Built 2010 to 2019,"69,081","±4,813",9.8%,±0.7,"37,972","±3,270",9.3%,±0.8,"110,920","±5,669",21.7%,±1.1,"59,459","±4,569",16.0%,±1.2,"146,030","±6,709",13.5%,±0.6,"34,140","±3,002",7.9%,±0.7,"34,786","±2,840",23.3%,±1.9,2023_housing_characteristics
Built 2000 to 2009,"64,816","±3,996",9.2%,±0.6,"42,498","±4,054",10.4%,±1.0,"127,262","±5,923",24.8%,±1.2,"49,150","±4,420",13.2%,±1.2,"137,671","±6,864",12.8%,±0.6,"46,469","±3,010",10.8%,±0.7,"47,595","±2,390",31.9%,±1.6,2023_housing_characteristics
Built 1990 to 1999,"63,415","±4,154",9.0%,±0.6,"40,693","±3,122",10.0%,±0.8,"85,448","±5,092",16.7%,±1.0,"34,292","±3,805",9.2%,±1.0,"107,939","±5,118",10.0%,±0.5,"58,076","±3,630",13.5%,±0.8,"28,431","±2,284",19.1%,±1.5,2023_housing_characteristics
Built 1980 to 1989,"79,551","±4,005",11.3%,±0.6,"81,004","±4,087",19.9%,±1.0,"66,406","±4,501",13.0%,±0.9,"51,396","±4,821",13.8%,±1.3,"178,173","±9,262",16.5%,±0.9,"97,311","±4,051",22.6%,±0.9,"13,255","±1,801",8.9%,±1.2,2023_housing_characteristics
Built 1970 to 1979,"139,826","±4,862",19.9%,±0.7,"55,824","±3,839",13.7%,±0.9,"39,145","±3,406",7.6%,±0.7,"44,903","±4,114",12.1%,±1.1,"164,877","±7,554",15.3%,±0.7,"82,858","±4,232",19.2%,±1.0,"10,476","±1,767",7.0%,±1.2,2023_housing_characteristics
Built 1960 to 1969,"125,699","±5,624",17.9%,±0.8,"56,261","±3,907",13.8%,±1.0,"24,156","±3,025",4.7%,±0.6,"33,953","±3,852",9.1%,±1.0,"130,256","±6,176",12.1%,±0.6,"55,521","±3,282",12.9%,±0.8,"2,484",±776,1.7%,±0.5,2023_housing_characteristics
Built 1950 to 1959,"92,344","±4,646",13.1%,±0.7,"45,347","±3,069",11.1%,±0.8,"11,933","±2,026",2.3%,±0.4,"32,795","±3,722",8.8%,±1.0,"112,847","±5,055",10.5%,±0.5,"34,027","±2,899",7.9%,±0.7,"1,971",±899,1.3%,±0.6,2023_housing_characteristics
Built 1940 to 1949,"21,940","±2,370",3.1%,±0.3,"21,531","±2,246",5.3%,±0.6,"4,299","±1,158",0.8%,±0.2,"12,974","±2,097",3.5%,±0.6,"30,731","±3,089",2.8%,±0.3,"7,154","±1,463",1.7%,±0.3,697,±262,0.5%,±0.2,2023_housing_characteristics
Built 1939 or earlier,"33,403","±3,117",4.7%,±0.4,"17,223","±2,024",4.2%,±0.5,"7,422","±1,223",1.4%,±0.2,"22,834","±2,757",6.1%,±0.7,"37,080","±3,344",3.4%,±0.3,"7,736","±1,671",1.8%,±0.4,"3,080",±975,2.1%,±0.7,2023_housing_characteristics
Total housing units,"703,922",±254,"703,922",(X),"406,718",±158,"406,718",(X),"512,256",±323,"512,256",(X),"372,293",±401,"372,293",(X),"1,079,042","±1,242","1,079,042",(X),"431,006",±633,"431,006",(X),"149,238",±74,"149,238",(X),2023_housing_characteristics
1 room,"39,733","±3,872",5.6%,±0.5,"12,285","±2,163",3.0%,±0.5,"10,515","±2,216",2.1%,±0.4,"14,073","±2,565",3.8%,±0.7,"43,077","±4,395",4.0%,±0.4,"8,795","±1,924",2.0%,±0.4,"2,063",±898,1.4%,±0.6,2023_housing_characteristics
2 rooms,"45,838","±3,838",6.5%,±0.5,"18,709","±2,557",4.6%,±0.6,"18,790","±2,711",3.7%,±0.5,"25,112","±4,035",6.7%,±1.1,"80,161","±6,402",7.4%,±0.6,"15,634","±1,877",3.6%,±0.4,"1,983",±815,1.3%,±0.5,2023_housing_characteristics
3 rooms,"91,950","±5,037",13.1%,±0.7,"42,580","±4,355",10.5%,±1.1,"49,717","±4,322",9.7%,±0.8,"46,703","±4,488",12.5%,±1.2,"156,552","±8,372",14.5%,±0.8,"43,363","±3,661",10.1%,±0.9,"8,791","±1,633",5.9%,±1.1,2023_housing_characteristics
4 rooms,"128,236","±5,300",18.2%,±0.8,"51,812","±3,348",12.7%,±0.8,"62,815","±4,731",12.3%,±0.9,"72,607","±5,348",19.5%,±1.4,"187,118","±8,683",17.3%,±0.8,"62,033","±4,574",14.4%,±1.1,"13,337","±1,851",8.9%,±1.2,2023_housing_characteristics
5 rooms,"106,587","±4,786",15.1%,±0.7,"45,696","±4,162",11.2%,±1.0,"81,839","±5,151",16.0%,±1.0,"59,323","±4,766",15.9%,±1.3,"180,699","±6,987",16.7%,±0.6,"41,070","±2,839",9.5%,±0.7,"14,263","±2,351",9.6%,±1.6,2023_housing_characteristics
6 rooms,"110,070","±4,849",15.6%,±0.7,"46,833","±3,815",11.5%,±0.9,"77,326","±5,194",15.1%,±1.0,"59,548","±4,968",16.0%,±1.3,"169,903","±8,050",15.7%,±0.7,"51,562","±3,685",12.0%,±0.9,"19,760","±2,280",13.2%,±1.5,2023_housing_characteristics
7 rooms,"73,249","±4,358",10.4%,±0.6,"41,635","±4,110",10.2%,±1.0,"54,438","±4,320",10.6%,±0.8,"32,473","±3,138",8.7%,±0.8,"97,268","±5,819",9.0%,±0.5,"43,227","±3,503",10.0%,±0.8,"17,902","±2,246",12.0%,±1.5,2023_housing_characteristics
8 rooms,"60,038","±3,892",8.5%,±0.6,"46,893","±3,301",11.5%,±0.8,"49,941","±4,028",9.7%,±0.8,"28,037","±3,280",7.5%,±0.9,"69,991","±4,082",6.5%,±0.4,"45,873","±3,380",10.6%,±0.8,"18,304","±2,444",12.3%,±1.6,2023_housing_characteristics
9 rooms or more,"48,221","±3,306",6.9%,±0.5,"100,275","±4,451",24.7%,±1.1,"106,875","±4,192",20.9%,±0.8,"34,417","±3,493",9.2%,±0.9,"94,273","±5,524",8.7%,±0.5,"119,449","±4,386",27.7%,±1.0,"52,835","±2,651",35.4%,±1.8,2023_housing_characteristics
Median rooms,4.9,±0.1,(X),(X),6.2,±0.1,(X),(X),5.9,±0.1,(X),(X),5.0,±0.2,(X),(X),4.9,±0.1,(X),(X),6.4,±0.2,(X),(X),7.3,±0.2,(X),(X),2023_housing_characteristics
Total housing units,"703,922",±254,"703,922",(X),"406,718",±158,"406,718",(X),"512,256",±323,"512,256",(X),"372,293",±401,"372,293",(X),"1,079,042","±1,242","1,079,042",(X),"431,006",±633,"431,006",(X),"149,238",±74,"149,238",(X),2023_housing_characteristics
No bedroom,"42,629","±4,183",6.1%,±0.6,"13,501","±2,199",3.3%,±0.5,"10,971","±2,256",2.1%,±0.4,"15,328","±2,693",4.1%,±0.7,"48,210","±4,407",4.5%,±0.4,"9,724","±2,049",2.3%,±0.5,"2,157",±898,1.4%,±0.6,2023_housing_characteristics
1 bedroom,"97,699","±5,126",13.9%,±0.7,"53,093","±4,037",13.1%,±1.0,"47,704","±4,152",9.3%,±0.8,"61,722","±5,213",16.6%,±1.4,"225,781","±8,501",20.9%,±0.8,"48,175","±4,190",11.2%,±1.0,"8,393","±1,784",5.6%,±1.2,2023_housing_characteristics
2 bedrooms,"172,805","±6,073",24.5%,±0.9,"82,558","±4,718",20.3%,±1.2,"102,185","±5,747",19.9%,±1.1,"104,189","±6,885",28.0%,±1.8,"263,140","±8,951",24.4%,±0.8,"88,520","±5,415",20.5%,±1.3,"20,264","±2,381",13.6%,±1.6,2023_housing_characteristics
3 bedrooms,"204,696","±5,513",29.1%,±0.8,"106,660","±4,437",26.2%,±1.1,"192,654","±6,386",37.6%,±1.3,"128,765","±6,260",34.6%,±1.7,"342,787","±10,788",31.8%,±1.0,"113,610","±4,890",26.4%,±1.1,"42,317","±3,011",28.4%,±2.0,2023_housing_characteristics
4 bedrooms,"147,029","±4,671",20.9%,±0.7,"97,252","±3,982",23.9%,±1.0,"114,301","±5,301",22.3%,±1.0,"51,726","±4,327",13.9%,±1.2,"166,548","±6,956",15.4%,±0.6,"109,709","±4,944",25.5%,±1.1,"48,014","±3,143",32.2%,±2.1,2023_housing_characteristics
5 or more bedrooms,"39,064","±2,971",5.5%,±0.4,"53,654","±3,199",13.2%,±0.8,"44,441","±3,845",8.7%,±0.8,"10,563","±2,377",2.8%,±0.6,"32,576","±2,799",3.0%,±0.3,"61,268","±3,183",14.2%,±0.7,"28,093","±2,451",18.8%,±1.6,2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
Owner-occupied,"360,190","±5,723",54.1%,±0.9,"252,963","±4,412",64.4%,±1.1,"307,341","±5,811",63.9%,±1.2,"180,349","±6,145",52.8%,±1.8,"499,830","±7,833",50.3%,±0.8,"280,307","±4,684",67.6%,±1.1,"113,560","±2,790",78.0%,±1.9,2023_housing_characteristics
Renter-occupied,"305,359","±6,356",45.9%,±0.9,"139,666","±4,810",35.6%,±1.1,"173,953","±6,487",36.1%,±1.2,"161,248","±6,693",47.2%,±1.8,"493,482","±8,866",49.7%,±0.8,"134,639","±4,786",32.4%,±1.1,"32,041","±2,780",22.0%,±1.9,2023_housing_characteristics
Average household size of owner-occupied unit,2.88,±0.03,(X),(X),2.83,±0.04,(X),(X),2.62,±0.03,(X),(X),2.11,±0.04,(X),(X),2.87,±0.04,(X),(X),2.81,±0.04,(X),(X),3.15,±0.05,(X),(X),2023_housing_characteristics
Average household size of renter-occupied unit,2.62,±0.04,(X),(X),2.39,±0.07,(X),(X),2.10,±0.06,(X),(X),1.93,±0.05,(X),(X),2.31,±0.04,(X),(X),2.55,±0.07,(X),(X),2.42,±0.14,(X),(X),2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
Moved in 2021 or later,"200,386","±6,778",30.1%,±1.0,"106,426","±4,639",27.1%,±1.1,"151,418","±6,353",31.5%,±1.2,"133,403","±6,777",39.1%,±1.8,"354,255","±10,255",35.7%,±1.0,"115,112","±4,891",27.7%,±1.2,"34,555","±2,413",23.7%,±1.7,2023_housing_characteristics
Moved in 2018 to 2020,"102,458","±5,782",15.4%,±0.9,"70,377","±4,509",17.9%,±1.1,"104,517","±6,579",21.7%,±1.4,"68,384","±5,619",20.0%,±1.6,"184,226","±8,221",18.5%,±0.8,"74,830","±4,082",18.0%,±1.0,"36,868","±3,225",25.3%,±2.2,2023_housing_characteristics
Moved in 2010 to 2017,"140,402","±6,179",21.1%,±0.9,"84,723","±4,200",21.6%,±1.1,"106,007","±6,296",22.0%,±1.3,"60,647","±5,222",17.8%,±1.5,"183,558","±8,496",18.5%,±0.8,"84,967","±4,213",20.5%,±1.0,"37,278","±2,911",25.6%,±2.0,2023_housing_characteristics
Moved in 2000 to 2009,"101,268","±4,448",15.2%,±0.7,"61,904","±3,206",15.8%,±0.8,"66,355","±3,944",13.8%,±0.8,"40,028","±3,348",11.7%,±1.0,"135,065","±6,466",13.6%,±0.7,"65,663","±4,066",15.8%,±1.0,"24,643","±2,215",16.9%,±1.5,2023_housing_characteristics
Moved in 1990 to 1999,"59,302","±3,253",8.9%,±0.5,"35,802","±2,461",9.1%,±0.6,"34,148","±2,780",7.1%,±0.6,"21,095","±2,209",6.2%,±0.7,"71,029","±4,623",7.2%,±0.5,"39,599","±2,673",9.5%,±0.6,"9,152","±1,320",6.3%,±0.9,2023_housing_characteristics
Moved in 1989 and earlier,"61,733","±3,096",9.3%,±0.5,"33,397","±2,178",8.5%,±0.6,"18,849","±2,066",3.9%,±0.4,"18,040","±1,642",5.3%,±0.5,"65,179","±3,961",6.6%,±0.4,"34,775","±2,383",8.4%,±0.6,"3,105",±731,2.1%,±0.5,2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
No vehicles available,"39,177","±3,870",5.9%,±0.6,"34,860","±3,724",8.9%,±0.9,"21,397","±2,997",4.4%,±0.6,"21,833","±3,910",6.4%,±1.1,"65,606","±4,753",6.6%,±0.5,"18,340","±2,574",4.4%,±0.6,"4,160","±1,050",2.9%,±0.7,2023_housing_characteristics
1 vehicle available,"217,368","±6,604",32.7%,±1.0,"138,942","±5,373",35.4%,±1.4,"149,182","±5,822",31.0%,±1.2,"138,299","±6,054",40.5%,±1.7,"382,710","±8,674",38.5%,±0.8,"136,189","±5,155",32.8%,±1.2,"36,397","±2,969",25.0%,±2.0,2023_housing_characteristics
2 vehicles available,"250,244","±6,612",37.6%,±1.0,"149,718","±4,900",38.1%,±1.2,"208,475","±5,319",43.3%,±1.1,"127,495","±5,665",37.3%,±1.6,"347,605","±8,374",35.0%,±0.8,"175,286","±5,334",42.2%,±1.3,"66,646","±3,576",45.8%,±2.4,2023_housing_characteristics
3 or more vehicles available,"158,760","±5,786",23.9%,±0.9,"69,109","±3,734",17.6%,±1.0,"102,240","±5,303",21.2%,±1.1,"53,970","±4,671",15.8%,±1.4,"197,391","±7,381",19.9%,±0.7,"85,131","±3,905",20.5%,±0.9,"38,398","±2,891",26.4%,±2.0,2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
Utility gas,"385,101","±6,507",57.9%,±0.9,"206,169","±5,585",52.5%,±1.4,"198,851","±6,012",41.3%,±1.2,"101,575","±5,915",29.7%,±1.7,"353,376","±8,135",35.6%,±0.8,"222,818","±5,512",53.7%,±1.2,"85,387","±2,981",58.6%,±2.0,2023_housing_characteristics
"Bottled, tank, or LP gas","14,966","±2,011",2.2%,±0.3,"7,526","±1,700",1.9%,±0.4,"13,967","±2,174",2.9%,±0.5,"4,894","±1,794",1.4%,±0.5,"13,109","±2,211",1.3%,±0.2,"7,927","±1,699",1.9%,±0.4,"11,726","±1,713",8.1%,±1.2,2023_housing_characteristics
