area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,data_type
US000,0,10,10,0,2024,1,12169000,152233995,152945256,153585576,3035291672970,1149792146053,19508713534,1527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,402702,3.4,1999855,1.3,1899768,1.3,2015839,1.3,160013893328,5.6,34409436801,3.1,767077942,4.1,62,4.2,Information Technology
US000,1,10,11,0,2024,1,61738,2964384,2977780,2985529,75837514647,0,0,1960,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1032,1.7,96912,3.4,96109,3.3,99425,3.4,5849729827,8.4,0,0.0,0,0.0,90,4.8,Information Technology
US000,1,101,12,0,2024,1,157,52312,52626,52955,1363764007,0,0,1993,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12,8.3,1368,2.7,1498,2.9,1638,3.2,103967681,8.3,0,0.0,0,0.0,98,5.2,Information Technology
US000,1,1011,13,0,2024,1,75,3272,3341,3578,65753269,0,0,1489,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.4,320,10.8,327,10.8,372,11.6,8942680,15.7,0,0.0,0,0.0,60,4.2,Information Technology
US000,1,1012,13,0,2024,1,2,3,4,5,141010,0,0,2712,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,100.0,-2,-40.0,-1,-20.0,0,0.0,-30710,-17.9,0,0.0,0,0.0,70,2.6,Information Technology
US000,1,1013,13,0,2024,1,80,49037,49281,49372,1297869728,0,0,2028,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10,14.3,1050,2.2,1172,2.4,1266,2.6,95055711,7.9,0,0.0,0,0.0,103,5.4,Information Technology
US000,1,102,12,0,2024,1,61581,2912072,2925154,2932574,74473750640,0,0,1960,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1020,1.7,95544,3.4,94611,3.3,97787,3.4,5745762146,8.4,0,0.0,0,0.0,90,4.8,Information Technology
US000,1,1021,13,0,2024,1,30867,670549,673195,674465,12917733222,0,0,1477,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,516,1.7,6379,1.0,4277,0.6,4582,0.7,207966864,1.6,0,0.0,0,0.0,13,0.9,Information Technology
US000,1,1022,13,0,2024,1,145,6658,6646,6613,149366689,0,0,1731,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1,-0.7,207,3.2,208,3.2,142,2.2,11064545,8.0,0,0.0,0,0.0,82,5.0,Information Technology
US000,1,1023,13,0,2024,1,826,12775,12733,12774,482033176,0,0,2906,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11,1.3,178,1.4,231,1.8,286,2.3,34336107,7.7,0,0.0,0,0.0,157,5.7,Information Technology
US000,1,1024,13,0,2024,1,1525,71681,71898,72067,1810819899,0,0,1938,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,89,6.2,2415,3.5,2418,3.5,2628,3.8,139913345,8.4,0,0.0,0,0.0,86,4.6,Information Technology
US000,1,1025,13,0,2024,1,1467,457881,459616,460011,12890938478,0,0,2160,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,48,3.4,25649,5.9,25610,5.9,24825,5.7,1593174595,14.1,0,0.0,0,0.0,157,7.8,Information Technology
US000,1,1026,13,0,2024,1,1439,44915,45581,45948,680602625,0,0,1151,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7,0.5,1708,4.0,1470,3.3,1470,3.3,45762618,7.2,0,0.0,0,0.0,39,3.5,Information Technology
US000,1,1027,13,0,2024,1,167,4975,4976,4959,85524558,0,0,1324,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,1.8,149,3.1,92,1.9,90,1.8,6902441,8.8,0,0.0,0,0.0,80,6.4,Information Technology
US000,1,1028,13,0,2024,1,25140,1642633,1650503,1655731,45456581155,0,0,2120,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,348,1.4,58855,3.7,60300,3.8,63759,4.0,3706515388,8.9,0,0.0,0,0.0,98,4.8,Information Technology
US000,1,1029,13,0,2024,1,5,5,6,6,150838,0,0,2048,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1,-16.7,4,400.0,5,500.0,5,500.0,126243,513.3,0,0.0,0,0.0,156,8.2,Information Technology
US000,1,11,14,0,2024,1,75,3272,3341,3578,65753269,0,0,1489,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.4,320,10.8,327,10.8,372,11.6,8942680,15.7,0,0.0,0,0.0,60,4.2,Information Technology
US000,1,111,15,0,2024,1,2,4,3,3,129326,0,0,2984,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9,Information Technology
US000,1,1111,16,0,2024,1,2,4,3,3,129326,0,0,2984,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9,Information Technology
US000,1,11111,17,0,2024,1,2,4,3,3,129326,0,0,2984,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9,Information Technology
US000,1,111110,18,0,2024,1,2,4,3,3,129326,0,0,2984,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9,Information Technology
US000,1,112,15,0,2024,1,2,17,17,18,335514,0,0,1489,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4,Information Technology
US000,1,1125,16,0,2024,1,2,17,17,18,335514,0,0,1489,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4,Information Technology
