label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
    Occupied housing units,599235,3770,0.948,0.5,359476,2836,0.956,0.7,338054,3843,0.907,0.9,249899,3777,0.879,1.1,843416,4626,0.894,0.5,389415,3502,0.9540000000000001,0.8,102979,2217,0.937,1.9
    Vacant housing units,32720,3452,0.052000000000000005,0.5,16547,2568,0.044000000000000004,0.7,34683,3374,0.09300000000000001,0.9,34364,3186,0.121,1.1,100460,4739,0.106,0.5,18664,3128,0.046,0.8,6976,2031,0.063,1.9
    Homeowner vacancy rate,1.8,0.4,0.1215,N/A,1.1,0.5,0.12300000000000001,N/A,2.4,0.6,0.1455,N/A,4.1,1.0,0.133,N/A,2.3,0.5,0.1335,N/A,1.3,0.4,0.1255,N/A,1.5,0.9,0.122,N/A
    Rental vacancy rate,4.1,0.8,0.1215,N/A,2.7,0.9,0.12300000000000001,N/A,9.9,1.8,0.1455,N/A,7.4,1.6,0.133,N/A,11.1,0.8,0.1335,N/A,3.6,1.1,0.1255,N/A,2.1,2.1,0.122,N/A
UNITS IN STRUCTURE,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
    1-unit detached,332653,5421,0.526,0.9,180356,3537,0.48,0.9,227378,4202,0.61,1.1,149992,4039,0.528,1.3,521699,7257,0.5529999999999999,0.8,199487,3773,0.489,1.0,62160,2491,0.565,2.3
    1-unit attached,68576,3973,0.109,0.6,68918,3495,0.183,0.9,35010,2651,0.094,0.7,23537,2003,0.083,0.7,38986,2552,0.040999999999999995,0.3,92106,4083,0.226,1.0,28881,2309,0.263,2.1
    2 units,14314,2244,0.023,0.4,1960,676,0.005,0.2,5054,1066,0.013999999999999999,0.3,15836,1975,0.055999999999999994,0.7,11894,2030,0.013000000000000001,0.2,1333,457,0.003,0.1,480,379,0.004,0.3
    3 or 4 units,38225,2992,0.06,0.5,4299,823,0.011000000000000001,0.2,10015,2068,0.027000000000000003,0.6,9496,1333,0.033,0.5,35178,3115,0.037000000000000005,0.3,4376,1071,0.011000000000000001,0.3,1269,756,0.012,0.7
    5 to 9 units,35293,3302,0.055999999999999994,0.5,18940,2094,0.05,0.6,23983,2287,0.064,0.6,14697,1946,0.052000000000000005,0.7,90682,4875,0.096,0.5,20921,2314,0.051,0.6,3475,927,0.032,0.8
    10 to 19 units,31079,2998,0.049,0.5,37738,3116,0.1,0.8,30181,3201,0.081,0.9,27791,2906,0.098,1.0,98158,5323,0.10400000000000001,0.6,40151,3596,0.098,0.9,7351,1453,0.067,1.3
    20 or more units,92993,4481,0.147,0.7,63538,3834,0.16899999999999998,1.0,28469,2834,0.076,0.8,38924,3226,0.13699999999999998,1.2,131124,4834,0.139,0.5,47626,2756,0.11699999999999999,0.7,5597,1088,0.051,1.0
    Mobile home,18161,1830,0.028999999999999998,0.3,274,236,0.001,0.1,12647,1970,0.034,0.5,3990,1156,0.013999999999999999,0.4,15952,2199,0.017,0.2,1960,767,0.005,0.2,661,553,0.006,0.5
    Boat RV van etc.,661,468,0.001,0.1,0,289,0.0,0.1,0,289,0.0,0.1,0,287,0.0,0.1,203,252,0.0,0.1,119,170,0.0,0.1,81,129,0.001,0.1
YEAR STRUCTURE BUILT,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
    Built 2005 or later,27044,2454,0.043,0.4,16890,1836,0.045,0.5,57044,3315,0.153,0.9,19863,2205,0.07,0.8,58497,4091,0.062,0.4,20313,2048,0.05,0.5,17044,1908,0.155,1.7
    Built 2000 to 2004,37364,3194,0.059000000000000004,0.5,25256,1955,0.067,0.5,64024,3613,0.172,1.0,23323,2166,0.08199999999999999,0.8,79081,4265,0.084,0.5,32256,3124,0.079,0.8,28061,2278,0.255,2.1
    Built 1990 to 1999,66881,3701,0.106,0.6,46142,3020,0.12300000000000001,0.8,87755,4034,0.235,1.1,32833,2886,0.11599999999999999,1.0,107209,4570,0.114,0.5,64015,3977,0.157,1.0,29566,2323,0.26899999999999996,2.1
    Built 1980 to 1989,75301,3970,0.11900000000000001,0.6,85165,4462,0.226,1.2,66293,3464,0.17800000000000002,0.9,45869,3132,0.161,1.1,186357,5748,0.19699999999999998,0.6,94585,4151,0.23199999999999998,1.0,13117,1717,0.11900000000000001,1.6
    Built 1970 to 1979,142515,4745,0.226,0.7,62942,3192,0.16699999999999998,0.8,41964,3218,0.113,0.9,56239,3618,0.198,1.3,177810,5173,0.188,0.5,79680,4351,0.195,1.1,9905,1527,0.09,1.4
    Built 1960 to 1969,125418,4634,0.198,0.7,57432,2913,0.153,0.8,24092,2320,0.065,0.6,37200,3161,0.131,1.1,141678,5105,0.15,0.5,57943,3469,0.142,0.9,4944,1064,0.045,1.0
    Built 1950 to 1959,97176,4446,0.154,0.7,46205,2806,0.12300000000000001,0.7,16086,2040,0.043,0.5,32554,2605,0.115,0.9,115521,3943,0.122,0.4,44315,2556,0.109,0.6,1729,636,0.016,0.6
    Built 1940 to 1949,26180,2652,0.040999999999999995,0.4,19389,1809,0.052000000000000005,0.5,7646,1352,0.021,0.4,14832,1654,0.052000000000000005,0.6,40637,2793,0.043,0.3,10221,1689,0.025,0.4,1347,614,0.012,0.6
    Built 1939 or earlier,34076,2876,0.054000000000000006,0.5,16602,1566,0.044000000000000004,0.4,7833,1344,0.021,0.4,21550,2256,0.076,0.8,37086,2452,0.039,0.3,4751,1068,0.012,0.3,4242,940,0.039,0.9
ROOMS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Total housing units,631955,1523,6319.55,N/A,376023,835,3760.23,N/A,372737,2035,3727.37,N/A,284263,2313,2842.63,N/A,943876,1548,9438.76,N/A,408079,1185,4080.79,N/A,109955,750,1099.55,N/A
