label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
Total population,19180.44,*****,9656.15,649,9524.29,649,10401.16,*****,5013.79,351,5387.37,351,10241.98,*****,4988.19,367,5253.79,367,6788.89,*****,3264.15,566,3524.74,566,25533.85,*****,12574.31,275,12959.54,275,11422.34,*****,5657.09,549,5765.25,549,3756.29,*****,1864.9,127,1891.39,127
AGE,0.07200000000000001,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.0685,N/A,0.07,N/A,0.068,N/A,0.07350000000000001,N/A,0.07350000000000001,N/A,0.072,N/A,0.07200000000000001,N/A,0.0695,N/A,0.066,N/A,0.075,N/A,0.07400000000000001,N/A,0.072,N/A,0.07150000000000001,N/A,0.07050000000000001,N/A,0.069,N/A,0.0795,N/A,0.075,N/A,0.075,N/A
    Under 5 years,0.063,0.1,0.065,0.1,0.062,0.1,0.065,0.1,0.069,0.1,0.062,0.1,0.064,0.1,0.067,0.1,0.06,0.1,0.07,0.1,0.07,0.1,0.069,0.1,0.077,0.1,0.08,0.1,0.07400000000000001,0.1,0.067,0.1,0.069,0.1,0.065,0.1,0.075,0.1,0.078,0.1,0.07200000000000001,0.1
    5 to 9 years,0.064,0.2,0.067,0.3,0.06,0.3,0.065,0.3,0.07,0.5,0.061,0.4,0.071,0.3,0.073,0.5,0.069,0.5,0.063,0.4,0.067,0.5,0.06,0.5,0.078,0.2,0.08,0.3,0.076,0.3,0.069,0.3,0.07200000000000001,0.4,0.067,0.4,0.087,0.5,0.091,0.7,0.083,0.7
    10 to 14 years,0.065,0.2,0.063,0.3,0.066,0.3,0.064,0.3,0.067,0.5,0.062,0.4,0.071,0.3,0.075,0.5,0.068,0.5,0.051,0.4,0.053,0.5,0.049,0.5,0.071,0.2,0.07400000000000001,0.3,0.069,0.3,0.062,0.3,0.064,0.4,0.06,0.4,0.084,0.5,0.083,0.7,0.084,0.7
    15 to 19 years,0.06,0.1,0.06,0.1,0.059000000000000004,0.1,0.061,0.1,0.065,0.1,0.057,0.1,0.069,0.1,0.07200000000000001,0.1,0.067,0.1,0.057,0.1,0.061,0.2,0.053,0.2,0.067,0.1,0.069,0.1,0.064,0.1,0.063,0.1,0.066,0.1,0.061,0.1,0.068,0.2,0.07200000000000001,0.4,0.064,0.3
    20 to 24 years,0.063,0.1,0.066,0.1,0.06,0.1,0.057999999999999996,0.1,0.062,0.1,0.055,0.1,0.066,0.1,0.07,0.1,0.063,0.1,0.076,0.1,0.075,0.1,0.078,0.2,0.07200000000000001,0.1,0.07400000000000001,0.1,0.071,0.1,0.06,0.1,0.062,0.1,0.059000000000000004,0.1,0.049,0.3,0.049,0.4,0.049,0.3
    25 to 29 years,0.075,0.1,0.078,0.1,0.071,0.1,0.063,0.1,0.064,0.1,0.061,0.1,0.073,0.1,0.07400000000000001,0.1,0.073,0.1,0.10300000000000001,0.1,0.10099999999999999,0.1,0.10400000000000001,0.1,0.08199999999999999,0.1,0.083,0.1,0.081,0.1,0.065,0.1,0.068,0.1,0.063,0.1,0.051,0.2,0.049,0.2,0.053,0.3
    30 to 34 years,0.078,0.1,0.081,0.1,0.076,0.1,0.069,0.1,0.07,0.1,0.069,0.1,0.07400000000000001,0.1,0.073,0.1,0.07400000000000001,0.1,0.09,0.1,0.09300000000000001,0.1,0.087,0.2,0.078,0.1,0.079,0.1,0.078,0.1,0.073,0.1,0.07400000000000001,0.1,0.07200000000000001,0.1,0.07400000000000001,0.1,0.071,0.1,0.077,0.1
    35 to 39 years,0.07200000000000001,0.3,0.073,0.3,0.071,0.3,0.071,0.3,0.07,0.5,0.071,0.3,0.08,0.4,0.078,0.5,0.081,0.4,0.07400000000000001,0.4,0.075,0.6,0.073,0.5,0.073,0.2,0.073,0.3,0.073,0.3,0.076,0.3,0.076,0.5,0.076,0.4,0.083,0.5,0.075,0.7,0.091,0.7
