label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
Total population,1924379,*****,0.0655,N/A,974741,256,0.0685,N/A,949638,256,0.07,N/A,1047661,*****,0.067,N/A,506468,175,0.0685,N/A,541193,175,0.0685,N/A,1091662,48,0.0695,N/A,531038,110,0.07250000000000001,N/A,560624,105,0.07050000000000001,N/A,690540,*****,0.0625,N/A,332527,101,0.069,N/A,358013,101,0.0645,N/A,2622634,*****,0.07050000000000001,N/A,1293295,124,0.07250000000000001,N/A,1329339,124,0.07050000000000001,N/A,1149439,*****,0.067,N/A,570272,83,0.068,N/A,579167,83,0.068,N/A,405312,*****,0.07200000000000001,N/A,201277,60,0.0755,N/A,204035,60,0.07250000000000001,N/A
    AGE,N/A,N/A,0.0655,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.0695,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.0625,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.0645,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.07250000000000001,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.0755,N/A,N/A,N/A,0.07250000000000001,N/A
        Under 5 years,113558,281,0.059000000000000004,0.1,58467,294,0.06,0.1,55091,226,0.057999999999999996,0.1,65340,65,0.062,0.1,33244,70,0.066,0.1,32096,68,0.059000000000000004,0.1,67034,33,0.061,0.1,34311,31,0.065,0.1,32723,45,0.057999999999999996,0.1,46061,21,0.067,0.1,23406,24,0.07,0.1,22655,17,0.063,0.1,193941,105,0.07400000000000001,0.1,99162,53,0.077,0.1,94779,117,0.071,0.1,73703,37,0.064,0.1,37785,50,0.066,0.1,35918,47,0.062,0.1,28451,8,0.07,0.1,14411,28,0.07200000000000001,0.1,14040,26,0.069,0.1
        5 to 9 years,116187,1859,0.06,0.1,60081,1310,0.062,0.1,56106,1408,0.059000000000000004,0.1,66083,1573,0.063,0.2,33532,1135,0.066,0.2,32551,1046,0.06,0.2,72492,1730,0.066,0.2,37385,1200,0.07,0.2,35107,1272,0.063,0.2,38531,1302,0.055999999999999994,0.2,18746,893,0.055999999999999994,0.3,19785,901,0.055,0.3,187344,2946,0.071,0.1,94629,2009,0.073,0.2,92715,1877,0.07,0.1,74741,1655,0.065,0.1,38883,1184,0.068,0.2,35858,969,0.062,0.2,32027,936,0.079,0.2,16185,683,0.08,0.3,15842,728,0.078,0.4
        10 to 14 years,121890,1856,0.063,0.1,62244,1304,0.064,0.1,59646,1407,0.063,0.1,70441,1593,0.067,0.2,36701,1125,0.07200000000000001,0.2,33740,1047,0.062,0.2,76241,1734,0.07,0.2,38196,1200,0.07200000000000001,0.2,38045,1278,0.068,0.2,38572,1295,0.055999999999999994,0.2,20115,894,0.06,0.3,18457,898,0.052000000000000005,0.3,194032,2947,0.07400000000000001,0.1,99756,2022,0.077,0.2,94276,1870,0.071,0.1,75944,1662,0.066,0.1,38489,1195,0.067,0.2,37455,988,0.065,0.2,34376,932,0.085,0.2,17714,683,0.08800000000000001,0.3,16662,725,0.08199999999999999,0.4
        15 to 19 years,114160,115,0.059000000000000004,0.1,58505,138,0.06,0.1,55655,122,0.059000000000000004,0.1,64066,47,0.061,0.1,32560,39,0.064,0.1,31506,64,0.057999999999999996,0.1,75511,116,0.069,0.1,38239,98,0.07200000000000001,0.1,37272,54,0.066,0.1,38801,148,0.055999999999999994,0.1,19470,105,0.059000000000000004,0.1,19331,102,0.054000000000000006,0.1,177706,124,0.068,0.1,90283,63,0.07,0.1,87423,110,0.066,0.1,73168,108,0.064,0.1,37462,106,0.066,0.1,35706,104,0.062,0.1,28574,25,0.07,0.1,14521,29,0.07200000000000001,0.1,14053,19,0.069,0.1
        20 to 24 years,117877,114,0.061,0.1,61802,92,0.063,0.1,56075,73,0.059000000000000004,0.1,59411,99,0.057,0.1,29810,88,0.059000000000000004,0.1,29601,82,0.055,0.1,68797,157,0.063,0.1,34221,102,0.064,0.1,34576,142,0.062,0.1,49856,164,0.07200000000000001,0.1,23643,95,0.071,0.1,26213,129,0.073,0.1,182940,100,0.07,0.1,92072,68,0.071,0.1,90868,88,0.068,0.1,68523,130,0.06,0.1,34601,92,0.061,0.1,33922,85,0.059000000000000004,0.1,20830,57,0.051,0.1,10514,30,0.052000000000000005,0.1,10316,45,0.051,0.1
        25 to 29 years,155965,*****,0.081,*****,84712,*****,0.087,0.1,71253,*****,0.075,0.1,63021,97,0.06,0.1,31627,88,0.062,0.1,31394,48,0.057999999999999996,0.1,80458,145,0.07400000000000001,0.1,39726,124,0.075,0.1,40732,69,0.073,0.1,73645,155,0.107,0.1,34983,90,0.105,0.1,38662,126,0.10800000000000001,0.1,225513,75,0.086,0.1,112544,33,0.087,0.1,112969,70,0.085,0.1,74072,156,0.064,0.1,38287,113,0.067,0.1,35785,101,0.062,0.1,20132,56,0.05,0.1,10032,33,0.05,0.1,10100,35,0.05,0.1
        30 to 34 years,156698,*****,0.081,*****,83617,*****,0.086,0.1,73081,*****,0.077,0.1,69708,122,0.067,0.1,33972,71,0.067,0.1,35736,94,0.066,0.1,81280,140,0.07400000000000001,0.1,39426,5,0.07400000000000001,0.1,41854,140,0.075,0.1,66284,134,0.096,0.1,32687,33,0.098,0.1,33597,133,0.094,0.1,208613,73,0.08,0.1,105123,47,0.081,0.1,103490,65,0.078,0.1,79452,112,0.069,0.1,40335,70,0.071,0.1,39117,97,0.068,0.1,27685,72,0.068,0.1,13151,40,0.065,0.1,14534,45,0.071,0.1
        35 to 39 years,143104,2402,0.07400000000000001,0.1,74825,1628,0.077,0.2,68279,1519,0.07200000000000001,0.2,73295,1614,0.07,0.2,35311,1101,0.07,0.2,37984,1109,0.07,0.2,81130,2012,0.07400000000000001,0.2,40267,1508,0.076,0.3,40863,1239,0.073,0.2,51323,1496,0.07400000000000001,0.2,24789,901,0.075,0.3,26534,956,0.07400000000000001,0.3,187035,2355,0.071,0.1,93086,2039,0.07200000000000001,0.2,93949,1722,0.071,0.1,87059,1619,0.076,0.1,42762,1254,0.075,0.2,44297,1004,0.076,0.2,34153,1175,0.084,0.3,16021,761,0.08,0.4,18132,869,0.08900000000000001,0.4
