label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Total housing units,703922,254,7039.22,N/A,406718,158,4067.18,N/A,512256,323,5122.56,N/A,372293,401,3722.93,N/A,1079042,1242,10790.42,N/A,431006,633,4310.06,N/A,149238,74,1492.38,N/A
        Occupied housing units,665549,3723,0.945,0.5,392629,2507,0.965,0.6,481294,4227,0.94,0.8,341597,3999,0.9179999999999999,1.1,993312,5968,0.9209999999999999,0.5,414946,2811,0.963,0.6,145601,1354,0.976,0.9
        Vacant housing units,38373,3675,0.055,0.5,14089,2548,0.035,0.6,30962,4267,0.06,0.8,30696,3973,0.08199999999999999,1.1,85730,5885,0.079,0.5,16060,2779,0.037000000000000005,0.6,3637,1367,0.024,0.9
        Homeowner vacancy rate,0.5,0.2,0.127,N/A,0.3,0.2,0.129,N/A,0.4,0.2,0.129,N/A,1.8,0.8,0.1345,N/A,0.8,0.2,0.1385,N/A,0.4,0.2,0.14100000000000001,N/A,0.0,0.2,0.129,N/A
        Rental vacancy rate,4.8,0.8,0.127,N/A,2.9,1.1,0.129,N/A,7.4,1.6,0.129,N/A,6.5,1.3,0.1345,N/A,9.7,0.8,0.1385,N/A,4.2,1.1,0.14100000000000001,N/A,4.0,2.5,0.129,N/A
UNITS IN STRUCTURE,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Total housing units,703922,254,7039.22,N/A,406718,158,4067.18,N/A,512256,323,5122.56,N/A,372293,401,3722.93,N/A,1079042,1242,10790.42,N/A,431006,633,4310.06,N/A,149238,74,1492.38,N/A
        1-unit detached,354857,5247,0.504,0.7,191194,4240,0.47,1.0,301116,5841,0.588,1.1,180319,6801,0.484,1.8,551541,7076,0.511,0.7,194451,4619,0.451,1.1,74767,3006,0.501,2.0
        1-unit attached,75341,3934,0.107,0.6,71518,3932,0.17600000000000002,1.0,62046,4344,0.121,0.8,36614,3907,0.098,1.0,41008,3596,0.038,0.3,96542,4090,0.22399999999999998,1.0,47315,3327,0.317,2.2
        2 units,9437,1912,0.013000000000000001,0.3,3456,1146,0.008,0.3,4802,1389,0.009000000000000001,0.3,15177,2887,0.040999999999999995,0.8,13287,2310,0.012,0.2,3135,913,0.006999999999999999,0.2,1343,607,0.009000000000000001,0.4
        3 or 4 units,37027,3602,0.053,0.5,5308,1243,0.013000000000000001,0.3,11474,2405,0.022000000000000002,0.5,10758,2746,0.028999999999999998,0.7,49000,4915,0.045,0.5,5613,1425,0.013000000000000001,0.3,1126,631,0.008,0.4
        5 to 9 units,35605,3331,0.051,0.5,20104,3046,0.049,0.7,21854,3479,0.043,0.7,19625,2848,0.053,0.8,76641,5719,0.071,0.5,21110,2522,0.049,0.6,4565,1223,0.031,0.8
        10 to 19 units,34759,3464,0.049,0.5,29373,3055,0.07200000000000001,0.8,29977,3521,0.059000000000000004,0.7,29915,4863,0.08,1.3,85513,6375,0.079,0.6,39896,3882,0.09300000000000001,0.9,8758,1728,0.059000000000000004,1.2
        20 or more units,137967,4846,0.196,0.7,84650,3984,0.20800000000000002,1.0,68189,5146,0.133,1.0,73688,4864,0.198,1.3,244401,9121,0.226,0.8,67811,3779,0.157,0.9,10439,1586,0.07,1.1
        Mobile home,17619,1793,0.025,0.3,1115,701,0.003,0.2,12685,2595,0.025,0.5,5555,1798,0.015,0.5,17259,3147,0.016,0.3,2191,1236,0.005,0.3,925,859,0.006,0.6
        Boat RV van etc.,1310,899,0.002,0.1,0,225,0.0,0.1,113,139,0.0,0.1,642,487,0.002,0.1,392,419,0.0,0.1,257,296,0.001,0.1,0,216,0.0,0.1
YEAR STRUCTURE BUILT,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Total housing units,703922,254,7039.22,N/A,406718,158,4067.18,N/A,512256,323,5122.56,N/A,372293,401,3722.93,N/A,1079042,1242,10790.42,N/A,431006,633,4310.06,N/A,149238,74,1492.38,N/A
        Built 2020 or later,13847,1934,0.02,0.3,8365,1713,0.021,0.4,35265,3266,0.069,0.6,30537,3634,0.08199999999999999,1.0,33438,3508,0.031,0.3,7714,1528,0.018000000000000002,0.4,6463,1399,0.043,0.9
        Built 2010 to 2019,69081,4813,0.098,0.7,37972,3270,0.09300000000000001,0.8,110920,5669,0.217,1.1,59459,4569,0.16,1.2,146030,6709,0.135,0.6,34140,3002,0.079,0.7,34786,2840,0.233,1.9
        Built 2000 to 2009,64816,3996,0.092,0.6,42498,4054,0.10400000000000001,1.0,127262,5923,0.248,1.2,49150,4420,0.132,1.2,137671,6864,0.128,0.6,46469,3010,0.10800000000000001,0.7,47595,2390,0.319,1.6
        Built 1990 to 1999,63415,4154,0.09,0.6,40693,3122,0.1,0.8,85448,5092,0.16699999999999998,1.0,34292,3805,0.092,1.0,107939,5118,0.1,0.5,58076,3630,0.135,0.8,28431,2284,0.191,1.5
        Built 1980 to 1989,79551,4005,0.113,0.6,81004,4087,0.19899999999999998,1.0,66406,4501,0.13,0.9,51396,4821,0.138,1.3,178173,9262,0.165,0.9,97311,4051,0.226,0.9,13255,1801,0.08900000000000001,1.2
        Built 1970 to 1979,139826,4862,0.19899999999999998,0.7,55824,3839,0.13699999999999998,0.9,39145,3406,0.076,0.7,44903,4114,0.121,1.1,164877,7554,0.153,0.7,82858,4232,0.192,1.0,10476,1767,0.07,1.2
        Built 1960 to 1969,125699,5624,0.179,0.8,56261,3907,0.138,1.0,24156,3025,0.047,0.6,33953,3852,0.091,1.0,130256,6176,0.121,0.6,55521,3282,0.129,0.8,2484,776,0.017,0.5
