area_fips,own_code,Industry_Code,agglvl_code,year,qtr,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
48113,0,10,70,2020,A,81171,1667356,125000000000.00,75038.00
48113,1,10,71,2020,A,167,26129,2365181145.00,90520.00
48113,1,101,72,2020,A,1,6,559565.00,91983.00
48113,1,102,72,2020,A,166,26123,2364621580.00,90520.00
48113,1,1021,73,2020,A,69,8186,590807483.00,72169.00
48113,1,1023,73,2020,A,3,542,86218333.00,159148.00
48113,1,1024,73,2020,A,3,124,15355207.00,124334.00
48113,1,1025,73,2020,A,1,5013,470094113.00,93770.00
48113,1,54,74,2020,A,3,124,15355207.00,124334.00
48113,1,541,75,2020,A,3,124,15355207.00,124334.00
48113,1,62,74,2020,A,1,5013,470094113.00,93770.00
48113,2,10,71,2020,A,48,24764,2153029016.00,86942.00
48113,2,101,72,2020,A,1,0,-,-
48113,2,102,72,2020,A,47,0,-,-
48113,2,1025,73,2020,A,17,20936,1941985848.00,92760.00
48113,2,62,74,2020,A,5,0,-,-
48113,3,10,71,2020,A,316,125122,7427849300.00,59365.00
48113,3,101,72,2020,A,25,2764,182637391.00,66077.00
48113,3,102,72,2020,A,291,122358,7245211909.00,59213.00
48113,3,1021,73,2020,A,42,10382,730009564.00,70314.00
48113,3,1023,73,2020,A,4,0,-,-
48113,3,1024,73,2020,A,20,435,24894876.00,57263.00
48113,3,1025,73,2020,A,30,82969,4509981910.00,54358.00
48113,3,54,74,2020,A,5,14,1429953.00,101535.00
48113,3,541,75,2020,A,5,14,1429953.00,101535.00
48113,3,62,74,2020,A,9,0,-,-
48113,5,10,71,2020,A,80642,1491341,113000000000.00,75884.00
48113,5,101,72,2020,A,8471,213734,17991618606.00,84178.00
48113,5,102,72,2020,A,72171,1277608,95176664216.00,74496.00
48113,5,1021,73,2020,A,16364,349186,22492602199.00,64414.00
48113,5,1023,73,2020,A,10153,159664,17598751960.00,110223.00
48113,5,1024,73,2020,A,18668,353651,31094156212.00,87923.00
48113,5,1025,73,2020,A,10194,197931,12687287918.00,64100.00
48113,5,54,74,2020,A,13123,162461,18215926714.00,112125.00
48113,5,541,75,2020,A,13123,162461,18215926714.00,112125.00
48113,5,62,74,2020,A,9205,171502,11132290103.00,64911.00
48113,0,10,70,2021,A,84332,1732133,137000000000.00,78980.00
48113,1,10,71,2021,A,164,25801,2402848298.00,93130.00
48113,1,101,72,2021,A,1,7,677945.00,96849.00
48113,1,102,72,2021,A,163,25794,2402170353.00,93129.00
48113,1,1021,73,2021,A,69,8309,597377996.00,71898.00
48113,1,1023,73,2021,A,3,566,89472744.00,158009.00
48113,1,1024,73,2021,A,3,125,15919277.00,127439.00
48113,1,1025,73,2021,A,1,5055,490824492.00,97100.00
48113,1,54,74,2021,A,3,125,15919277.00,127439.00
48113,1,541,75,2021,A,3,125,15919277.00,127439.00
48113,1,62,74,2021,A,1,5055,490824492.00,97100.00
48113,2,10,71,2021,A,47,26212,2360962202.00,90071.00
48113,2,101,72,2021,A,1,0,-,-
48113,2,102,72,2021,A,46,0,-,-
48113,2,1025,73,2021,A,17,22458,2144226571.00,95478.00
48113,2,62,74,2021,A,4,0,-,-
48113,3,10,71,2021,A,319,123053,7725962446.00,62785.00
48113,3,101,72,2021,A,25,2643,185449390.00,70155.00
48113,3,102,72,2021,A,294,120410,7540513056.00,62624.00
48113,3,1021,73,2021,A,42,9542,696281732.00,72968.00
48113,3,1023,73,2021,A,4,0,-,-
48113,3,1024,73,2021,A,22,384,23185592.00,60314.00
