year,label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiapercent,montgomery_county_marylandestimate,montgomery_county_marylandpercent,wake_county_north_carolinaestimate,wake_county_north_carolinapercent,davidson_county_tennesseeestimate,davidson_county_tennesseepercent,dallas_county_texasestimate,dallas_county_texaspercent,fairfax_county_virginiaestimate,fairfax_county_virginiapercent,loudoun_county_virginiaestimate,loudoun_county_virginiapercent,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
2010,EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,,,
2010,Population 16 years and over,"1,401,794","1,401,794","769,306","769,306","695,526","695,526","505,397","505,397","1,789,086","1,789,086","853,330","853,330","228,456","228,456",,,,,,,
2010,In labor force,"939,072",67.00%,"567,645",73.80%,"497,609",71.50%,"339,267",67.10%,"1,227,961",68.60%,"629,009",73.70%,"179,247",78.50%,,,,,,,
2010,Civilian labor force,"938,885",67.00%,"563,935",73.30%,"496,871",71.40%,"339,007",67.10%,"1,227,108",68.60%,"618,476",72.50%,"178,126",78.00%,,,,,,,
2010,Employed,"834,009",59.50%,"523,864",68.10%,"448,710",64.50%,"303,923",60.10%,"1,107,409",61.90%,"582,131",68.20%,"169,495",74.20%,,,,,,,
2010,Unemployed,"104,876",7.50%,"40,071",5.20%,"48,161",6.90%,"35,084",6.90%,"119,699",6.70%,"36,345",4.30%,"8,631",3.80%,,,,,,,
2010,Armed Forces,187,0.00%,"3,710",0.50%,738,0.10%,260,0.10%,853,0.00%,"10,533",1.20%,"1,121",0.50%,,,,,,,
2010,Not in labor force,"462,722",33.00%,"201,661",26.20%,"197,917",28.50%,"166,130",32.90%,"561,125",31.40%,"224,321",26.30%,"49,209",21.50%,,,,,,,
2010,Civilian labor force,"938,885","938,885","563,935","563,935","496,871","496,871","339,007","339,007","1,227,108","1,227,108","618,476","618,476","178,126","178,126",,,,,,,
2010,Percent Unemployed,(X),11.20%,(X),7.10%,(X),9.70%,(X),10.30%,(X),9.80%,(X),5.90%,(X),4.80%,,,,,,,
