label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
HOUSING OCCUPANCY,,,,,,,
Total housing units,"631,955","376,023","372,737","284,263","943,876","408,079","109,955"
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
Vacant housing units,"32,720","16,547","34,683","34,364","100,460","18,664","6,976"
Homeowner vacancy rate,1.8,1.1,2.4,4.1,2.3,1.3,1.5
Rental vacancy rate,4.1,2.7,9.9,7.4,11.1,3.6,2.1
UNITS IN STRUCTURE,,,,,,,
Total housing units,"631,955","376,023","372,737","284,263","943,876","408,079","109,955"
"1-unit, detached","332,653","180,356","227,378","149,992","521,699","199,487","62,160"
"1-unit, attached","68,576","68,918","35,010","23,537","38,986","92,106","28,881"
2 units,"14,314","1,960","5,054","15,836","11,894","1,333",480
3 or 4 units,"38,225","4,299","10,015","9,496","35,178","4,376","1,269"
5 to 9 units,"35,293","18,940","23,983","14,697","90,682","20,921","3,475"
10 to 19 units,"31,079","37,738","30,181","27,791","98,158","40,151","7,351"
20 or more units,"92,993","63,538","28,469","38,924","131,124","47,626","5,597"
Mobile home,"18,161",274,"12,647","3,990","15,952","1,960",661
"Boat, RV, van, etc.",661,0,0,0,203,119,81
YEAR STRUCTURE BUILT,,,,,,,
Total housing units,"631,955","376,023","372,737","284,263","943,876","408,079","109,955"
Built 2005 or later,"27,044","16,890","57,044","19,863","58,497","20,313","17,044"
Built 2000 to 2004,"37,364","25,256","64,024","23,323","79,081","32,256","28,061"
Built 1990 to 1999,"66,881","46,142","87,755","32,833","107,209","64,015","29,566"
Built 1980 to 1989,"75,301","85,165","66,293","45,869","186,357","94,585","13,117"
Built 1970 to 1979,"142,515","62,942","41,964","56,239","177,810","79,680","9,905"
Built 1960 to 1969,"125,418","57,432","24,092","37,200","141,678","57,943","4,944"
Built 1950 to 1959,"97,176","46,205","16,086","32,554","115,521","44,315","1,729"
Built 1940 to 1949,"26,180","19,389","7,646","14,832","40,637","10,221","1,347"
Built 1939 or earlier,"34,076","16,602","7,833","21,550","37,086","4,751","4,242"
ROOMS,,,,,,,
Total housing units,"631,955","376,023","372,737","284,263","943,876","408,079","109,955"
1 room,"18,306","3,706","4,268","5,392","19,263","3,789",542
2 rooms,"25,842","9,152","7,586","5,177","24,263","10,861","2,242"
3 rooms,"77,744","38,608","29,642","29,784","144,418","35,148","6,061"
4 rooms,"122,207","52,457","59,866","60,109","171,198","47,614","8,816"
5 rooms,"113,419","44,566","62,916","57,996","179,302","48,017","11,011"
6 rooms,"108,419","45,991","58,007","47,588","175,025","48,910","14,520"
7 rooms,"77,656","41,434","47,210","30,591","94,425","51,323","14,075"
8 rooms,"46,464","41,895","38,393","20,116","63,907","51,650","13,647"
9 rooms or more,"41,898","98,214","64,849","27,510","72,075","110,767","39,041"
Median rooms,5.1,6.4,5.9,5.2,5.1,6.7,7.3
BEDROOMS,,,,,,,
Total housing units,"631,955","376,023","372,737","284,263","943,876","408,079","109,955"
No bedroom,"19,944","5,120","4,653","5,775","20,487","4,246",542
1 bedroom,"89,100","49,696","34,341","39,814","186,362","42,267","6,220"
2 bedrooms,"162,836","78,255","85,233","93,739","238,204","79,897","16,016"
3 bedrooms,"202,224","107,770","148,674","104,886","339,555","118,271","35,770"
4 bedrooms,"122,330","88,870","79,473","32,134","136,071","112,261","36,834"
5 or more bedrooms,"35,521","46,312","20,363","7,915","23,197","51,137","14,573"
HOUSING TENURE,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
Owner-occupied,"342,955","238,022","224,624","135,598","448,918","272,224","80,627"
Renter-occupied,"256,280","121,454","113,430","114,301","394,498","117,191","22,352"
Average household size of owner-occupied unit,3.01,2.84,2.75,2.49,2.93,2.81,3.16
Average household size of renter-occupied unit,2.86,2.42,2.37,2.31,2.6,2.65,2.63
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
Moved in 2005 or later,"282,245","156,028","190,593","143,820","465,673","172,989","57,823"
Moved in 2000 to 2004,"101,772","66,425","61,962","35,713","132,991","77,495","22,948"
Moved in 1990 to 1999,"101,476","68,551","51,726","35,918","128,011","73,445","15,679"
Moved in 1980 to 1989,"50,775","37,132","17,772","14,614","52,437","38,816","4,286"
Moved in 1970 to 1979,"35,403","17,853","10,232","10,609","36,573","17,110","1,553"
Moved in 1969 or earlier,"27,564","13,487","5,769","9,225","27,731","9,560",690
VEHICLES AVAILABLE,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
No vehicles available,"31,267","29,180","15,887","20,302","57,890","15,531","2,944"
1 vehicle available,"168,953","117,835","110,880","101,683","335,530","116,197","21,776"
2 vehicles available,"249,590","141,797","144,133","90,348","314,965","168,487","50,520"
3 or more vehicles available,"149,425","70,664","67,154","37,566","135,031","89,200","27,739"
HOUSE HEATING FUEL,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
Utility gas,"401,603","204,759","147,026","85,865","326,318","226,402","63,069"
"Bottled, tank, or LP gas","8,862","2,816","16,502","3,090","5,117","5,065","5,739"
Electricity,"178,541","136,695","171,229","159,045","509,682","145,688","28,775"
"Fuel oil, kerosene, etc.",462,"13,888","1,575",380,174,"10,387","3,816"
