unnamed_0,geographic_area_name_name,2017_naics_code_naics2017,meaning_of_legal_form_of_organization_code_lfo_label,meaning_of_employment_size_of_establishments_code_empszes_label,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
0,Dallas County Texas,0,All establishments,All establishments,2019,67311,99304828,26327259,1534430
10,Dallas County Texas,11,All establishments,All establishments,2019,17,2676,665,70
13,Dallas County Texas,21,All establishments,All establishments,2019,354,706258,243491,4730
20,Dallas County Texas,22,All establishments,All establishments,2019,92,714881,234608,5034
28,Dallas County Texas,23,All establishments,All establishments,2019,4375,5999845,1558602,85170
38,Dallas County Texas,31-33,All establishments,All establishments,2019,2218,6557905,1816348,100039
48,Dallas County Texas,42,All establishments,All establishments,2019,4359,6593752,1668833,90213
57,Dallas County Texas,44-45,All establishments,All establishments,2019,7649,4273463,1074619,129023
66,Dallas County Texas,48-49,All establishments,All establishments,2019,1959,8247444,2152997,125473
76,Dallas County Texas,51,All establishments,All establishments,2019,1568,6747084,2131696,64805
86,Dallas County Texas,52,All establishments,All establishments,2019,5132,10413659,3209814,99658
96,Dallas County Texas,53,All establishments,All establishments,2019,4160,3012891,792100,41784
105,Dallas County Texas,54,All establishments,All establishments,2019,9881,14184237,3324242,141211
115,Dallas County Texas,55,All establishments,All establishments,2019,829,8064650,2437136,74475
125,Dallas County Texas,56,All establishments,All establishments,2019,3795,5863716,1376409,143391
135,Dallas County Texas,61,All establishments,All establishments,2019,854,1451484,343188,31976
145,Dallas County Texas,62,All establishments,All establishments,2019,7803,10394953,2466166,184046
155,Dallas County Texas,71,All establishments,All establishments,2019,851,663312,150372,19220
163,Dallas County Texas,72,All establishments,All establishments,2019,6209,3098108,739777,139833
172,Dallas County Texas,81,All establishments,All establishments,2019,5128,2310175,605374,54158
181,Dallas County Texas,99,All establishments,All establishments,2019,78,4335,822,121
184,Dallas County Texas,0,All establishments,All establishments,2020,68180,102251445,27978191,1563934
198,Dallas County Texas,11,All establishments,All establishments,2020,19,2538,595,59
200,Dallas County Texas,21,All establishments,All establishments,2020,322,551258,214674,3880
207,Dallas County Texas,22,All establishments,All establishments,2020,88,753684,246993,5085
215,Dallas County Texas,23,All establishments,All establishments,2020,4449,5967128,1591184,89581
226,Dallas County Texas,31-33,All establishments,All establishments,2020,2211,7268406,2162988,104206
237,Dallas County Texas,42,All establishments,All establishments,2020,4315,6335522,1639704,87919
246,Dallas County Texas,44-45,All establishments,All establishments,2020,7743,4320514,1101962,130786
257,Dallas County Texas,48-49,All establishments,All establishments,2020,2089,8564688,2378241,135039
271,Dallas County Texas,51,All establishments,All establishments,2020,1604,7040173,2173854,63955
282,Dallas County Texas,52,All establishments,All establishments,2020,5159,11760789,3466840,105568
294,Dallas County Texas,53,All establishments,All establishments,2020,4236,3086286,868639,43368
303,Dallas County Texas,54,All establishments,All establishments,2020,10093,15411211,3719130,144365
315,Dallas County Texas,55,All establishments,All establishments,2020,835,8203732,2430799,71792
327,Dallas County Texas,56,All establishments,All establishments,2020,3837,5598199,1449841,146525
338,Dallas County Texas,61,All establishments,All establishments,2020,844,1523264,373989,33367
348,Dallas County Texas,62,All establishments,All establishments,2020,7861,10404454,2572406,184652
362,Dallas County Texas,71,All establishments,All establishments,2020,837,576589,156399,18950
370,Dallas County Texas,72,All establishments,All establishments,2020,6263,2530631,769586,140141
379,Dallas County Texas,81,All establishments,All establishments,2020,5281,2347450,659209,54541
388,Dallas County Texas,99,All establishments,All establishments,2020,94,4929,1158,155
391,Dallas County Texas,0,All establishments,All establishments,2021,69959,110554872,27969774,1506838
405,Dallas County Texas,11,All establishments,All establishments,2021,22,3037,787,74
409,Dallas County Texas,21,All establishments,All establishments,2021,300,627329,164171,3628
417,Dallas County Texas,22,All establishments,All establishments,2021,91,821727,269058,4967
425,Dallas County Texas,23,All establishments,All establishments,2021,4589,6233802,1566242,84370
436,Dallas County Texas,31-33,All establishments,All establishments,2021,2197,7431312,2156256,102992
447,Dallas County Texas,42,All establishments,All establishments,2021,4351,6682817,1580928,84101
456,Dallas County Texas,44-45,All establishments,All establishments,2021,7804,4914301,1119539,128476
467,Dallas County Texas,48-49,All establishments,All establishments,2021,2363,9001015,2213971,135786
481,Dallas County Texas,51,All establishments,All establishments,2021,1627,7661135,2208101,63193
492,Dallas County Texas,52,All establishments,All establishments,2021,5227,13154118,3908909,108425
504,Dallas County Texas,53,All establishments,All establishments,2021,4512,3549062,925563,42766
513,Dallas County Texas,54,All establishments,All establishments,2021,10476,16669568,3660032,142004
525,Dallas County Texas,55,All establishments,All establishments,2021,807,8598450,2411452,70611
536,Dallas County Texas,56,All establishments,All establishments,2021,3947,6285432,1396721,141160
548,Dallas County Texas,61,All establishments,All establishments,2021,868,1605345,371275,30920
558,Dallas County Texas,62,All establishments,All establishments,2021,8050,11177463,2637984,182912
572,Dallas County Texas,71,All establishments,All establishments,2021,875,617180,134396,13965
580,Dallas County Texas,72,All establishments,All establishments,2021,6318,3012230,625120,116913
589,Dallas County Texas,81,All establishments,All establishments,2021,5440,2498964,616581,49351
598,Dallas County Texas,99,All establishments,All establishments,2021,95,10585,2688,224
602,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
603,Davidson County Tennessee,0,All establishments,All establishments,2019,20293,27419532,6797708,464535
613,Davidson County Tennessee,11,All establishments,All establishments,2019,7,691,139,15
615,Davidson County Tennessee,21,All establishments,All establishments,2019,8,10733,2586,154
618,Davidson County Tennessee,22,All establishments,All establishments,2019,11,22001,6866,258
621,Davidson County Tennessee,23,All establishments,All establishments,2019,1256,1511627,333967,23485
629,Davidson County Tennessee,31-33,All establishments,All establishments,2019,572,1078101,263819,20510
638,Davidson County Tennessee,42,All establishments,All establishments,2019,1074,1652709,426574,23345
647,Davidson County Tennessee,44-45,All establishments,All establishments,2019,2592,1135802,267622,36389
655,Davidson County Tennessee,48-49,All establishments,All establishments,2019,539,1231556,302142,26302
665,Davidson County Tennessee,51,All establishments,All establishments,2019,686,1073738,288885,13419
674,Davidson County Tennessee,52,All establishments,All establishments,2019,1292,2533349,787577,26143
684,Davidson County Tennessee,53,All establishments,All establishments,2019,1177,534187,125502,8480
691,Davidson County Tennessee,54,All establishments,All establishments,2019,2165,2549944,575169,27850
699,Davidson County Tennessee,55,All establishments,All establishments,2019,251,2798286,717311,23958
709,Davidson County Tennessee,56,All establishments,All establishments,2019,1160,1603674,432352,37444
719,Davidson County Tennessee,61,All establishments,All establishments,2019,284,1179010,283965,26248
728,Davidson County Tennessee,62,All establishments,All establishments,2019,2068,5241587,1237227,78757
738,Davidson County Tennessee,71,All establishments,All establishments,2019,928,1069689,238292,12536
746,Davidson County Tennessee,72,All establishments,All establishments,2019,2216,1434239,325494,58277
754,Davidson County Tennessee,81,All establishments,All establishments,2019,1985,756798,181674,20926
762,Davidson County Tennessee,99,All establishments,All establishments,2019,22,1811,545,39
764,Davidson County Tennessee,0,All establishments,All establishments,2020,20512,26899504,7042439,470435
777,Davidson County Tennessee,11,All establishments,All establishments,2020,6,766,205,19
779,Davidson County Tennessee,21,All establishments,All establishments,2020,9,11971,2865,163
781,Davidson County Tennessee,22,All establishments,All establishments,2020,11,21576,6738,251
784,Davidson County Tennessee,23,All establishments,All establishments,2020,1303,1549610,351081,24366
792,Davidson County Tennessee,31-33,All establishments,All establishments,2020,559,1080540,268838,20296
800,Davidson County Tennessee,42,All establishments,All establishments,2020,1061,1628830,421341,22583
808,Davidson County Tennessee,44-45,All establishments,All establishments,2020,2583,1174975,283274,37368
816,Davidson County Tennessee,48-49,All establishments,All establishments,2020,555,1238341,315172,28302
826,Davidson County Tennessee,51,All establishments,All establishments,2020,686,1179785,327221,14175
835,Davidson County Tennessee,52,All establishments,All establishments,2020,1283,2579826,760020,24901
844,Davidson County Tennessee,53,All establishments,All establishments,2020,1181,549769,141538,8829
851,Davidson County Tennessee,54,All establishments,All establishments,2020,2209,2511436,603385,27606
859,Davidson County Tennessee,55,All establishments,All establishments,2020,241,2321152,658036,23339
869,Davidson County Tennessee,56,All establishments,All establishments,2020,1171,1533949,448506,38124
879,Davidson County Tennessee,61,All establishments,All establishments,2020,303,1197282,301391,24976
888,Davidson County Tennessee,62,All establishments,All establishments,2020,2149,5678824,1335086,83212
899,Davidson County Tennessee,71,All establishments,All establishments,2020,939,843901,282381,12305
907,Davidson County Tennessee,72,All establishments,All establishments,2020,2264,1069237,348515,58884
915,Davidson County Tennessee,81,All establishments,All establishments,2020,1966,722859,185799,20656
923,Davidson County Tennessee,99,All establishments,All establishments,2020,33,4875,1047,80
925,Davidson County Tennessee,0,All establishments,All establishments,2021,21052,29959118,7012604,445200
937,Davidson County Tennessee,11,All establishments,All establishments,2021,6,915,170,14
939,Davidson County Tennessee,21,All establishments,All establishments,2021,6,7976,1689,100
941,Davidson County Tennessee,22,All establishments,All establishments,2021,13,22048,6489,259
945,Davidson County Tennessee,23,All establishments,All establishments,2021,1370,1661570,354741,24427
953,Davidson County Tennessee,31-33,All establishments,All establishments,2021,549,1191256,275936,20704
962,Davidson County Tennessee,42,All establishments,All establishments,2021,1050,1638240,411259,20470
970,Davidson County Tennessee,44-45,All establishments,All establishments,2021,2610,1371506,303487,38673
978,Davidson County Tennessee,48-49,All establishments,All establishments,2021,624,1348843,300806,27135
988,Davidson County Tennessee,51,All establishments,All establishments,2021,699,1091791,265236,11255
996,Davidson County Tennessee,52,All establishments,All establishments,2021,1299,2975172,774550,25384
1006,Davidson County Tennessee,53,All establishments,All establishments,2021,1236,583269,135457,8455
1013,Davidson County Tennessee,54,All establishments,All establishments,2021,2255,2660924,607030,27105
1021,Davidson County Tennessee,55,All establishments,All establishments,2021,245,2866573,770014,22905
1030,Davidson County Tennessee,56,All establishments,All establishments,2021,1203,1697839,400889,33820
1041,Davidson County Tennessee,61,All establishments,All establishments,2021,303,1266639,299275,23372
1050,Davidson County Tennessee,62,All establishments,All establishments,2021,2276,6444759,1454286,89233
1060,Davidson County Tennessee,71,All establishments,All establishments,2021,974,1035429,226231,9450
1067,Davidson County Tennessee,72,All establishments,All establishments,2021,2349,1325947,250005,44563
