GEOID,County_Name,NAICS_Code,Year,Number_of_Firms,Number_of_Establishments,Annual_Payroll,FirstQuarter_Payroll,Number_of_Employees
0500000US06085,"Santa Clara County, California",31-33,2017,2146.0,2197.0,8114134.0,2118127.0,92225.0
0500000US06085,"Santa Clara County, California",42,2017,2042.0,2252.0,13052469.0,3214367.0,74332.0
0500000US06085,"Santa Clara County, California",44-45,2017,3202.0,4682.0,3353570.0,807498.0,86436.0
0500000US06085,"Santa Clara County, California",48-49,2017,584.0,639.0,701280.0,163077.0,13052.0
0500000US06085,"Santa Clara County, California",51,2017,1326.0,1840.0,34299958.0,9288891.0,131985.0
0500000US06085,"Santa Clara County, California",52,2017,1551.0,2404.0,3811925.0,1134270.0,26482.0
0500000US06085,"Santa Clara County, California",53,2017,2079.0,2776.0,1023229.0,270933.0,15765.0
0500000US06085,"Santa Clara County, California",54,2017,8522.0,8829.0,18446320.0,4559224.0,147030.0
0500000US06085,"Santa Clara County, California",54,2017,8458.0,8759.0,18186376.0,4491199.0,144020.0
0500000US06085,"Santa Clara County, California",54,2017,65.0,70.0,259944.0,68025.0,3010.0
0500000US06085,"Santa Clara County, California",56,2017,1960.0,2251.0,3662397.0,867025.0,81108.0
0500000US06085,"Santa Clara County, California",61,2017,822.0,879.0,398231.0,104030.0,9877.0
0500000US06085,"Santa Clara County, California",61,2017,698.0,746.0,333849.0,88362.0,7849.0
0500000US06085,"Santa Clara County, California",61,2017,124.0,133.0,64382.0,15668.0,2028.0
0500000US06085,"Santa Clara County, California",62,2017,5081.0,5898.0,9057063.0,2232250.0,115234.0
0500000US06085,"Santa Clara County, California",62,2017,4758.0,5264.0,4030903.0,958214.0,61473.0
0500000US06085,"Santa Clara County, California",62,2017,335.0,634.0,5026160.0,1274036.0,53761.0
0500000US06085,"Santa Clara County, California",71,2017,524.0,623.0,725347.0,168549.0,17479.0
0500000US06085,"Santa Clara County, California",71,2017,400.0,487.0,606523.0,139846.0,12828.0
0500000US06085,"Santa Clara County, California",71,2017,124.0,136.0,118824.0,28703.0,4651.0
0500000US06085,"Santa Clara County, California",72,2017,3857.0,5107.0,2143561.0,510215.0,90824.0
0500000US06085,"Santa Clara County, California",81,2017,3127.0,3306.0,974351.0,245380.0,22499.0
0500000US06085,"Santa Clara County, California",81,2017,2639.0,2809.0,682924.0,169463.0,17787.0
0500000US06085,"Santa Clara County, California",81,2017,488.0,497.0,291427.0,75917.0,4712.0
0500000US24031,"Montgomery County, Maryland",31-33,2017,352.0,357.0,540271.0,157176.0,7081.0
0500000US24031,"Montgomery County, Maryland",42,2017,612.0,647.0,767136.0,196158.0,8452.0
0500000US24031,"Montgomery County, Maryland",44-45,2017,1839.0,2567.0,1502561.0,364960.0,46463.0
0500000US24031,"Montgomery County, Maryland",48-49,2017,307.0,313.0,115174.0,24899.0,2759.0
0500000US24031,"Montgomery County, Maryland",51,2017,481.0,631.0,1763723.0,480218.0,17424.0
0500000US24031,"Montgomery County, Maryland",52,2017,1020.0,1525.0,2479284.0,817577.0,20654.0
0500000US24031,"Montgomery County, Maryland",53,2017,1083.0,1463.0,877651.0,223307.0,12197.0
0500000US24031,"Montgomery County, Maryland",54,2017,5383.0,5824.0,6779380.0,1710103.0,82539.0
0500000US24031,"Montgomery County, Maryland",54,2017,5338.0,5753.0,6583202.0,1662554.0,79924.0
0500000US24031,"Montgomery County, Maryland",54,2017,46.0,71.0,196178.0,47549.0,2615.0
0500000US24031,"Montgomery County, Maryland",56,2017,1529.0,1838.0,2601175.0,620010.0,66864.0
0500000US24031,"Montgomery County, Maryland",61,2017,453.0,483.0,226797.0,55873.0,4575.0
0500000US24031,"Montgomery County, Maryland",61,2017,351.0,380.0,186219.0,45868.0,3443.0
0500000US24031,"Montgomery County, Maryland",61,2017,102.0,103.0,40578.0,10005.0,1132.0
0500000US24031,"Montgomery County, Maryland",62,2017,3070.0,3726.0,3955556.0,951220.0,71254.0
0500000US24031,"Montgomery County, Maryland",62,2017,2816.0,3217.0,2288376.0,560321.0,39003.0
0500000US24031,"Montgomery County, Maryland",62,2017,260.0,509.0,1667180.0,390899.0,32251.0
0500000US24031,"Montgomery County, Maryland",71,2017,375.0,417.0,214595.0,49948.0,8416.0
0500000US24031,"Montgomery County, Maryland",71,2017,288.0,327.0,109876.0,27729.0,5316.0
0500000US24031,"Montgomery County, Maryland",71,2017,87.0,90.0,104719.0,22219.0,3100.0
0500000US24031,"Montgomery County, Maryland",72,2017,1557.0,1936.0,726075.0,171147.0,34764.0
0500000US24031,"Montgomery County, Maryland",81,2017,1785.0,1947.0,1259946.0,334094.0,20029.0
0500000US24031,"Montgomery County, Maryland",81,2017,1231.0,1381.0,313005.0,74219.0,9615.0
0500000US24031,"Montgomery County, Maryland",81,2017,554.0,566.0,946941.0,259875.0,10414.0
0500000US37183,"Wake County, North Carolina",31-33,2017,585.0,610.0,779146.0,199590.0,12947.0
0500000US37183,"Wake County, North Carolina",42,2017,1032.0,1160.0,1790406.0,433284.0,22292.0
0500000US37183,"Wake County, North Carolina",44-45,2017,2223.0,3493.0,1613163.0,403318.0,59325.0
0500000US37183,"Wake County, North Carolina",48-49,2017,452.0,497.0,439799.0,108415.0,9907.0
0500000US37183,"Wake County, North Carolina",51,2017,413.0,627.0,2655847.0,672073.0,27652.0
0500000US37183,"Wake County, North Carolina",52,2017,1045.0,1766.0,2395011.0,685255.0,25255.0
0500000US37183,"Wake County, North Carolina",53,2017,1349.0,1740.0,509278.0,128911.0,9061.0
0500000US37183,"Wake County, North Carolina",54,2017,4726.0,4961.0,4975018.0,1189443.0,59503.0
0500000US37183,"Wake County, North Carolina",54,2017,4704.0,4934.0,4942207.0,1181110.0,59018.0
0500000US37183,"Wake County, North Carolina",54,2017,22.0,27.0,32811.0,8333.0,485.0
0500000US37183,"Wake County, North Carolina",56,2017,1698.0,1911.0,1976388.0,475157.0,47218.0
0500000US37183,"Wake County, North Carolina",61,2017,431.0,440.0,177079.0,45123.0,4667.0
0500000US37183,"Wake County, North Carolina",61,2017,,,,,
0500000US37183,"Wake County, North Carolina",61,2017,,,,,
0500000US37183,"Wake County, North Carolina",62,2017,2483.0,3040.0,3097545.0,734880.0,63396.0
0500000US37183,"Wake County, North Carolina",62,2017,2277.0,2771.0,1852150.0,438511.0,38835.0
0500000US37183,"Wake County, North Carolina",62,2017,210.0,269.0,1245395.0,296369.0,24561.0
0500000US37183,"Wake County, North Carolina",71,2017,430.0,475.0,260638.0,73589.0,12322.0
0500000US37183,"Wake County, North Carolina",71,2017,351.0,388.0,191234.0,57396.0,7999.0
0500000US37183,"Wake County, North Carolina",71,2017,79.0,87.0,69404.0,16193.0,4323.0
0500000US37183,"Wake County, North Carolina",72,2017,1873.0,2424.0,903503.0,219451.0,53773.0
0500000US37183,"Wake County, North Carolina",81,2017,1771.0,2004.0,518022.0,126345.0,13651.0
0500000US37183,"Wake County, North Carolina",81,2017,1409.0,1629.0,317343.0,76439.0,10336.0
0500000US37183,"Wake County, North Carolina",81,2017,362.0,375.0,200679.0,49906.0,3315.0
0500000US47037,"Davidson County, Tennessee",31-33,2017,556.0,573.0,1015053.0,247671.0,19803.0
0500000US47037,"Davidson County, Tennessee",42,2017,863.0,968.0,1313805.0,321865.0,19905.0
0500000US47037,"Davidson County, Tennessee",44-45,2017,1845.0,2603.0,1115143.0,266811.0,38670.0
0500000US47037,"Davidson County, Tennessee",48-49,2017,421.0,519.0,1045705.0,259057.0,22927.0
0500000US47037,"Davidson County, Tennessee",51,2017,502.0,719.0,1206542.0,340107.0,15223.0
0500000US47037,"Davidson County, Tennessee",52,2017,768.0,1426.0,2648620.0,759100.0,33614.0
0500000US47037,"Davidson County, Tennessee",53,2017,743.0,1083.0,474511.0,112345.0,8442.0
0500000US47037,"Davidson County, Tennessee",54,2017,2010.0,2222.0,2387693.0,562085.0,30378.0
0500000US47037,"Davidson County, Tennessee",54,2017,2002.0,2214.0,2382851.0,560927.0,30295.0
0500000US47037,"Davidson County, Tennessee",54,2017,8.0,8.0,4842.0,1158.0,83.0
0500000US47037,"Davidson County, Tennessee",56,2017,980.0,1223.0,1470756.0,371821.0,42134.0
0500000US47037,"Davidson County, Tennessee",61,2017,187.0,193.0,100042.0,25545.0,2287.0
0500000US47037,"Davidson County, Tennessee",61,2017,141.0,145.0,85122.0,22079.0,1814.0
0500000US47037,"Davidson County, Tennessee",61,2017,46.0,48.0,14920.0,3466.0,473.0
0500000US47037,"Davidson County, Tennessee",62,2017,1456.0,2020.0,4700240.0,1124692.0,76927.0
0500000US47037,"Davidson County, Tennessee",62,2017,1211.0,1693.0,2216135.0,531873.0,39587.0
0500000US47037,"Davidson County, Tennessee",62,2017,251.0,327.0,2484105.0,592819.0,37340.0
0500000US47037,"Davidson County, Tennessee",71,2017,844.0,880.0,996889.0,227331.0,10416.0
0500000US47037,"Davidson County, Tennessee",71,2017,791.0,813.0,906343.0,206934.0,6972.0
0500000US47037,"Davidson County, Tennessee",71,2017,53.0,67.0,90546.0,20397.0,3444.0
0500000US47037,"Davidson County, Tennessee",72,2017,1591.0,2115.0,1121792.0,259265.0,52934.0
0500000US47037,"Davidson County, Tennessee",81,2017,1183.0,1375.0,495223.0,118887.0,13835.0
0500000US47037,"Davidson County, Tennessee",81,2017,816.0,1001.0,301882.0,70138.0,10305.0
0500000US47037,"Davidson County, Tennessee",81,2017,367.0,374.0,193341.0,48749.0,3530.0
0500000US48113,"Dallas County, Texas",31-33,2017,2153.0,2234.0,5961255.0,1712544.0,92173.0
0500000US48113,"Dallas County, Texas",42,2017,3377.0,3777.0,4970638.0,1230364.0,75525.0
0500000US48113,"Dallas County, Texas",44-45,2017,5312.0,7816.0,4051656.0,1005664.0,129602.0
0500000US48113,"Dallas County, Texas",48-49,2017,1496.0,1866.0,7542355.0,1983134.0,127721.0
0500000US48113,"Dallas County, Texas",51,2017,919.0,1592.0,6061276.0,1716066.0,60851.0
0500000US48113,"Dallas County, Texas",52,2017,3099.0,5142.0,10298442.0,3163556.0,102377.0
0500000US48113,"Dallas County, Texas",53,2017,2782.0,4096.0,2469226.0,640384.0,38463.0
0500000US48113,"Dallas County, Texas",54,2017,9164.0,9759.0,12316802.0,3002659.0,142807.0
0500000US48113,"Dallas County, Texas",54,2017,,,,,
0500000US48113,"Dallas County, Texas",54,2017,,,,,
0500000US48113,"Dallas County, Texas",56,2017,3253.0,3875.0,7431876.0,1864401.0,200244.0
0500000US48113,"Dallas County, Texas",61,2017,594.0,622.0,281968.0,68452.0,7146.0
0500000US48113,"Dallas County, Texas",61,2017,521.0,547.0,259633.0,62721.0,6380.0
0500000US48113,"Dallas County, Texas",61,2017,73.0,75.0,22335.0,5731.0,766.0
0500000US48113,"Dallas County, Texas",62,2017,6489.0,7772.0,9273367.0,2187821.0,183205.0
0500000US48113,"Dallas County, Texas",62,2017,6074.0,7202.0,5862894.0,1394770.0,122762.0
0500000US48113,"Dallas County, Texas",62,2017,426.0,570.0,3410473.0,793051.0,60443.0
0500000US48113,"Dallas County, Texas",71,2017,654.0,739.0,589279.0,133919.0,17975.0
0500000US48113,"Dallas County, Texas",71,2017,552.0,623.0,398696.0,90581.0,12652.0
0500000US48113,"Dallas County, Texas",71,2017,102.0,116.0,190583.0,43338.0,5323.0
0500000US48113,"Dallas County, Texas",72,2017,4309.0,6016.0,2677179.0,649696.0,134426.0
0500000US48113,"Dallas County, Texas",81,2017,3294.0,3647.0,1479830.0,359396.0,35701.0
0500000US48113,"Dallas County, Texas",81,2017,2681.0,3009.0,981132.0,235340.0,26632.0
0500000US48113,"Dallas County, Texas",81,2017,613.0,638.0,498698.0,124056.0,9069.0
0500000US51059,"Fairfax County, Virginia",31-33,2017,336.0,342.0,395379.0,97035.0,6064.0
0500000US51059,"Fairfax County, Virginia",42,2017,669.0,738.0,1438178.0,330640.0,13174.0
0500000US51059,"Fairfax County, Virginia",44-45,2017,1732.0,2681.0,1649888.0,400657.0,52389.0
0500000US51059,"Fairfax County, Virginia",48-49,2017,403.0,432.0,376803.0,91613.0,7995.0
0500000US51059,"Fairfax County, Virginia",51,2017,671.0,915.0,4864284.0,1302049.0,41661.0
0500000US51059,"Fairfax County, Virginia",52,2017,1001.0,1656.0,3557890.0,1075216.0,29961.0
0500000US51059,"Fairfax County, Virginia",53,2017,1226.0,1665.0,832931.0,210242.0,11578.0
0500000US51059,"Fairfax County, Virginia",54,2017,7474.0,8858.0,20759598.0,5241493.0,206263.0
0500000US51059,"Fairfax County, Virginia",54,2017,7439.0,8813.0,20005955.0,5066421.0,200603.0
0500000US51059,"Fairfax County, Virginia",54,2017,36.0,45.0,753643.0,175072.0,5660.0
0500000US51059,"Fairfax County, Virginia",56,2017,1515.0,1784.0,3512463.0,839077.0,65516.0
0500000US51059,"Fairfax County, Virginia",61,2017,552.0,572.0,328063.0,82875.0,6610.0
0500000US51059,"Fairfax County, Virginia",61,2017,490.0,508.0,182887.0,43950.0,4734.0
0500000US51059,"Fairfax County, Virginia",61,2017,62.0,64.0,145176.0,38925.0,1876.0
0500000US51059,"Fairfax County, Virginia",62,2017,2765.0,3242.0,3213792.0,777736.0,60021.0
0500000US51059,"Fairfax County, Virginia",62,2017,2596.0,2975.0,2150970.0,516670.0,39249.0
0500000US51059,"Fairfax County, Virginia",62,2017,173.0,267.0,1062822.0,261066.0,20772.0
0500000US51059,"Fairfax County, Virginia",71,2017,376.0,410.0,297886.0,79353.0,11121.0
0500000US51059,"Fairfax County, Virginia",71,2017,294.0,328.0,219917.0,61316.0,8307.0
0500000US51059,"Fairfax County, Virginia",71,2017,82.0,82.0,77969.0,18037.0,2814.0
0500000US51059,"Fairfax County, Virginia",72,2017,1814.0,2421.0,945381.0,224892.0,44519.0
0500000US51059,"Fairfax County, Virginia",81,2017,1970.0,2124.0,828780.0,201678.0,16922.0
0500000US51059,"Fairfax County, Virginia",81,2017,1487.0,1630.0,383256.0,92159.0,10824.0
0500000US51059,"Fairfax County, Virginia",81,2017,484.0,494.0,445524.0,109519.0,6098.0
0500000US51107,"Loudoun County, Virginia",31-33,2017,178.0,183.0,494766.0,120700.0,6523.0
0500000US51107,"Loudoun County, Virginia",42,2017,241.0,251.0,230881.0,56151.0,3080.0
0500000US51107,"Loudoun County, Virginia",44-45,2017,751.0,1039.0,555904.0,137886.0,19612.0
0500000US51107,"Loudoun County, Virginia",48-49,2017,300.0,323.0,588271.0,156411.0,12662.0
0500000US51107,"Loudoun County, Virginia",51,2017,201.0,309.0,1213319.0,399481.0,9714.0
0500000US51107,"Loudoun County, Virginia",52,2017,253.0,402.0,347629.0,86008.0,3487.0
0500000US51107,"Loudoun County, Virginia",53,2017,368.0,435.0,107694.0,28831.0,1676.0
0500000US51107,"Loudoun County, Virginia",54,2017,2947.0,3085.0,2520668.0,614004.0,29087.0
0500000US51107,"Loudoun County, Virginia",54,2017,,,,,
0500000US51107,"Loudoun County, Virginia",54,2017,,,,,
0500000US51107,"Loudoun County, Virginia",56,2017,580.0,605.0,523005.0,118181.0,12752.0
0500000US51107,"Loudoun County, Virginia",61,2017,185.0,191.0,33249.0,8121.0,1578.0
0500000US51107,"Loudoun County, Virginia",61,2017,173.0,179.0,25909.0,6305.0,1423.0
0500000US51107,"Loudoun County, Virginia",61,2017,12.0,12.0,7340.0,1816.0,155.0
0500000US51107,"Loudoun County, Virginia",62,2017,821.0,947.0,665496.0,163577.0,14238.0
0500000US51107,"Loudoun County, Virginia",62,2017,774.0,890.0,496185.0,122602.0,10547.0
0500000US51107,"Loudoun County, Virginia",62,2017,49.0,57.0,169311.0,40975.0,3691.0
0500000US51107,"Loudoun County, Virginia",71,2017,155.0,156.0,59647.0,13285.0,3086.0
0500000US51107,"Loudoun County, Virginia",71,2017,133.0,134.0,55671.0,12325.0,2969.0
0500000US51107,"Loudoun County, Virginia",71,2017,22.0,22.0,3976.0,960.0,117.0
0500000US51107,"Loudoun County, Virginia",72,2017,642.0,777.0,365045.0,84404.0,16541.0
0500000US51107,"Loudoun County, Virginia",81,2017,645.0,680.0,202677.0,49683.0,4846.0
0500000US51107,"Loudoun County, Virginia",81,2017,557.0,592.0,154445.0,38244.0,4130.0
0500000US51107,"Loudoun County, Virginia",81,2017,88.0,88.0,48232.0,11439.0,716.0
