label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,631955,1523,631955,N/A,376023,835,376023,N/A,372737,2035,372737,N/A,284263,2313,284263,N/A,943876,1548,943876,N/A,408079,1185,408079,N/A,109955,750,109955,N/A
    Occupied housing units,599235,3770,94.8,0.5,359476,2836,95.6,0.7,338054,3843,90.7,0.9,249899,3777,87.9,1.1,843416,4626,89.4,0.5,389415,3502,95.4,0.8,102979,2217,93.7,1.9
    Vacant housing units,32720,3452,5.2,0.5,16547,2568,4.4,0.7,34683,3374,9.3,0.9,34364,3186,12.1,1.1,100460,4739,10.6,0.5,18664,3128,4.6,0.8,6976,2031,6.3,1.9
    Homeowner vacancy rate,1.8,0.4,N/A,N/A,1.1,0.5,N/A,N/A,2.4,0.6,N/A,N/A,4.1,1.0,N/A,N/A,2.3,0.5,N/A,N/A,1.3,0.4,N/A,N/A,1.5,0.9,N/A,N/A
    Rental vacancy rate,4.1,0.8,N/A,N/A,2.7,0.9,N/A,N/A,9.9,1.8,N/A,N/A,7.4,1.6,N/A,N/A,11.1,0.8,N/A,N/A,3.6,1.1,N/A,N/A,2.1,2.1,N/A,N/A
UNITS IN STRUCTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,631955,1523,631955,N/A,376023,835,376023,N/A,372737,2035,372737,N/A,284263,2313,284263,N/A,943876,1548,943876,N/A,408079,1185,408079,N/A,109955,750,109955,N/A
    1-unit detached,332653,5421,52.6,0.9,180356,3537,48.0,0.9,227378,4202,61.0,1.1,149992,4039,52.8,1.3,521699,7257,55.3,0.8,199487,3773,48.9,1.0,62160,2491,56.5,2.3
    1-unit attached,68576,3973,10.9,0.6,68918,3495,18.3,0.9,35010,2651,9.4,0.7,23537,2003,8.3,0.7,38986,2552,4.1,0.3,92106,4083,22.6,1.0,28881,2309,26.3,2.1
    2 units,14314,2244,2.3,0.4,1960,676,0.5,0.2,5054,1066,1.4,0.3,15836,1975,5.6,0.7,11894,2030,1.3,0.2,1333,457,0.3,0.1,480,379,0.4,0.3
    3 or 4 units,38225,2992,6.0,0.5,4299,823,1.1,0.2,10015,2068,2.7,0.6,9496,1333,3.3,0.5,35178,3115,3.7,0.3,4376,1071,1.1,0.3,1269,756,1.2,0.7
    5 to 9 units,35293,3302,5.6,0.5,18940,2094,5.0,0.6,23983,2287,6.4,0.6,14697,1946,5.2,0.7,90682,4875,9.6,0.5,20921,2314,5.1,0.6,3475,927,3.2,0.8
    10 to 19 units,31079,2998,4.9,0.5,37738,3116,10.0,0.8,30181,3201,8.1,0.9,27791,2906,9.8,1.0,98158,5323,10.4,0.6,40151,3596,9.8,0.9,7351,1453,6.7,1.3
    20 or more units,92993,4481,14.7,0.7,63538,3834,16.9,1.0,28469,2834,7.6,0.8,38924,3226,13.7,1.2,131124,4834,13.9,0.5,47626,2756,11.7,0.7,5597,1088,5.1,1.0
    Mobile home,18161,1830,2.9,0.3,274,236,0.1,0.1,12647,1970,3.4,0.5,3990,1156,1.4,0.4,15952,2199,1.7,0.2,1960,767,0.5,0.2,661,553,0.6,0.5
    Boat RV van etc.,661,468,0.1,0.1,0,289,0.0,0.1,0,289,0.0,0.1,0,287,0.0,0.1,203,252,0.0,0.1,119,170,0.0,0.1,81,129,0.1,0.1
YEAR STRUCTURE BUILT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,631955,1523,631955,N/A,376023,835,376023,N/A,372737,2035,372737,N/A,284263,2313,284263,N/A,943876,1548,943876,N/A,408079,1185,408079,N/A,109955,750,109955,N/A
    Built 2005 or later,27044,2454,4.3,0.4,16890,1836,4.5,0.5,57044,3315,15.3,0.9,19863,2205,7.0,0.8,58497,4091,6.2,0.4,20313,2048,5.0,0.5,17044,1908,15.5,1.7
    Built 2000 to 2004,37364,3194,5.9,0.5,25256,1955,6.7,0.5,64024,3613,17.2,1.0,23323,2166,8.2,0.8,79081,4265,8.4,0.5,32256,3124,7.9,0.8,28061,2278,25.5,2.1
    Built 1990 to 1999,66881,3701,10.6,0.6,46142,3020,12.3,0.8,87755,4034,23.5,1.1,32833,2886,11.6,1.0,107209,4570,11.4,0.5,64015,3977,15.7,1.0,29566,2323,26.9,2.1
    Built 1980 to 1989,75301,3970,11.9,0.6,85165,4462,22.6,1.2,66293,3464,17.8,0.9,45869,3132,16.1,1.1,186357,5748,19.7,0.6,94585,4151,23.2,1.0,13117,1717,11.9,1.6
    Built 1970 to 1979,142515,4745,22.6,0.7,62942,3192,16.7,0.8,41964,3218,11.3,0.9,56239,3618,19.8,1.3,177810,5173,18.8,0.5,79680,4351,19.5,1.1,9905,1527,9.0,1.4
    Built 1960 to 1969,125418,4634,19.8,0.7,57432,2913,15.3,0.8,24092,2320,6.5,0.6,37200,3161,13.1,1.1,141678,5105,15.0,0.5,57943,3469,14.2,0.9,4944,1064,4.5,1.0
    Built 1950 to 1959,97176,4446,15.4,0.7,46205,2806,12.3,0.7,16086,2040,4.3,0.5,32554,2605,11.5,0.9,115521,3943,12.2,0.4,44315,2556,10.9,0.6,1729,636,1.6,0.6
    Built 1940 to 1949,26180,2652,4.1,0.4,19389,1809,5.2,0.5,7646,1352,2.1,0.4,14832,1654,5.2,0.6,40637,2793,4.3,0.3,10221,1689,2.5,0.4,1347,614,1.2,0.6
    Built 1939 or earlier,34076,2876,5.4,0.5,16602,1566,4.4,0.4,7833,1344,2.1,0.4,21550,2256,7.6,0.8,37086,2452,3.9,0.3,4751,1068,1.2,0.3,4242,940,3.9,0.9
ROOMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,631955,1523,631955,N/A,376023,835,376023,N/A,372737,2035,372737,N/A,284263,2313,284263,N/A,943876,1548,943876,N/A,408079,1185,408079,N/A,109955,750,109955,N/A
    1 room,18306,2584,2.9,0.4,3706,1178,1.0,0.3,4268,1314,1.1,0.4,5392,1507,1.9,0.5,19263,2480,2.0,0.3,3789,1488,0.9,0.4,542,367,0.5,0.3
    2 rooms,25842,2957,4.1,0.5,9152,1500,2.4,0.4,7586,1512,2.0,0.4,5177,1345,1.8,0.5,24263,2346,2.6,0.2,10861,2057,2.7,0.5,2242,911,2.0,0.8
    3 rooms,77744,3958,12.3,0.6,38608,3352,10.3,0.9,29642,2534,8.0,0.7,29784,2962,10.5,1.1,144418,5643,15.3,0.6,35148,2979,8.6,0.7,6061,1454,5.5,1.3
    4 rooms,122207,4945,19.3,0.8,52457,3567,14.0,0.9,59866,3699,16.1,1.0,60109,3782,21.1,1.3,171198,7044,18.1,0.7,47614,3731,11.7,0.9,8816,1521,8.0,1.4
    5 rooms,113419,3777,17.9,0.6,44566,3571,11.9,1.0,62916,3425,16.9,0.9,57996,3244,20.4,1.1,179302,5663,19.0,0.6,48017,3309,11.8,0.8,11011,1679,10.0,1.5
    6 rooms,108419,4371,17.2,0.7,45991,3728,12.2,1.0,58007,3576,15.6,1.0,47588,3386,16.7,1.2,175025,5847,18.5,0.6,48910,3377,12.0,0.8,14520,1801,13.2,1.6
    7 rooms,77656,3523,12.3,0.6,41434,3414,11.0,0.9,47210,3102,12.7,0.8,30591,2480,10.8,0.9,94425,4933,10.0,0.5,51323,3654,12.6,0.9,14075,2063,12.8,1.9
    8 rooms,46464,2786,7.4,0.4,41895,2762,11.1,0.7,38393,2491,10.3,0.7,20116,2197,7.1,0.8,63907,3577,6.8,0.4,51650,3407,12.7,0.8,13647,1745,12.4,1.6
    9 rooms or more,41898,2745,6.6,0.4,98214,3690,26.1,1.0,64849,3322,17.4,0.9,27510,2514,9.7,0.9,72075,3298,7.6,0.4,110767,4014,27.1,1.0,39041,1960,35.5,1.8
    Median rooms,5.1,0.1,N/A,N/A,6.4,0.2,N/A,N/A,5.9,0.1,N/A,N/A,5.2,0.1,N/A,N/A,5.1,0.1,N/A,N/A,6.7,0.1,N/A,N/A,7.3,0.2,N/A,N/A
BEDROOMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,631955,1523,631955,N/A,376023,835,376023,N/A,372737,2035,372737,N/A,284263,2313,284263,N/A,943876,1548,943876,N/A,408079,1185,408079,N/A,109955,750,109955,N/A
    No bedroom,19944,2538,3.2,0.4,5120,1354,1.4,0.4,4653,1353,1.2,0.4,5775,1493,2.0,0.5,20487,2505,2.2,0.3,4246,1472,1.0,0.4,542,367,0.5,0.3
    1 bedroom,89100,4517,14.1,0.7,49696,3208,13.2,0.9,34341,2971,9.2,0.8,39814,3319,14.0,1.2,186362,6376,19.7,0.7,42267,3189,10.4,0.8,6220,1289,5.7,1.2
    2 bedrooms,162836,5849,25.8,0.9,78255,3572,20.8,0.9,85233,4020,22.9,1.1,93739,4182,33.0,1.4,238204,6745,25.2,0.7,79897,4301,19.6,1.1,16016,2004,14.6,1.8
    3 bedrooms,202224,5363,32.0,0.8,107770,4392,28.7,1.2,148674,5033,39.9,1.4,104886,4146,36.9,1.4,339555,7415,36.0,0.8,118271,5025,29.0,1.2,35770,2360,32.5,2.1
    4 bedrooms,122330,4039,19.4,0.6,88870,3818,23.6,1.0,79473,4474,21.3,1.2,32134,2537,11.3,0.9,136071,5644,14.4,0.6,112261,4525,27.5,1.1,36834,2607,33.5,2.4
    5 or more bedrooms,35521,3033,5.6,0.5,46312,3050,12.3,0.8,20363,1873,5.5,0.5,7915,1595,2.8,0.6,23197,2202,2.5,0.2,51137,3068,12.5,0.7,14573,1607,13.3,1.5
HOUSING TENURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    Owner-occupied,342955,4963,57.2,0.8,238022,4307,66.2,1.1,224624,3870,66.4,1.0,135598,3957,54.3,1.4,448918,6552,53.2,0.8,272224,4427,69.9,1.0,80627,2460,78.3,1.9
    Renter-occupied,256280,5605,42.8,0.8,121454,4093,33.8,1.1,113430,3980,33.6,1.0,114301,3985,45.7,1.4,394498,7447,46.8,0.8,117191,4345,30.1,1.0,22352,2125,21.7,1.9
    Average household size of owner-occupied unit,3.01,0.04,N/A,N/A,2.84,0.04,N/A,N/A,2.75,0.04,N/A,N/A,2.49,0.06,N/A,N/A,2.93,0.04,N/A,N/A,2.81,0.04,N/A,N/A,3.16,0.07,N/A,N/A
    Average household size of renter-occupied unit,2.86,0.04,N/A,N/A,2.42,0.07,N/A,N/A,2.37,0.07,N/A,N/A,2.31,0.06,N/A,N/A,2.60,0.04,N/A,N/A,2.65,0.08,N/A,N/A,2.63,0.16,N/A,N/A
YEAR HOUSEHOLDER MOVED INTO UNIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied housing units,599235,3770,599235,N/A,359476,2836,359476,N/A,338054,3843,338054,N/A,249899,3777,249899,N/A,843416,4626,843416,N/A,389415,3502,389415,N/A,102979,2217,102979,N/A
    Moved in 2005 or later,282245,5474,47.1,0.8,156028,4679,43.4,1.2,190593,4518,56.4,1.0,143820,4224,57.6,1.4,465673,7142,55.2,0.7,172989,5618,44.4,1.3,57823,2733,56.2,2.3
