label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
Total population,1918044,*****,965615,649,952429,649,1040116,*****,501379,351,538737,351,1024198,*****,498819,367,525379,367,678889,*****,326415,566,352474,566,2553385,*****,1257431,275,1295954,275,1142234,*****,565709,549,576525,549,375629,*****,186490,127,189139,127
AGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Under 5 years,6.3,0.1,6.5,0.1,6.2,0.1,6.5,0.1,6.9,0.1,6.2,0.1,6.4,0.1,6.7,0.1,6.0,0.1,7.0,0.1,7.0,0.1,6.9,0.1,7.7,0.1,8.0,0.1,7.4,0.1,6.7,0.1,6.9,0.1,6.5,0.1,7.5,0.1,7.8,0.1,7.2,0.1
    5 to 9 years,6.4,0.2,6.7,0.3,6.0,0.3,6.5,0.3,7.0,0.5,6.1,0.4,7.1,0.3,7.3,0.5,6.9,0.5,6.3,0.4,6.7,0.5,6.0,0.5,7.8,0.2,8.0,0.3,7.6,0.3,6.9,0.3,7.2,0.4,6.7,0.4,8.7,0.5,9.1,0.7,8.3,0.7
    10 to 14 years,6.5,0.2,6.3,0.3,6.6,0.3,6.4,0.3,6.7,0.5,6.2,0.4,7.1,0.3,7.5,0.5,6.8,0.5,5.1,0.4,5.3,0.5,4.9,0.5,7.1,0.2,7.4,0.3,6.9,0.3,6.2,0.3,6.4,0.4,6.0,0.4,8.4,0.5,8.3,0.7,8.4,0.7
    15 to 19 years,6.0,0.1,6.0,0.1,5.9,0.1,6.1,0.1,6.5,0.1,5.7,0.1,6.9,0.1,7.2,0.1,6.7,0.1,5.7,0.1,6.1,0.2,5.3,0.2,6.7,0.1,6.9,0.1,6.4,0.1,6.3,0.1,6.6,0.1,6.1,0.1,6.8,0.2,7.2,0.4,6.4,0.3
    20 to 24 years,6.3,0.1,6.6,0.1,6.0,0.1,5.8,0.1,6.2,0.1,5.5,0.1,6.6,0.1,7.0,0.1,6.3,0.1,7.6,0.1,7.5,0.1,7.8,0.2,7.2,0.1,7.4,0.1,7.1,0.1,6.0,0.1,6.2,0.1,5.9,0.1,4.9,0.3,4.9,0.4,4.9,0.3
    25 to 29 years,7.5,0.1,7.8,0.1,7.1,0.1,6.3,0.1,6.4,0.1,6.1,0.1,7.3,0.1,7.4,0.1,7.3,0.1,10.3,0.1,10.1,0.1,10.4,0.1,8.2,0.1,8.3,0.1,8.1,0.1,6.5,0.1,6.8,0.1,6.3,0.1,5.1,0.2,4.9,0.2,5.3,0.3
    30 to 34 years,7.8,0.1,8.1,0.1,7.6,0.1,6.9,0.1,7.0,0.1,6.9,0.1,7.4,0.1,7.3,0.1,7.4,0.1,9.0,0.1,9.3,0.1,8.7,0.2,7.8,0.1,7.9,0.1,7.8,0.1,7.3,0.1,7.4,0.1,7.2,0.1,7.4,0.1,7.1,0.1,7.7,0.1
    35 to 39 years,7.2,0.3,7.3,0.3,7.1,0.3,7.1,0.3,7.0,0.5,7.1,0.3,8.0,0.4,7.8,0.5,8.1,0.4,7.4,0.4,7.5,0.6,7.3,0.5,7.3,0.2,7.3,0.3,7.3,0.3,7.6,0.3,7.6,0.5,7.6,0.4,8.3,0.5,7.5,0.7,9.1,0.7
    40 to 44 years,7.6,0.2,7.7,0.3,7.5,0.3,6.8,0.3,6.9,0.5,6.7,0.3,7.4,0.4,7.5,0.5,7.3,0.4,6.4,0.5,6.9,0.6,6.0,0.6,6.7,0.2,6.7,0.3,6.7,0.3,7.0,0.3,6.8,0.5,7.1,0.4,9.1,0.5,9.9,0.7,8.4,0.7
    45 to 49 years,7.2,0.1,7.2,0.1,7.2,0.1,7.1,0.1,7.0,0.1,7.3,0.1,7.4,0.1,7.4,0.1,7.4,0.1,6.1,0.1,6.2,0.1,5.9,0.1,6.5,0.1,6.6,0.1,6.4,0.1,7.4,0.1,7.3,0.1,7.5,0.1,8.3,0.1,8.4,0.1,8.3,0.1
    50 to 54 years,7.1,0.1,7.2,0.1,7.0,0.1,7.3,0.1,7.2,0.1,7.5,0.1,7.1,0.1,7.1,0.1,7.1,0.1,6.4,0.1,6.4,0.1,6.3,0.1,6.5,0.1,6.5,0.1,6.4,0.1,7.5,0.1,7.4,0.1,7.6,0.1,7.6,0.1,7.8,0.1,7.3,0.1
    55 to 59 years,6.4,0.2,6.3,0.3,6.5,0.3,6.8,0.2,7.0,0.3,6.6,0.3,6.3,0.3,6.1,0.4,6.4,0.4,6.3,0.4,6.3,0.6,6.3,0.4,5.8,0.2,5.7,0.2,5.9,0.2,6.6,0.3,6.5,0.4,6.7,0.3,5.2,0.4,5.1,0.5,5.2,0.6
    60 to 64 years,5.2,0.2,5.1,0.3,5.3,0.3,6.2,0.2,5.7,0.3,6.6,0.3,4.7,0.3,4.6,0.4,4.9,0.4,5.4,0.4,5.1,0.6,5.6,0.4,4.8,0.2,4.7,0.2,5.0,0.2,6.0,0.3,5.9,0.4,6.1,0.3,4.4,0.4,4.5,0.5,4.4,0.6
    65 to 69 years,4.0,0.1,3.7,0.2,4.4,0.2,4.6,0.2,4.5,0.3,4.6,0.3,3.8,0.2,3.3,0.3,4.2,0.2,3.9,0.2,3.7,0.3,4.2,0.3,3.6,0.1,3.3,0.2,3.8,0.2,4.5,0.2,4.3,0.2,4.8,0.2,3.1,0.3,2.8,0.3,3.3,0.4
    70 to 74 years,3.0,0.1,2.8,0.2,3.2,0.2,3.4,0.2,3.0,0.3,3.7,0.3,2.6,0.2,2.7,0.3,2.5,0.2,2.6,0.2,2.4,0.3,2.7,0.3,2.3,0.1,2.1,0.2,2.5,0.2,2.8,0.2,2.8,0.2,2.8,0.2,2.2,0.3,2.2,0.4,2.2,0.4
    75 to 79 years,2.2,0.1,2.0,0.2,2.4,0.2,2.4,0.2,2.2,0.2,2.7,0.3,1.7,0.1,1.4,0.2,2.0,0.2,1.8,0.2,1.5,0.2,2.1,0.3,1.7,0.1,1.5,0.1,1.9,0.2,1.9,0.1,1.7,0.2,2.0,0.2,1.6,0.2,1.2,0.3,1.9,0.3
    80 to 84 years,1.5,0.1,1.2,0.1,1.8,0.2,1.7,0.2,1.5,0.2,1.8,0.2,1.2,0.1,1.0,0.2,1.3,0.2,1.3,0.2,1.1,0.2,1.6,0.2,1.1,0.1,0.9,0.1,1.4,0.1,1.4,0.1,1.2,0.2,1.5,0.2,0.8,0.2,0.7,0.2,0.8,0.3
    85 years and over,1.8,0.1,1.3,0.1,2.2,0.2,2.0,0.2,1.3,0.2,2.6,0.3,1.0,0.1,0.6,0.1,1.4,0.2,1.5,0.2,1.0,0.2,1.9,0.3,1.2,0.1,0.8,0.1,1.5,0.1,1.3,0.1,0.9,0.2,1.7,0.2,0.7,0.2,0.5,0.2,0.9,0.3
SELECTED AGE CATEGORIES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
