label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
Total population,1924379,*****,N/A,N/A,974741,256,N/A,N/A,949638,256,N/A,N/A,1047661,*****,N/A,N/A,506468,175,N/A,N/A,541193,175,N/A,N/A,1091662,48,N/A,N/A,531038,110,N/A,N/A,560624,105,N/A,N/A,690540,*****,N/A,N/A,332527,101,N/A,N/A,358013,101,N/A,N/A,2622634,*****,N/A,N/A,1293295,124,N/A,N/A,1329339,124,N/A,N/A,1149439,*****,N/A,N/A,570272,83,N/A,N/A,579167,83,N/A,N/A,405312,*****,N/A,N/A,201277,60,N/A,N/A,204035,60,N/A,N/A
    AGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
        Under 5 years,113558,281,5.9,0.1,58467,294,6.0,0.1,55091,226,5.8,0.1,65340,65,6.2,0.1,33244,70,6.6,0.1,32096,68,5.9,0.1,67034,33,6.1,0.1,34311,31,6.5,0.1,32723,45,5.8,0.1,46061,21,6.7,0.1,23406,24,7.0,0.1,22655,17,6.3,0.1,193941,105,7.4,0.1,99162,53,7.7,0.1,94779,117,7.1,0.1,73703,37,6.4,0.1,37785,50,6.6,0.1,35918,47,6.2,0.1,28451,8,7.0,0.1,14411,28,7.2,0.1,14040,26,6.9,0.1
        5 to 9 years,116187,1859,6.0,0.1,60081,1310,6.2,0.1,56106,1408,5.9,0.1,66083,1573,6.3,0.2,33532,1135,6.6,0.2,32551,1046,6.0,0.2,72492,1730,6.6,0.2,37385,1200,7.0,0.2,35107,1272,6.3,0.2,38531,1302,5.6,0.2,18746,893,5.6,0.3,19785,901,5.5,0.3,187344,2946,7.1,0.1,94629,2009,7.3,0.2,92715,1877,7.0,0.1,74741,1655,6.5,0.1,38883,1184,6.8,0.2,35858,969,6.2,0.2,32027,936,7.9,0.2,16185,683,8.0,0.3,15842,728,7.8,0.4
        10 to 14 years,121890,1856,6.3,0.1,62244,1304,6.4,0.1,59646,1407,6.3,0.1,70441,1593,6.7,0.2,36701,1125,7.2,0.2,33740,1047,6.2,0.2,76241,1734,7.0,0.2,38196,1200,7.2,0.2,38045,1278,6.8,0.2,38572,1295,5.6,0.2,20115,894,6.0,0.3,18457,898,5.2,0.3,194032,2947,7.4,0.1,99756,2022,7.7,0.2,94276,1870,7.1,0.1,75944,1662,6.6,0.1,38489,1195,6.7,0.2,37455,988,6.5,0.2,34376,932,8.5,0.2,17714,683,8.8,0.3,16662,725,8.2,0.4
        15 to 19 years,114160,115,5.9,0.1,58505,138,6.0,0.1,55655,122,5.9,0.1,64066,47,6.1,0.1,32560,39,6.4,0.1,31506,64,5.8,0.1,75511,116,6.9,0.1,38239,98,7.2,0.1,37272,54,6.6,0.1,38801,148,5.6,0.1,19470,105,5.9,0.1,19331,102,5.4,0.1,177706,124,6.8,0.1,90283,63,7.0,0.1,87423,110,6.6,0.1,73168,108,6.4,0.1,37462,106,6.6,0.1,35706,104,6.2,0.1,28574,25,7.0,0.1,14521,29,7.2,0.1,14053,19,6.9,0.1
        20 to 24 years,117877,114,6.1,0.1,61802,92,6.3,0.1,56075,73,5.9,0.1,59411,99,5.7,0.1,29810,88,5.9,0.1,29601,82,5.5,0.1,68797,157,6.3,0.1,34221,102,6.4,0.1,34576,142,6.2,0.1,49856,164,7.2,0.1,23643,95,7.1,0.1,26213,129,7.3,0.1,182940,100,7.0,0.1,92072,68,7.1,0.1,90868,88,6.8,0.1,68523,130,6.0,0.1,34601,92,6.1,0.1,33922,85,5.9,0.1,20830,57,5.1,0.1,10514,30,5.2,0.1,10316,45,5.1,0.1
        25 to 29 years,155965,*****,8.1,*****,84712,*****,8.7,0.1,71253,*****,7.5,0.1,63021,97,6.0,0.1,31627,88,6.2,0.1,31394,48,5.8,0.1,80458,145,7.4,0.1,39726,124,7.5,0.1,40732,69,7.3,0.1,73645,155,10.7,0.1,34983,90,10.5,0.1,38662,126,10.8,0.1,225513,75,8.6,0.1,112544,33,8.7,0.1,112969,70,8.5,0.1,74072,156,6.4,0.1,38287,113,6.7,0.1,35785,101,6.2,0.1,20132,56,5.0,0.1,10032,33,5.0,0.1,10100,35,5.0,0.1
        30 to 34 years,156698,*****,8.1,*****,83617,*****,8.6,0.1,73081,*****,7.7,0.1,69708,122,6.7,0.1,33972,71,6.7,0.1,35736,94,6.6,0.1,81280,140,7.4,0.1,39426,5,7.4,0.1,41854,140,7.5,0.1,66284,134,9.6,0.1,32687,33,9.8,0.1,33597,133,9.4,0.1,208613,73,8.0,0.1,105123,47,8.1,0.1,103490,65,7.8,0.1,79452,112,6.9,0.1,40335,70,7.1,0.1,39117,97,6.8,0.1,27685,72,6.8,0.1,13151,40,6.5,0.1,14534,45,7.1,0.1
        35 to 39 years,143104,2402,7.4,0.1,74825,1628,7.7,0.2,68279,1519,7.2,0.2,73295,1614,7.0,0.2,35311,1101,7.0,0.2,37984,1109,7.0,0.2,81130,2012,7.4,0.2,40267,1508,7.6,0.3,40863,1239,7.3,0.2,51323,1496,7.4,0.2,24789,901,7.5,0.3,26534,956,7.4,0.3,187035,2355,7.1,0.1,93086,2039,7.2,0.2,93949,1722,7.1,0.1,87059,1619,7.6,0.1,42762,1254,7.5,0.2,44297,1004,7.6,0.2,34153,1175,8.4,0.3,16021,761,8.0,0.4,18132,869,8.9,0.4
        40 to 44 years,135007,2403,7.0,0.1,68152,1628,7.0,0.2,66855,1519,7.0,0.2,70626,1616,6.7,0.2,34369,1095,6.8,0.2,36257,1080,6.7,0.2,81789,2012,7.5,0.2,38751,1508,7.3,0.3,43038,1241,7.7,0.2,43337,1482,6.3,0.2,22489,898,6.8,0.3,20848,943,5.8,0.3,173303,2355,6.6,0.1,85950,2040,6.6,0.2,87353,1719,6.6,0.1,78377,1589,6.8,0.1,38960,1250,6.8,0.2,39417,981,6.8,0.2,35059,1173,8.6,0.3,17979,750,8.9,0.4,17080,869,8.4,0.4
        45 to 49 years,134779,94,7.0,0.1,67825,*****,7.0,0.1,66954,92,7.1,0.1,72583,105,6.9,0.1,34770,84,6.9,0.1,37813,68,7.0,0.1,81226,48,7.4,0.1,39948,4,7.5,0.1,41278,47,7.4,0.1,40695,116,5.9,0.1,20137,65,6.1,0.1,20558,97,5.7,0.1,167076,49,6.4,0.1,81916,16,6.3,0.1,85160,44,6.4,0.1,82701,118,7.2,0.1,40597,21,7.1,0.1,42104,113,7.3,0.1,34038,48,8.4,0.1,17436,41,8.7,0.1,16602,25,8.1,0.1
        50 to 54 years,128417,94,6.7,0.1,65242,*****,6.7,0.1,63175,93,6.7,0.1,73284,214,7.0,0.1,34944,195,6.9,0.1,38340,90,7.1,0.1,74274,53,6.8,0.1,36300,31,6.8,0.1,37974,25,6.8,0.1,39679,125,5.7,0.1,19471,75,5.9,0.1,20208,103,5.6,0.1,158339,62,6.0,0.1,78792,50,6.1,0.1,79547,43,6.0,0.1,80566,34,7.0,0.1,39477,21,6.9,0.1,41089,24,7.1,0.1,29809,44,7.4,0.1,15040,23,7.5,0.1,14769,37,7.2,0.1
        55 to 59 years,122505,1699,6.4,0.1,60665,1166,6.2,0.1,61840,1234,6.5,0.1,73351,1571,7.0,0.1,34930,990,6.9,0.2,38421,1041,7.1,0.2,67600,1643,6.2,0.2,32432,1069,6.1,0.2,35168,1042,6.3,0.2,43065,1088,6.2,0.2,19337,754,5.8,0.2,23728,823,6.6,0.2,153639,2461,5.9,0.1,75725,1756,5.9,0.1,77914,1783,5.9,0.1,78033,1362,6.8,0.1,37934,943,6.7,0.2,40099,939,6.9,0.2,24552,732,6.1,0.2,12642,494,6.3,0.2,11910,496,5.8,0.2
        60 to 64 years,104244,1699,5.4,0.1,52702,1166,5.4,0.1,51542,1234,5.4,0.1,64038,1569,6.1,0.1,30314,989,6.0,0.2,33724,1039,6.2,0.2,56697,1666,5.2,0.2,26871,1083,5.1,0.2,29826,1042,5.3,0.2,35943,1091,5.2,0.2,17464,759,5.3,0.2,18479,815,5.2,0.2,131692,2450,5.0,0.1,63014,1754,4.9,0.1,68678,1789,5.2,0.1,67768,1364,5.9,0.1,33560,948,5.9,0.2,34208,935,5.9,0.2,17607,737,4.3,0.2,8633,498,4.3,0.2,8974,497,4.4,0.2
        65 to 69 years,83532,1377,4.3,0.1,40060,917,4.1,0.1,43472,840,4.6,0.1,53682,1277,5.1,0.1,25133,825,5.0,0.2,28549,917,5.3,0.2,44885,1359,4.1,0.1,20145,886,3.8,0.2,24740,800,4.4,0.1,30575,894,4.4,0.1,13693,588,4.1,0.2,16882,685,4.7,0.2,101221,1829,3.9,0.1,46803,1081,3.6,0.1,54418,1216,4.1,0.1,53987,1362,4.7,0.1,25799,795,4.5,0.1,28188,910,4.9,0.2,12692,543,3.1,0.1,5990,377,3.0,0.2,6702,444,3.3,0.2
        70 to 74 years,61207,1368,3.2,0.1,27231,917,2.8,0.1,33976,839,3.6,0.1,38474,1274,3.7,0.1,17099,827,3.4,0.2,21375,907,3.9,0.2,34203,1353,3.1,0.1,15511,880,2.9,0.2,18692,792,3.3,0.1,21158,900,3.1,0.1,9618,587,2.9,0.2,11540,693,3.2,0.2,71230,1833,2.7,0.1,31409,1083,2.4,0.1,39821,1217,3.0,0.1,40200,1367,3.5,0.1,18844,799,3.3,0.1,21356,911,3.7,0.2,10059,542,2.5,0.1,4624,377,2.3,0.2,5435,439,2.7,0.2
        75 to 79 years,45079,1297,2.3,0.1,21240,910,2.2,0.1,23839,925,2.5,0.1,27769,1041,2.7,0.1,11779,681,2.3,0.1,15990,732,3.0,0.1,20142,1362,1.8,0.1,8741,690,1.6,0.1,11401,882,2.0,0.2,14206,866,2.1,0.1,6232,455,1.9,0.1,7974,636,2.2,0.2,45842,1324,1.7,0.1,19837,928,1.5,0.1,26005,766,2.0,0.1,27329,1041,2.4,0.1,12893,647,2.3,0.1,14436,667,2.5,0.1,6189,394,1.5,0.1,2592,223,1.3,0.1,3597,325,1.8,0.2
        80 to 84 years,32202,1195,1.7,0.1,13198,714,1.4,0.1,19004,839,2.0,0.1,19323,1058,1.8,0.1,8056,529,1.6,0.1,11267,785,2.1,0.1,12282,917,1.1,0.1,4938,535,0.9,0.1,7344,593,1.3,0.1,9265,792,1.3,0.1,3446,435,1.0,0.1,5819,634,1.6,0.2,30466,1326,1.2,0.1,11719,784,0.9,0.1,18747,1001,1.4,0.1,16683,849,1.5,0.1,7319,628,1.3,0.1,9364,602,1.6,0.1,4755,421,1.2,0.1,2040,283,1.0,0.1,2715,346,1.3,0.2
        85 years and over,37968,1173,2.0,0.1,14173,714,1.5,0.1,23795,911,2.5,0.1,23166,1178,2.2,0.1,8317,608,1.6,0.1,14849,899,2.7,0.2,15621,1774,1.4,0.2,5630,875,1.1,0.2,9991,1052,1.8,0.2,9544,795,1.4,0.1,2801,435,0.8,0.1,6743,607,1.9,0.2,32702,1268,1.2,0.1,11475,839,0.9,0.1,21227,1004,1.6,0.1,17133,909,1.5,0.1,6285,478,1.1,0.1,10848,671,1.9,0.1,4324,426,1.1,0.1,1752,276,0.9,0.1,2572,310,1.3,0.2
    SELECTED AGE CATEGORIES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
        5 to 14 years,238077,280,12.4,0.1,122325,280,12.5,0.1,115752,*****,12.2,0.1,136524,66,13.0,0.1,70233,122,13.9,0.1,66291,112,12.2,0.1,148733,62,13.6,0.1,75581,46,14.2,0.1,73152,51,13.0,0.1,77103,83,11.2,0.1,38861,78,11.7,0.1,38242,88,10.7,0.1,381376,85,14.5,0.1,194385,73,15.0,0.1,186991,43,14.1,0.1,150685,96,13.1,0.1,77372,53,13.6,0.1,73313,99,12.7,0.1,66403,23,16.4,0.1,33899,4,16.8,0.1,32504,23,15.9,0.1
        15 to 17 years,70353,*****,3.7,*****,35931,100,3.7,0.1,34422,100,3.6,0.1,41625,6,4.0,0.1,21012,39,4.1,0.1,20613,40,3.8,0.1,45135,22,4.1,0.1,22822,11,4.3,0.1,22313,15,4.0,0.1,20683,86,3.0,0.1,10491,76,3.2,0.1,10192,64,2.8,0.1,110501,66,4.2,0.1,55941,5,4.3,0.1,54560,65,4.1,0.1,45839,96,4.0,0.1,23399,61,4.1,0.1,22440,104,3.9,0.1,19236,9,4.7,0.1,9688,18,4.8,0.1,9548,18,4.7,0.1
        Under 18 years,421988,*****,21.9,*****,216723,256,22.2,0.1,205265,256,21.6,0.1,243489,*****,23.2,*****,124489,137,24.6,0.1,119000,137,22.0,0.1,260902,90,23.9,0.1,132714,56,25.0,0.1,128188,87,22.9,0.1,143847,*****,20.8,*****,72758,98,21.9,0.1,71089,99,19.9,0.1,685818,*****,26.1,*****,349488,91,27.0,0.1,336330,92,25.3,0.1,270227,*****,23.5,*****,138556,77,24.3,0.1,131671,76,22.7,0.1,114090,25,28.1,0.1,57998,32,28.8,0.1,56092,42,27.5,0.1
        18 to 24 years,161684,*****,8.4,*****,84376,*****,8.7,0.1,77308,*****,8.1,0.1,81852,104,7.8,0.1,41358,89,8.2,0.1,40494,80,7.5,0.1,99173,137,9.1,0.1,49638,84,9.3,0.1,49535,130,8.8,0.1,67974,173,9.8,0.1,32622,118,9.8,0.1,35352,128,9.9,0.1,250145,49,9.5,0.1,126414,44,9.8,0.1,123731,13,9.3,0.1,95852,121,8.3,0.1,48664,109,8.5,0.1,47188,53,8.1,0.1,30168,55,7.4,0.1,15347,36,7.6,0.1,14821,46,7.3,0.1
