label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
HOUSING OCCUPANCY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,703922,254,703922,N/A,406718,158,406718,N/A,512256,323,512256,N/A,372293,401,372293,N/A,1079042,1242,1079042,N/A,431006,633,431006,N/A,149238,74,149238,N/A
        Occupied housing units,665549,3723,94.5,0.5,392629,2507,96.5,0.6,481294,4227,94.0,0.8,341597,3999,91.8,1.1,993312,5968,92.1,0.5,414946,2811,96.3,0.6,145601,1354,97.6,0.9
        Vacant housing units,38373,3675,5.5,0.5,14089,2548,3.5,0.6,30962,4267,6.0,0.8,30696,3973,8.2,1.1,85730,5885,7.9,0.5,16060,2779,3.7,0.6,3637,1367,2.4,0.9
        Homeowner vacancy rate,0.5,0.2,N/A,N/A,0.3,0.2,N/A,N/A,0.4,0.2,N/A,N/A,1.8,0.8,N/A,N/A,0.8,0.2,N/A,N/A,0.4,0.2,N/A,N/A,0.0,0.2,N/A,N/A
        Rental vacancy rate,4.8,0.8,N/A,N/A,2.9,1.1,N/A,N/A,7.4,1.6,N/A,N/A,6.5,1.3,N/A,N/A,9.7,0.8,N/A,N/A,4.2,1.1,N/A,N/A,4.0,2.5,N/A,N/A
UNITS IN STRUCTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,703922,254,703922,N/A,406718,158,406718,N/A,512256,323,512256,N/A,372293,401,372293,N/A,1079042,1242,1079042,N/A,431006,633,431006,N/A,149238,74,149238,N/A
        1-unit detached,354857,5247,50.4,0.7,191194,4240,47.0,1.0,301116,5841,58.8,1.1,180319,6801,48.4,1.8,551541,7076,51.1,0.7,194451,4619,45.1,1.1,74767,3006,50.1,2.0
        1-unit attached,75341,3934,10.7,0.6,71518,3932,17.6,1.0,62046,4344,12.1,0.8,36614,3907,9.8,1.0,41008,3596,3.8,0.3,96542,4090,22.4,1.0,47315,3327,31.7,2.2
        2 units,9437,1912,1.3,0.3,3456,1146,0.8,0.3,4802,1389,0.9,0.3,15177,2887,4.1,0.8,13287,2310,1.2,0.2,3135,913,0.7,0.2,1343,607,0.9,0.4
        3 or 4 units,37027,3602,5.3,0.5,5308,1243,1.3,0.3,11474,2405,2.2,0.5,10758,2746,2.9,0.7,49000,4915,4.5,0.5,5613,1425,1.3,0.3,1126,631,0.8,0.4
        5 to 9 units,35605,3331,5.1,0.5,20104,3046,4.9,0.7,21854,3479,4.3,0.7,19625,2848,5.3,0.8,76641,5719,7.1,0.5,21110,2522,4.9,0.6,4565,1223,3.1,0.8
        10 to 19 units,34759,3464,4.9,0.5,29373,3055,7.2,0.8,29977,3521,5.9,0.7,29915,4863,8.0,1.3,85513,6375,7.9,0.6,39896,3882,9.3,0.9,8758,1728,5.9,1.2
        20 or more units,137967,4846,19.6,0.7,84650,3984,20.8,1.0,68189,5146,13.3,1.0,73688,4864,19.8,1.3,244401,9121,22.6,0.8,67811,3779,15.7,0.9,10439,1586,7.0,1.1
        Mobile home,17619,1793,2.5,0.3,1115,701,0.3,0.2,12685,2595,2.5,0.5,5555,1798,1.5,0.5,17259,3147,1.6,0.3,2191,1236,0.5,0.3,925,859,0.6,0.6
        Boat RV van etc.,1310,899,0.2,0.1,0,225,0.0,0.1,113,139,0.0,0.1,642,487,0.2,0.1,392,419,0.0,0.1,257,296,0.1,0.1,0,216,0.0,0.1
YEAR STRUCTURE BUILT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,703922,254,703922,N/A,406718,158,406718,N/A,512256,323,512256,N/A,372293,401,372293,N/A,1079042,1242,1079042,N/A,431006,633,431006,N/A,149238,74,149238,N/A
        Built 2020 or later,13847,1934,2.0,0.3,8365,1713,2.1,0.4,35265,3266,6.9,0.6,30537,3634,8.2,1.0,33438,3508,3.1,0.3,7714,1528,1.8,0.4,6463,1399,4.3,0.9
        Built 2010 to 2019,69081,4813,9.8,0.7,37972,3270,9.3,0.8,110920,5669,21.7,1.1,59459,4569,16.0,1.2,146030,6709,13.5,0.6,34140,3002,7.9,0.7,34786,2840,23.3,1.9
        Built 2000 to 2009,64816,3996,9.2,0.6,42498,4054,10.4,1.0,127262,5923,24.8,1.2,49150,4420,13.2,1.2,137671,6864,12.8,0.6,46469,3010,10.8,0.7,47595,2390,31.9,1.6
        Built 1990 to 1999,63415,4154,9.0,0.6,40693,3122,10.0,0.8,85448,5092,16.7,1.0,34292,3805,9.2,1.0,107939,5118,10.0,0.5,58076,3630,13.5,0.8,28431,2284,19.1,1.5
        Built 1980 to 1989,79551,4005,11.3,0.6,81004,4087,19.9,1.0,66406,4501,13.0,0.9,51396,4821,13.8,1.3,178173,9262,16.5,0.9,97311,4051,22.6,0.9,13255,1801,8.9,1.2
        Built 1970 to 1979,139826,4862,19.9,0.7,55824,3839,13.7,0.9,39145,3406,7.6,0.7,44903,4114,12.1,1.1,164877,7554,15.3,0.7,82858,4232,19.2,1.0,10476,1767,7.0,1.2
        Built 1960 to 1969,125699,5624,17.9,0.8,56261,3907,13.8,1.0,24156,3025,4.7,0.6,33953,3852,9.1,1.0,130256,6176,12.1,0.6,55521,3282,12.9,0.8,2484,776,1.7,0.5
        Built 1950 to 1959,92344,4646,13.1,0.7,45347,3069,11.1,0.8,11933,2026,2.3,0.4,32795,3722,8.8,1.0,112847,5055,10.5,0.5,34027,2899,7.9,0.7,1971,899,1.3,0.6
        Built 1940 to 1949,21940,2370,3.1,0.3,21531,2246,5.3,0.6,4299,1158,0.8,0.2,12974,2097,3.5,0.6,30731,3089,2.8,0.3,7154,1463,1.7,0.3,697,262,0.5,0.2
        Built 1939 or earlier,33403,3117,4.7,0.4,17223,2024,4.2,0.5,7422,1223,1.4,0.2,22834,2757,6.1,0.7,37080,3344,3.4,0.3,7736,1671,1.8,0.4,3080,975,2.1,0.7
ROOMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Total housing units,703922,254,703922,N/A,406718,158,406718,N/A,512256,323,512256,N/A,372293,401,372293,N/A,1079042,1242,1079042,N/A,431006,633,431006,N/A,149238,74,149238,N/A
        1 room,39733,3872,5.6,0.5,12285,2163,3.0,0.5,10515,2216,2.1,0.4,14073,2565,3.8,0.7,43077,4395,4.0,0.4,8795,1924,2.0,0.4,2063,898,1.4,0.6
        2 rooms,45838,3838,6.5,0.5,18709,2557,4.6,0.6,18790,2711,3.7,0.5,25112,4035,6.7,1.1,80161,6402,7.4,0.6,15634,1877,3.6,0.4,1983,815,1.3,0.5
        3 rooms,91950,5037,13.1,0.7,42580,4355,10.5,1.1,49717,4322,9.7,0.8,46703,4488,12.5,1.2,156552,8372,14.5,0.8,43363,3661,10.1,0.9,8791,1633,5.9,1.1
