county_name,2017_naics_code_naics2017,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
Santa Clara County California,0,2022,48879,197736555,46790812,1133633
Santa Clara County California,0,2022,26787,N,N,N
Santa Clara County California,0,2022,8551,N,N,N
Santa Clara County California,0,2022,6103,N,N,N
Santa Clara County California,0,2022,4343,N,N,N
Santa Clara County California,0,2022,1585,N,N,N
Santa Clara County California,0,2022,936,N,N,N
Santa Clara County California,0,2022,316,N,N,N
Santa Clara County California,0,2022,151,N,N,N
Santa Clara County California,0,2022,107,N,N,N
Santa Clara County California,0,2022,34,N,N,N
Santa Clara County California,0,2022,37,N,N,N
Santa Clara County California,0,2022,24,N,N,N
Santa Clara County California,0,2022,12,N,N,N
Santa Clara County California,11,2022,28,14854,3585,309
Santa Clara County California,11,2022,15,N,N,N
Santa Clara County California,11,2022,7,N,N,N
Santa Clara County California,11,2022,3,N,N,N
Santa Clara County California,21,2022,9,15446,3536,131
Santa Clara County California,21,2022,4,N,N,N
Santa Clara County California,22,2022,31,423162,106607,2807
Santa Clara County California,22,2022,15,N,N,N
Santa Clara County California,22,2022,4,N,N,N
Santa Clara County California,22,2022,5,N,N,N
Santa Clara County California,23,2022,3895,5137309,1206266,51336
Santa Clara County California,23,2022,2348,N,N,N
Santa Clara County California,23,2022,665,N,N,N
Santa Clara County California,23,2022,424,N,N,N
Santa Clara County California,23,2022,288,N,N,N
Santa Clara County California,23,2022,101,N,N,N
Santa Clara County California,23,2022,45,N,N,N
Santa Clara County California,23,2022,11,N,N,N
Santa Clara County California,31-33,2022,2026,13646935,3791212,95402
Santa Clara County California,31-33,2022,806,N,N,N
Santa Clara County California,31-33,2022,336,N,N,N
Santa Clara County California,31-33,2022,334,N,N,N
Santa Clara County California,31-33,2022,274,N,N,N
Santa Clara County California,31-33,2022,134,N,N,N
Santa Clara County California,31-33,2022,82,N,N,N
Santa Clara County California,31-33,2022,30,N,N,N
Santa Clara County California,31-33,2022,13,N,N,N
Santa Clara County California,31-33,2022,17,N,N,N
Santa Clara County California,31-33,2022,6,N,N,N
Santa Clara County California,31-33,2022,5,N,N,N
Santa Clara County California,42,2022,2143,16967899,4467573,77955
Santa Clara County California,42,2022,1143,N,N,N
Santa Clara County California,42,2022,367,N,N,N
Santa Clara County California,42,2022,253,N,N,N
Santa Clara County California,42,2022,194,N,N,N
