year,county,median_value_dollars
2010,Santa Clara County California,639400
2010,Montgomery County Maryland,447200
2010,Wake County North Carolina,232800
2010,Davidson County Tennessee,172500
2010,Dallas County Texas,129300
2010,Fairfax County Virginia,462000
2010,Loudoun County Virginia,447100
2015,Santa Clara County California,836800
2015,Montgomery County Maryland,474900
2015,Wake County North Carolina,252500
2015,Davidson County Tennessee,188200
2015,Dallas County Texas,145800
2015,Fairfax County Virginia,544900
2015,Loudoun County Virginia,477700
2020,Santa Clara County California,1061900
2020,Montgomery County Maryland,491700
2020,Wake County North Carolina,301600
2020,Davidson County Tennessee,267400
2020,Dallas County Texas,193900
2020,Fairfax County Virginia,576700
2020,Loudoun County Virginia,534600
2023,Santa Clara County California,1443100
2023,Montgomery County Maryland,636200
2023,Wake County North Carolina,482100
2023,Davidson County Tennessee,437700
2023,Dallas County Texas,319100
2023,Fairfax County Virginia,727200
2023,Loudoun County Virginia,734700
