label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
HOUSING OCCUPANCY,NA,NA,NA,NA,NA,NA,NA
Total housing units,631955,376023,372737,284263,943876,408079,109955
Occupied housing units,599235,359476,338054,249899,843416,389415,102979
Vacant housing units,32720,16547,34683,34364,100460,18664,6976
Homeowner vacancy rate,1.8,1.1,2.4,4.1,2.3,1.3,1.5
Rental vacancy rate,4.1,2.7,9.9,7.4,11.1,3.6,2.1
UNITS IN STRUCTURE,NA,NA,NA,NA,NA,NA,NA
1-unit detached,332653,180356,227378,149992,521699,199487,62160
1-unit attached,68576,68918,35010,23537,38986,92106,28881
2 units,14314,1960,5054,15836,11894,1333,480
3 or 4 units,38225,4299,10015,9496,35178,4376,1269
5 to 9 units,35293,18940,23983,14697,90682,20921,3475
10 to 19 units,31079,37738,30181,27791,98158,40151,7351
20 or more units,92993,63538,28469,38924,131124,47626,5597
Mobile home,18161,274,12647,3990,15952,1960,661
Boat RV van etc.,661,0,0,0,203,119,81
YEAR STRUCTURE BUILT,NA,NA,NA,NA,NA,NA,NA
Built 2005 or later,27044,16890,57044,19863,58497,20313,17044
Built 2000 to 2004,37364,25256,64024,23323,79081,32256,28061
Built 1990 to 1999,66881,46142,87755,32833,107209,64015,29566
Built 1980 to 1989,75301,85165,66293,45869,186357,94585,13117
Built 1970 to 1979,142515,62942,41964,56239,177810,79680,9905
Built 1960 to 1969,125418,57432,24092,37200,141678,57943,4944
Built 1950 to 1959,97176,46205,16086,32554,115521,44315,1729
Built 1940 to 1949,26180,19389,7646,14832,40637,10221,1347
Built 1939 or earlier,34076,16602,7833,21550,37086,4751,4242
ROOMS,NA,NA,NA,NA,NA,NA,NA
1 room,18306,3706,4268,5392,19263,3789,542
2 rooms,25842,9152,7586,5177,24263,10861,2242
3 rooms,77744,38608,29642,29784,144418,35148,6061
4 rooms,122207,52457,59866,60109,171198,47614,8816
5 rooms,113419,44566,62916,57996,179302,48017,11011
6 rooms,108419,45991,58007,47588,175025,48910,14520
7 rooms,77656,41434,47210,30591,94425,51323,14075
8 rooms,46464,41895,38393,20116,63907,51650,13647
9 rooms or more,41898,98214,64849,27510,72075,110767,39041
Median rooms,5.1,6.4,5.9,5.2,5.1,6.7,7.3
BEDROOMS,NA,NA,NA,NA,NA,NA,NA
No bedroom,19944,5120,4653,5775,20487,4246,542
1 bedroom,89100,49696,34341,39814,186362,42267,6220
2 bedrooms,162836,78255,85233,93739,238204,79897,16016
3 bedrooms,202224,107770,148674,104886,339555,118271,35770
4 bedrooms,122330,88870,79473,32134,136071,112261,36834
5 or more bedrooms,35521,46312,20363,7915,23197,51137,14573
HOUSING TENURE,NA,NA,NA,NA,NA,NA,NA
Owner-occupied,342955,238022,224624,135598,448918,272224,80627
Renter-occupied,256280,121454,113430,114301,394498,117191,22352
Average household size of owner-occupied unit,3.01,2.84,2.75,2.49,2.93,2.81,3.16
Average household size of renter-occupied unit,2.86,2.42,2.37,2.31,2.6,2.65,2.63
YEAR HOUSEHOLDER MOVED INTO UNIT,NA,NA,NA,NA,NA,NA,NA
Moved in 2005 or later,282245,156028,190593,143820,465673,172989,57823
Moved in 2000 to 2004,101772,66425,61962,35713,132991,77495,22948
Moved in 1990 to 1999,101476,68551,51726,35918,128011,73445,15679
Moved in 1980 to 1989,50775,37132,17772,14614,52437,38816,4286
Moved in 1970 to 1979,35403,17853,10232,10609,36573,17110,1553
Moved in 1969 or earlier,27564,13487,5769,9225,27731,9560,690
VEHICLES AVAILABLE,NA,NA,NA,NA,NA,NA,NA
No vehicles available,31267,29180,15887,20302,57890,15531,2944
1 vehicle available,168953,117835,110880,101683,335530,116197,21776
2 vehicles available,249590,141797,144133,90348,314965,168487,50520
3 or more vehicles available,149425,70664,67154,37566,135031,89200,27739
HOUSE HEATING FUEL,NA,NA,NA,NA,NA,NA,NA
Utility gas,401603,204759,147026,85865,326318,226402,63069
Bottled tank or LP gas,8862,2816,16502,3090,5117,5065,5739
Electricity,178541,136695,171229,159045,509682,145688,28775
Fuel oil kerosene etc.,462,13888,1575,380,174,10387,3816
Coal or coke,0,0,0,0,0,0,0
Wood,1887,412,1091,674,417,613,1070
Solar energy,850,0,0,61,44,0,61
Other fuel,1238,427,132,223,258,514,223
No fuel used,5792,479,499,561,1406,746,226
SELECTED CHARACTERISTICS,NA,NA,NA,NA,NA,NA,NA
Lacking complete plumbing facilities,3645,1527,776,189,4247,1590,548
Lacking complete kitchen facilities,6765,2955,1703,1028,7170,2292,757
No telephone service available,10027,5286,6511,4920,17779,4533,894
OCCUPANTS PER ROOM,NA,NA,NA,NA,NA,NA,NA
1.00 or less,551916,350327,330284,243125,783874,377798,101545
1.01 to 1.50,32292,6763,6206,4225,42260,8054,1265
1.51 or more,15027,2386,1564,2549,17282,3563,169
VALUE,NA,NA,NA,NA,NA,NA,NA
Owner-occupied units,342955,238022,224624,135598,448918,272224,80627
Less than $50000,7522,1800,6275,3506,30301,2668,1071
$50000 to $99999,9155,2240,8192,13382,113327,3103,906
$100000 to $149999,4362,4056,33656,35378,119343,6579,2096
$150000 to $199999,5612,9939,41619,31388,63981,8558,2166
$200000 to $299999,16502,33032,61025,24836,57315,35628,10526
$300000 to $499999,70855,88356,53938,18281,37670,97281,30871
$500000 to $999999,161903,79150,17272,5935,19241,103781,30258
$1000000 or more,67044,19449,2647,2892,7740,14626,2733
Median (dollars),639400,447200,232800,172500,129300,462000,447100
MORTGAGE STATUS,NA,NA,NA,NA,NA,NA,NA
Housing units with a mortgage,256276,188428,184459,99978,311935,225962,72843
Housing units without a mortgage,86679,49594,40165,35620,136983,46262,7784
SELECTED MONTHLY OWNER COSTS (SMOC),NA,NA,NA,NA,NA,NA,NA
Less than $300,441,0,216,0,55,128,0
$300 to $499,1586,104,1536,1794,3103,326,408
$500 to $699,2152,1271,4407,3738,10300,1370,239
$700 to $999,4788,5128,18284,18114,39066,6174,1606
$1000 to $1499,16484,20393,62193,37051,115767,26465,4702
$1500 to $1999,28710,31984,45699,21427,69691,37296,7782
$2000 or more,202115,129548,52124,17854,73953,154203,58106
Median (dollars),2994,2498,1552,1366,1443,2468,2766
Less than $100,1051,440,50,141,1006,615,61
$100 to $199,3040,123,1432,1377,3805,680,95
$200 to $299,8855,879,4619,5310,15946,1608,357
$300 to $399,14202,2309,7935,7440,19493,2867,331
$400 or more,59531,45843,26129,21352,96733,40492,6940
Median (dollars),539,740,477,450,527,698,761
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),NA,NA,NA,NA,NA,NA,NA
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),255336,188258,183731,99648,310211,224894,72843
Less than 20.0 percent,61314,64835,74034,34055,107386,90026,21660
20.0 to 24.9 percent,37831,29894,31134,16174,50155,35636,13947
25.0 to 29.9 percent,31228,23658,24304,12866,36860,28240,11662
30.0 to 34.9 percent,27748,17168,13720,9562,27941,21979,8127
35.0 percent or more,97215,52703,40539,26991,87869,49013,17447
Not computed,940,170,728,330,1724,1068,0
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),85119,49093,39783,35270,135379,46100,7734
Less than 10.0 percent,43387,21364,19599,14035,45898,22766,3922
10.0 to 14.9 percent,14242,8649,7305,6780,30191,8953,1636
15.0 to 19.9 percent,8796,5044,3291,5284,17372,4911,513
20.0 to 24.9 percent,5781,4211,2416,2666,11075,2498,342
25.0 to 29.9 percent,2687,2390,1781,1781,8194,2169,115
30.0 to 34.9 percent,2337,1381,1633,1211,5391,978,111
35.0 percent or more,7889,6054,3758,3513,17258,3825,1095
Not computed,1560,501,382,350,1604,162,50
GROSS RENT,NA,NA,NA,NA,NA,NA,NA
Occupied units paying rent,250980,117459,110703,110360,384011,114961,N
Less than $200,1021,2039,1690,2863,5256,2027,N
$200 to $299,5127,1240,2170,2366,4224,605,N
$300 to $499,5300,1572,5175,8749,17951,1707,N
$500 to $749,13324,3953,24699,36505,119461,3533,N
$750 to $999,26134,8622,43244,36308,113779,7203,N
$1000 to $1499,90157,44756,25547,18407,93761,42118,N
$1500 or more,109917,55277,8178,5162,29579,57768,N
Median (dollars),1418,1466,858,776,836,1504,1574
No rent paid,5300,3995,2727,3941,10487,2230,N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),NA,NA,NA,NA,NA,NA,NA
Occupied units paying rent (excluding units where GRAPI cannot be computed),246834,115699,108871,108353,374383,113436,21113
Less than 15.0 percent,36283,8821,11627,9995,44054,15523,2531
15.0 to 19.9 percent,35384,14408,17253,13427,47499,15889,2879
20.0 to 24.9 percent,29917,16713,15393,13793,52580,17011,3121
25.0 to 29.9 percent,27507,13017,14664,12307,43569,14887,3144
30.0 to 34.9 percent,23888,12304,8336,9961,33645,10229,2406
35.0 percent or more,93855,50436,41598,48870,153036,39897,7032
Total housing units,660622,389030,411470,298808,985429,412082,126508
Occupied housing units,633786,371458,382638,274187,905250,392822,120559
Vacant housing units,26836,17572,28832,24621,80179,19260,5949
Homeowner vacancy rate,0.3,0.8,1.4,1.5,1.5,1.3,1.3
Rental vacancy rate,2.8,3.3,4.9,5.1,6.7,3.7,6.1
1-unit detached,344320,183624,247182,157105,535130,192677,67642
1-unit attached,68877,70920,40001,18516,37160,92516,35497
2 units,12342,1702,5877,17409,14752,2415,582
3 or 4 units,36548,6325,12382,11484,38803,7116,1659
5 to 9 units,36676,20646,23044,20189,89248,20117,4415
10 to 19 units,34212,39053,34120,32195,101339,45875,10534
20 or more units,107946,66255,34126,37386,152966,48982,5021
Mobile home,19233,505,14315,4278,15389,2300,843
Boat RV van etc.,468,0,423,246,642,84,315
Built 2014 or later,4593,2052,5663,2285,8321,1325,2350
Built 2010 to 2013,16903,11036,25623,8790,31065,8765,12283
Built 2000 to 2009,59887,42804,118048,45828,132536,44774,41149
Built 1990 to 1999,72811,44856,99411,35319,126302,65018,34186
Built 1980 to 1989,82075,86534,65876,46829,188496,99342,15783
Built 1970 to 1979,144314,64331,41105,49325,184077,85782,9296
Built 1960 to 1969,121400,57650,26166,40301,129937,55426,4223
Built 1950 to 1959,99142,45195,15001,35214,113287,39777,3528
Built 1940 to 1949,26078,17468,5790,15637,36003,8268,450
Built 1939 or earlier,33419,17104,8787,19280,35405,3605,3260
1 room,23399,7604,5011,6889,25563,5346,908
2 rooms,32228,12297,12654,8240,48990,12252,1272
3 rooms,77792,32696,31739,31085,143707,36263,6437
4 rooms,123943,58451,58991,60994,176828,53336,10445
