year,label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
2010,NA,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2010,SEX AND AGE,NA,NA,NA,NA,NA,NA,NA
2010,Total population,1787694,976203,906969,628133,2377351,1086743,315134
2010,Male,896647,468914,441775,303822,1176082,536795,155514
2010,Female,891047,507289,465194,324311,1201269,549948,159620
2010,Under 5 years,124461,63918,66243,44555,193271,73056,28097
2010,5 to 9 years,121081,63028,66121,36782,181930,74024,29412
2010,10 to 14 years,115691,66209,66572,34897,176669,71736,25246
2010,15 to 19 years,114288,59639,63167,39623,168862,67006,19082
2010,20 to 24 years,114988,54304,61344,54186,172689,60460,13320
2010,25 to 34 years,269161,133146,138674,113565,386875,159902,43068
2010,35 to 44 years,278681,141338,146457,86132,343447,165241,59727
2010,45 to 54 years,263846,154073,131332,84775,318626,174973,49018
2010,55 to 59 years,100442,67483,47875,37882,123721,70915,15215
2010,60 to 64 years,87228,52528,41853,29316,102034,61835,12360
2010,65 to 74 years,107083,63012,45280,35850,117612,63939,11894
2010,75 to 84 years,62989,38294,23476,20580,65840,30886,6649
2010,85 years and over,27755,19231,8575,9990,25775,12770,2046
2010,Median age (years),36.2,38.6,34.4,34,32.4,37.5,34.9
2010,18 years and over,1357024,742329,671274,491843,1721153,823435,218751
2010,21 years and over,1288915,715039,631081,462797,1623899,790167,210767
2010,62 years and over,247270,149867,101102,83059,266913,141549,28279
2010,65 years and over,197827,120537,77331,66420,209227,107595,20589
2010,Male,676356,349583,321857,234251,840716,401723,106631
2010,Female,680668,392746,349417,257592,880437,421712,112120
2010,Male,86452,50833,32658,26392,87455,48619,8958
2010,Female,111375,69704,44673,40028,121772,58976,11631
2010,RACE,NA,NA,NA,NA,NA,NA,NA
2010,One race,1709586,937329,886013,611563,2319104,1050317,299678
2010,Two or more races,78108,38874,20956,16570,58247,36426,15456
2010,White,893169,556937,622164,392542,1352629,686467,218951
2010,Black or African American,47352,168254,187646,173659,523751,100195,22527
2010,American Indian and Alaska Native,9865,3193,2794,1271,10367,6175,517
2010,Cherokee tribal grouping,N,N,N,N,1568,N,N
2010,Chippewa tribal grouping,N,N,N,N,74,N,N
2010,Navajo tribal grouping,N,N,N,N,195,N,N
2010,Sioux tribal grouping,N,N,N,N,386,N,N
2010,Asian,574646,134144,48923,17920,118694,193843,43014
2010,Asian Indian,111306,28679,19079,2815,40379,42920,19317
2010,Chinese,156221,40416,7610,2786,10180,28127,3087
2010,Filipino,88855,13252,4343,1766,7760,16769,3365
2010,Japanese,22994,3645,1429,726,1464,2835,653
