fips_code,county_name,year,chaintype_quantity_indexes_for_real_gdp,currentdollar_gdp_thousands_of_current_dollars,description,real_gdp_thousands_of_chained_2017_dollars
6085,Santa Clara CA,2001,40.775,120423328,NA,114379551
6085,Santa Clara CA,2002,39.162,114181201,NA,109854356
6085,Santa Clara CA,2003,41.643,118620079,NA,116812794
6085,Santa Clara CA,2004,43.088,121775696,NA,120865726
6085,Santa Clara CA,2005,45.964,130091992,NA,128933564
6085,Santa Clara CA,2006,49.094,138743312,NA,137713799
6085,Santa Clara CA,2007,54.156,151697778,NA,151912514
6085,Santa Clara CA,2008,57.046,157480585,NA,160018867
6085,Santa Clara CA,2009,55.688,154522185,NA,156210615
6085,Santa Clara CA,2010,60.583,165967271,NA,169942756
6085,Santa Clara CA,2011,66.2,181388910,NA,185699289
6085,Santa Clara CA,2012,69.473,191533411,NA,194880453
6085,Santa Clara CA,2013,76.897,212929778,NA,215704205
6085,Santa Clara CA,2014,82.5,229218264,NA,231420668
6085,Santa Clara CA,2015,89.858,251565966,NA,252061614
6085,Santa Clara CA,2016,95.328,266748660,NA,267404250
6085,Santa Clara CA,2017,100.0,280510581,NA,280510581
6085,Santa Clara CA,2018,107.808,301321537,NA,302411788
6085,Santa Clara CA,2019,113.545,320102518,NA,318506750
6085,Santa Clara CA,2020,121.119,344201399,NA,339750453
6085,Santa Clara CA,2021,137.535,392899696,NA,385798950
6085,Santa Clara CA,2022,136.461,400777502,NA,382786734
24031,Montgomery MD,2001,65.008,46252839,NA,60810575
24031,Montgomery MD,2002,67.629,49187360,NA,63261827
24031,Montgomery MD,2003,70.233,51953117,NA,65698371
24031,Montgomery MD,2004,75.138,56790419,NA,70286680
24031,Montgomery MD,2005,79.606,61587427,NA,74465491
24031,Montgomery MD,2006,78.965,62806864,NA,73866090
24031,Montgomery MD,2007,79.103,64415987,NA,73994879
24031,Montgomery MD,2008,82.571,68224050,NA,77238863
24031,Montgomery MD,2009,83.109,69973074,NA,77742817
24031,Montgomery MD,2010,88.624,74668088,NA,82901847
24031,Montgomery MD,2011,92.335,78611099,NA,86372921
24031,Montgomery MD,2012,91.971,79497479,NA,86032006
24031,Montgomery MD,2013,90.352,79080874,NA,84517485
24031,Montgomery MD,2014,90.807,80738169,NA,84943355
24031,Montgomery MD,2015,93.992,85130896,NA,87922603
24031,Montgomery MD,2016,97.533,90183699,NA,91235588
24031,Montgomery MD,2017,100.0,93542842,NA,93542842
24031,Montgomery MD,2018,99.827,95122803,NA,93381475
24031,Montgomery MD,2019,98.087,95157048,NA,91753090
24031,Montgomery MD,2020,95.146,94007911,NA,89002356
24031,Montgomery MD,2021,98.998,100597916,NA,92605105
24031,Montgomery MD,2022,100.217,106777850,NA,93746007
37183,Wake NC,2001,50.888,30081253,NA,38772130
37183,Wake NC,2002,52.433,31551524,NA,39949613
37183,Wake NC,2003,54.182,33028959,NA,41282189
37183,Wake NC,2004,56.912,35475637,NA,43361972
37183,Wake NC,2005,60.374,38606660,NA,45999746
37183,Wake NC,2006,64.688,42586990,NA,49286571
37183,Wake NC,2007,67.84,45627231,NA,51687822
37183,Wake NC,2008,70.685,48147572,NA,53855510
37183,Wake NC,2009,67.414,46973604,NA,51363273
37183,Wake NC,2010,72.372,50373661,NA,55140804
37183,Wake NC,2011,71.705,50341004,NA,54632529
37183,Wake NC,2012,74.818,53430031,NA,57004635
37183,Wake NC,2013,79.432,57493661,NA,60520308
37183,Wake NC,2014,84.166,61745786,NA,64127051
37183,Wake NC,2015,90.399,67430792,NA,68876243
37183,Wake NC,2016,96.027,72379312,NA,73163717
37183,Wake NC,2017,100.0,76191172,NA,76191172
37183,Wake NC,2018,105.733,81746411,NA,80559227
37183,Wake NC,2019,109.908,86594750,NA,83740531
37183,Wake NC,2020,109.956,88170611,NA,83777131
37183,Wake NC,2021,119.961,99002843,NA,91399448
37183,Wake NC,2022,124.261,108152420,NA,94675594
47037,Davidson TN,2001,65.258,32992008,NA,44550048
47037,Davidson TN,2002,66.33,34274053,NA,45281579
47037,Davidson TN,2003,68.806,36052424,NA,46971540
47037,Davidson TN,2004,71.313,38151836,NA,48683334
47037,Davidson TN,2005,72.626,39843559,NA,49579700
47037,Davidson TN,2006,74.58,42046154,NA,50913896
47037,Davidson TN,2007,73.937,42722067,NA,50474630
47037,Davidson TN,2008,77.1,45302501,NA,52633846
47037,Davidson TN,2009,75.93,45613443,NA,51835271
47037,Davidson TN,2010,77.477,46898699,NA,52891359
47037,Davidson TN,2011,79.39,48687401,NA,54197528
47037,Davidson TN,2012,82.658,51768585,NA,56428090
47037,Davidson TN,2013,83.788,53251086,NA,57199830
47037,Davidson TN,2014,87.201,56359553,NA,59529498
47037,Davidson TN,2015,92.508,61209908,NA,63152405
47037,Davidson TN,2016,95.441,64319726,NA,65155101
47037,Davidson TN,2017,100.0,68267086,NA,68267086
47037,Davidson TN,2018,103.972,72347624,NA,70978458
47037,Davidson TN,2019,107.775,76607763,NA,73574818
47037,Davidson TN,2020,104.95,76066582,NA,71646270
47037,Davidson TN,2021,117.089,87437173,NA,79933566
47037,Davidson TN,2022,125.197,98575160,NA,85468316
48113,Dallas TX,2001,69.441,138800508,NA,172244167
48113,Dallas TX,2002,69.924,141034795,NA,173443190
48113,Dallas TX,2003,69.898,142430124,NA,173378146
48113,Dallas TX,2004,73.04,151501275,NA,181171920
48113,Dallas TX,2005,74.561,158338883,NA,184944148
48113,Dallas TX,2006,78.882,171309112,NA,195661463
48113,Dallas TX,2007,80.41,177578500,NA,199452307
48113,Dallas TX,2008,80.578,179701495,NA,199869001
48113,Dallas TX,2009,76.454,172074324,NA,189640088
48113,Dallas TX,2010,78.692,177992086,NA,195190268
48113,Dallas TX,2011,82.155,188263069,NA,203781527
48113,Dallas TX,2012,83.965,196297322,NA,208270522
48113,Dallas TX,2013,86.833,205410059,NA,215384269
48113,Dallas TX,2014,89.639,214953044,NA,222343503
48113,Dallas TX,2015,94.421,228494128,NA,234206841
48113,Dallas TX,2016,96.693,236810556,NA,239842516
48113,Dallas TX,2017,100.0,248044414,NA,248044414
48113,Dallas TX,2018,104.065,263230069,NA,258127596
48113,Dallas TX,2019,108.795,279796316,NA,269858811
