Label (Grouping),"Santa Clara County, California!!Occupied housing units!!Estimate","Santa Clara County, California!!Owner-occupied housing units!!Estimate","Santa Clara County, California!!Renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Occupied housing units!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Renter-occupied housing units!!Estimate","Wake County, North Carolina!!Occupied housing units!!Estimate","Wake County, North Carolina!!Owner-occupied housing units!!Estimate","Wake County, North Carolina!!Renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Occupied housing units!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Renter-occupied housing units!!Estimate","Dallas County, Texas!!Occupied housing units!!Estimate","Dallas County, Texas!!Owner-occupied housing units!!Estimate","Dallas County, Texas!!Renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Occupied housing units!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Occupied housing units!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Renter-occupied housing units!!Estimate",Year,Data Type,"Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate","Santa Clara County, California!!Percent","Montgomery County, Maryland!!Percent","Wake County, North Carolina!!Percent","Davidson County, Tennessee!!Percent","Dallas County, Texas!!Percent","Fairfax County, Virginia!!Percent","Loudoun County, Virginia!!Percent","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Mean income (dollars)!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Mean income (dollars)!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Mean income (dollars)!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Mean income (dollars)!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Mean income (dollars)!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Mean income (dollars)!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Mean income (dollars)!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Margin of Error","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Margin of Error","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Margin of Error","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Margin of Error","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Margin of Error","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Santa Clara County, California!!Owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Number!!Estimate","Santa Clara County, California!!Percent Distribution!!Estimate","Montgomery County, Maryland!!Number!!Estimate","Montgomery County, Maryland!!Percent Distribution!!Estimate","Wake County, North Carolina!!Number!!Estimate","Wake County, North Carolina!!Percent Distribution!!Estimate","Davidson County, Tennessee!!Number!!Estimate","Davidson County, Tennessee!!Percent Distribution!!Estimate","Dallas County, Texas!!Number!!Estimate","Dallas County, Texas!!Percent Distribution!!Estimate","Fairfax County, Virginia!!Number!!Estimate","Fairfax County, Virginia!!Percent Distribution!!Estimate","Loudoun County, Virginia!!Number!!Estimate","Loudoun County, Virginia!!Percent Distribution!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent occupied housing units!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units!!Estimate","Santa Clara County, California!!Percent renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent occupied housing units!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent renter-occupied housing units!!Estimate","Wake County, North Carolina!!Percent occupied housing units!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units!!Estimate","Wake County, North Carolina!!Percent renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent occupied housing units!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent renter-occupied housing units!!Estimate","Dallas County, Texas!!Percent occupied housing units!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units!!Estimate","Dallas County, Texas!!Percent renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent occupied housing units!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent occupied housing units!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent renter-occupied housing units!!Estimate","Santa Clara County, California!!Married-couple family household!!Estimate","Santa Clara County, California!!Male householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Female householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Nonfamily household!!Estimate","Montgomery County, Maryland!!Married-couple family household!!Estimate","Montgomery County, Maryland!!Male householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Female householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Nonfamily household!!Estimate","Wake County, North Carolina!!Married-couple family household!!Estimate","Wake County, North Carolina!!Male householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Female householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Nonfamily household!!Estimate","Davidson County, Tennessee!!Married-couple family household!!Estimate","Davidson County, Tennessee!!Male householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Female householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Nonfamily household!!Estimate","Dallas County, Texas!!Married-couple family household!!Estimate","Dallas County, Texas!!Male householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Female householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Nonfamily household!!Estimate","Fairfax County, Virginia!!Married-couple family household!!Estimate","Fairfax County, Virginia!!Male householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Female householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Nonfamily household!!Estimate","Loudoun County, Virginia!!Married-couple family household!!Estimate","Loudoun County, Virginia!!Male householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Female householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Nonfamily household!!Estimate"
Occupied housing units,"599,235","342,955","256,280","359,476","238,022","121,454","338,054","224,624","113,430","249,899","135,598","114,301","843,416","448,918","394,498","389,415","272,224","117,191","102,979","80,627","22,352",2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSEHOLD SIZE,,,,,,,,,,,,,,,,,,,,,,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    1-person household,22.2%,18.2%,27.6%,25.6%,20.5%,35.5%,26.9%,21.1%,38.5%,34.5%,28.7%,41.4%,28.7%,22.1%,36.1%,23.6%,20.2%,31.5%,14.6%,11.1%,27.6%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    2-person household,29.5%,31.5%,26.7%,31.1%,32.3%,28.6%,31.6%,32.6%,29.5%,33.3%,37.2%,28.7%,29.1%,32.9%,24.8%,31.6%,33.2%,28.0%,29.4%,28.7%,31.8%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    3-person household,18.1%,18.0%,18.2%,17.4%,17.7%,16.6%,17.0%,17.7%,15.6%,15.5%,15.6%,15.4%,15.0%,15.0%,15.1%,16.8%,17.4%,15.3%,19.7%,20.9%,15.4%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    4-or-more-person household,30.2%,32.3%,27.5%,25.9%,29.4%,19.2%,24.5%,28.7%,16.4%,16.8%,18.6%,14.6%,27.2%,30.1%,24.0%,28.0%,29.2%,25.3%,36.3%,39.3%,25.2%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCUPANTS PER ROOM,,,,,,,,,,,,,,,,,,,,,,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    1.00 or less occupants per room,92.1%,96.6%,86.1%,97.5%,98.3%,95.7%,97.7%,98.9%,95.3%,97.3%,99.0%,95.3%,92.9%,95.8%,89.7%,97.0%,98.6%,93.3%,98.6%,99.3%,96.2%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    1.01 to 1.50 occupants per room,5.4%,2.8%,8.8%,1.9%,1.3%,2.9%,1.8%,0.7%,4.2%,1.7%,0.5%,3.1%,5.0%,3.3%,7.0%,2.1%,1.0%,4.5%,1.2%,0.5%,3.8%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    1.51 or more occupants per room,2.5%,0.6%,5.0%,0.7%,0.3%,1.3%,0.5%,0.4%,0.5%,1.0%,0.5%,1.6%,2.0%,1.0%,3.3%,0.9%,0.3%,2.2%,0.2%,0.2%,0.0%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Family households,70.9%,77.6%,61.9%,68.3%,75.9%,53.3%,65.6%,75.0%,46.8%,56.6%,65.4%,46.1%,65.0%,74.2%,54.5%,70.1%,75.3%,58.0%,80.2%,85.5%,61.2%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Married-couple family,55.3%,65.3%,41.9%,52.5%,64.7%,28.6%,50.5%,64.2%,23.3%,36.1%,51.5%,17.8%,42.9%,57.6%,26.2%,56.5%,65.0%,36.6%,65.3%,73.8%,34.3%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 15 to 34 years,8.6%,4.6%,13.8%,6.7%,5.0%,10.0%,9.0%,8.1%,10.9%,7.4%,7.5%,7.3%,9.3%,7.3%,11.5%,8.0%,5.7%,13.3%,9.9%,9.9%,9.8%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 35 to 64 years,38.5%,48.8%,24.7%,36.9%,47.2%,16.6%,35.2%,47.4%,11.2%,22.4%,34.1%,8.6%,27.5%,39.8%,13.6%,40.4%,48.7%,21.1%,50.0%,57.8%,21.9%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 65 years and over,8.2%,11.8%,3.4%,9.0%,12.5%,2.0%,6.2%,8.7%,1.3%,6.2%,9.9%,1.9%,6.1%,10.5%,1.1%,8.1%,10.6%,2.2%,5.4%,6.1%,2.6%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other family,15.6%,12.3%,20.0%,15.8%,11.2%,24.7%,15.1%,10.9%,23.4%,20.5%,13.9%,28.3%,22.1%,16.6%,28.4%,13.6%,10.3%,21.4%,15.0%,11.7%,26.9%,2010,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
